Date,price
2002-10-03,53.35993576049805
2002-10-04,52.381046295166016
2002-10-07,51.298404693603516
2002-10-08,52.10228729248047
2002-10-09,50.630680084228516
2002-10-10,52.27082443237305
2002-10-11,54.55926513671875
2002-10-14,54.86393737792969
2002-10-15,57.502437591552734
2002-10-16,56.108638763427734
2002-10-17,57.22365188598633
2002-10-18,57.46355056762695
2002-10-21,58.45541763305664
2002-10-22,58.03400421142578
2002-10-23,58.474853515625
2002-10-24,57.28203201293945
2002-10-25,58.474853515625
2002-10-28,58.0923957824707
2002-10-29,57.41816329956055
2002-10-30,57.97567367553711
2002-10-31,57.38576126098633
2002-11-01,58.52027893066406
2002-11-04,59.07774353027344
2002-11-05,59.54450607299805
2002-11-06,60.31599044799805
2002-11-07,58.837913513183594
2002-11-08,58.11831283569336
2002-11-11,57.21720504760742
2002-11-12,57.6710090637207
2002-11-13,57.72936248779297
2002-11-14,58.81844711303711
2002-11-15,59.252803802490234
2002-11-18,58.656394958496094
2002-11-19,58.578582763671875
2002-11-20,59.881629943847656
2002-11-21,60.99668884277344
2002-11-22,60.56231689453125
2002-11-25,60.60124206542969
2002-11-26,59.44728469848633
2002-11-27,61.119834899902344
2002-11-29,60.925357818603516
2002-12-02,61.02262496948242
2002-12-03,60.20576858520508
2002-12-04,59.93349838256836
2002-12-05,59.27227783203125
2002-12-06,59.66122055053711
2002-12-09,58.02104187011719
2002-12-10,58.79899978637695
2002-12-11,58.85084533691406
2002-12-12,58.844364166259766
2002-12-13,57.9173469543457
2002-12-16,59.414852142333984
2002-12-17,58.89625549316406
2002-12-18,58.215572357177734
2002-12-19,57.800655364990234
2002-12-20,58.62542724609375
2002-12-23,58.644927978515625
2002-12-24,58.20843505859375
2002-12-26,58.234519958496094
2002-12-27,56.92509078979492
2002-12-30,57.400665283203125
2002-12-31,57.47883605957031
2003-01-02,59.328975677490234
2003-01-03,59.51137924194336
2003-01-06,60.56026077270508
2003-01-07,60.41043472290039
2003-01-08,59.5374641418457
2003-01-09,60.46254348754883
2003-01-10,60.62539291381836
2003-01-13,60.60588073730469
2003-01-14,60.80130386352539
2003-01-15,60.19546127319336
2003-01-16,59.947906494140625
2003-01-17,59.06187438964844
2003-01-21,58.143341064453125
2003-01-22,57.43974304199219
2003-01-23,57.7915153503418
2003-01-24,56.27362060546875
2003-01-27,55.504886627197266
