Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-05-06,26.420000076293945,26.440000534057617,26.420000076293945,26.440000534057617,26.440000534057617,47400.0,0.0,0.0,0.0
2026-05-07,26.329999923706055,26.329999923706055,26.329999923706055,26.329999923706055,26.329999923706055,100.0,0.0,0.0,0.0
2026-05-08,26.329999923706055,26.329999923706055,26.200000762939453,26.200000762939453,26.200000762939453,400.0,0.0,0.0,0.0
2026-05-11,26.15999984741211,26.15999984741211,26.15999984741211,26.15999984741211,26.15999984741211,100.0,0.0,0.0,0.0
2026-05-12,26.040000915527344,26.040000915527344,26.0,26.020000457763672,26.020000457763672,200.0,0.0,0.0,0.0
2026-05-13,25.969999313354492,25.969999313354492,25.969999313354492,25.969999313354492,25.969999313354492,100.0,0.0,0.0,0.0
2026-05-14,26.110000610351562,26.110000610351562,25.81999969482422,25.81999969482422,25.81999969482422,300.0,0.0,0.0,0.0
2026-05-15,25.270000457763672,25.270000457763672,25.1200008392334,25.1200008392334,25.1200008392334,500.0,0.0,0.0,0.0
2026-05-18,25.309999465942383,25.309999465942383,25.299999237060547,25.299999237060547,25.299999237060547,200.0,0.0,0.0,0.0
2026-05-19,25.059999465942383,25.059999465942383,25.040000915527344,25.040000915527344,25.040000915527344,300.0,0.0,0.0,0.0
2026-05-20,25.790000915527344,25.790000915527344,25.790000915527344,25.790000915527344,25.790000915527344,100.0,0.0,0.0,0.0
2026-05-21,25.979999542236328,25.979999542236328,25.979999542236328,25.979999542236328,25.979999542236328,100.0,0.0,0.0,0.0
2026-05-22,26.0,26.110000610351562,26.0,26.110000610351562,26.110000610351562,200.0,0.0,0.0,0.0
2026-05-26,26.690000534057617,26.690000534057617,26.690000534057617,26.690000534057617,26.690000534057617,100.0,0.0,0.0,0.0
2026-05-27,26.950000762939453,26.950000762939453,26.81999969482422,26.889999389648438,26.889999389648438,300.0,0.0,0.0,0.0
2026-05-28,27.209999084472656,27.209999084472656,27.209999084472656,27.209999084472656,27.209999084472656,500.0,0.0,0.0,0.0
2026-05-29,27.200000762939453,27.200000762939453,27.200000762939453,27.200000762939453,27.200000762939453,300.0,0.0,0.0,0.0
2026-06-01,26.790000915527344,26.950000762939453,26.739999771118164,26.84000015258789,26.84000015258789,400.0,0.0,0.0,0.0
2026-06-02,26.610000610351562,26.610000610351562,26.610000610351562,26.610000610351562,26.610000610351562,100.0,0.0,0.0,0.0
2026-06-03,26.469999313354492,26.469999313354492,26.34000015258789,26.34000015258789,26.34000015258789,9400.0,0.0,0.0,0.0
2026-06-04,26.75,26.75,26.75,26.75,26.75,900.0,0.0,0.0,0.0
2026-06-05,26.709999084472656,26.709999084472656,26.709999084472656,26.709999084472656,26.709999084472656,100.0,0.0,0.0,0.0
2026-06-08,26.649999618530273,26.670000076293945,26.469999313354492,26.469999313354492,26.469999313354492,2300.0,0.0,0.0,0.0
2026-06-09,27.09000015258789,27.09000015258789,27.09000015258789,27.09000015258789,27.09000015258789,200.0,0.0,0.0,0.0
2026-06-10,26.639999389648438,26.639999389648438,26.329999923706055,26.329999923706055,26.329999923706055,2200.0,0.0,0.0,0.0
2026-06-11,26.739999771118164,27.639999389648438,26.739999771118164,27.639999389648438,27.639999389648438,1000.0,0.0,0.0,0.0
2026-06-12,27.65999984741211,27.739999771118164,27.56999969482422,27.690000534057617,27.690000534057617,800.0,0.0,0.0,0.0
2026-06-15,28.09000015258789,28.299999237060547,28.09000015258789,28.1299991607666,28.1299991607666,700.0,0.0,0.0,0.0
2026-06-16,28.350000381469727,28.5,28.350000381469727,28.389999389648438,28.389999389648438,600.0,0.0,0.0,0.0
2026-06-17,28.450000762939453,28.450000762939453,28.450000762939453,28.450000762939453,28.450000762939453,200.0,0.0,0.0,0.0
2026-06-18,28.360000610351562,28.360000610351562,28.360000610351562,28.360000610351562,28.360000610351562,200.0,0.0,0.0,0.0
2026-06-22,28.329999923706055,28.329999923706055,28.209999084472656,28.209999084472656,28.209999084472656,300.0,0.0,0.0,0.0
2026-06-23,28.450000762939453,28.450000762939453,28.149999618530273,28.200000762939453,28.200000762939453,1100.0,0.0,0.0,0.0
2026-06-24,28.5,28.5,28.5,28.5,28.5,100.0,0.0,0.0,0.0
2026-06-25,28.8700008392334,28.8700008392334,28.790000915527344,28.790000915527344,28.790000915527344,500.0,0.0,0.0,0.0
2026-06-26,28.860000610351562,28.860000610351562,28.780000686645508,28.780000686645508,28.780000686645508,200.0,0.0,0.0,0.0
2026-06-29,28.770000457763672,28.780000686645508,28.729999542236328,28.780000686645508,28.780000686645508,1000.0,0.0,0.0,0.0
2026-06-30,28.1299991607666,28.989999771118164,28.1299991607666,28.959999084472656,28.959999084472656,2300.0,0.0,0.0,0.0
2026-07-01,29.059999465942383,29.219999313354492,29.020000457763672,29.020000457763672,29.020000457763672,400.0,0.0,0.0,0.0
2026-07-02,29.540000915527344,29.540000915527344,29.100000381469727,29.299999237060547,29.299999237060547,300.0,0.0,0.0,0.0
2026-07-06,29.6299991607666,29.6299991607666,29.56999969482422,29.56999969482422,29.56999969482422,600.0,0.0,0.0,0.0
2026-07-07,28.969999313354492,28.969999313354492,28.969999313354492,28.969999313354492,28.969999313354492,100.0,0.0,0.0,0.0
2026-07-08,28.360000610351562,28.440000534057617,28.360000610351562,28.440000534057617,28.440000534057617,400.0,0.0,0.0,0.0
2026-07-09,29.1299991607666,29.1299991607666,28.600000381469727,28.600000381469727,28.600000381469727,300.0,0.0,0.0,0.0
2026-07-10,28.579999923706055,28.579999923706055,28.579999923706055,28.579999923706055,28.579999923706055,100.0,0.0,0.0,0.0
2026-07-13,28.139999389648438,28.139999389648438,28.139999389648438,28.139999389648438,28.139999389648438,300.0,0.0,0.0,0.0
2026-07-14,28.239999771118164,28.239999771118164,28.079999923706055,28.079999923706055,28.079999923706055,18000.0,0.0,0.0,0.0
2026-07-15,28.270000457763672,28.270000457763672,28.270000457763672,28.270000457763672,28.270000457763672,100.0,0.0,0.0,0.0
2026-07-16,28.0,28.049999237060547,27.989999771118164,27.989999771118164,27.989999771118164,2400.0,0.0,0.0,0.0
2026-07-17,27.829999923706055,27.829999923706055,27.829999923706055,27.829999923706055,27.829999923706055,100.0,0.0,0.0,0.0
2026-07-20,28.190000534057617,28.190000534057617,27.68000030517578,27.68000030517578,27.68000030517578,900.0,0.0,0.0,0.0
2026-07-21,27.649999618530273,27.860000610351562,27.649999618530273,27.860000610351562,27.860000610351562,900.0,0.0,0.0,0.0
2026-07-22,28.040000915527344,28.040000915527344,27.90999984741211,27.90999984741211,27.90999984741211,1500.0,0.0,0.0,0.0
2026-07-23,28.170000076293945,28.219999313354492,28.170000076293945,28.219999313354492,28.219999313354492,400.0,0.0,0.0,0.0
2026-07-24,28.520000457763672,28.59000015258789,28.479999542236328,28.59000015258789,28.59000015258789,700.0,0.0,0.0,0.0
2026-07-27,28.860000610351562,28.90999984741211,28.860000610351562,28.90999984741211,28.90999984741211,300.0,0.0,0.0,0.0
2026-07-28,28.729999542236328,29.049999237060547,28.729999542236328,29.049999237060547,29.049999237060547,500.0,0.0,0.0,0.0
2026-07-29,28.1299991607666,28.1299991607666,28.1299991607666,28.1299991607666,28.1299991607666,200.0,0.0,0.0,0.0
2026-07-30,28.15999984741211,28.399999618530273,28.15999984741211,28.399999618530273,28.399999618530273,700.0,0.0,0.0,0.0
2026-07-31,28.399999618530273,28.469999313354492,28.34000015258789,28.469999313354492,28.469999313354492,300.0,0.0,0.0,0.0
2026-08-03,29.010000228881836,29.100000381469727,28.959999084472656,29.100000381469727,29.100000381469727,500.0,0.0,0.0,0.0
