Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
1998-07-29,3.0,3.25,3.0,3.25,3.25,1000.0,0.0,0.0,0.0
1998-07-31,3.0,3.5,3.0,3.25,3.25,1000.0,0.0,0.0,0.0
1998-08-05,3.0,3.5,2.75,2.75,2.75,1000.0,0.0,0.0,0.0
1998-08-06,3.0,3.5,2.5,2.5,2.5,1000.0,0.0,0.0,0.0
1998-08-12,2.0,3.0,2.0,2.5,2.5,1000.0,0.0,0.0,0.0
1998-08-17,2.0,2.5,2.0,2.5,2.5,1000.0,0.0,0.0,0.0
1998-08-18,2.0,2.5,2.0,2.5,2.5,1000.0,0.0,0.0,0.0
1998-08-21,2.75,2.75,2.5,2.5,2.5,1000.0,0.0,0.0,0.0
1998-08-27,2.0,2.5,2.0,2.5,2.5,1000.0,0.0,0.0,0.0
1998-09-10,2.0,2.5,2.0,2.5,2.5,1000.0,0.0,0.0,0.0
1998-09-14,2.0,2.5,2.0,2.5,2.5,1000.0,0.0,0.0,0.0
1998-09-21,2.0,2.5,2.0,2.5,2.5,1000.0,0.0,0.0,0.0
1998-09-24,2.0,2.5,2.0,2.5,2.5,1000.0,0.0,0.0,0.0
1998-10-01,2.0,2.0,2.0,2.0,2.0,1000.0,0.0,0.0,0.0
1998-10-02,2.0,2.0,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
1998-10-08,1.5,2.0,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
1998-10-12,1.5,2.0,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
1998-10-13,1.5,2.0,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
1998-10-19,1.5,2.5,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
1998-10-23,1.5,2.0,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
1998-10-26,1.5,2.0,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
1998-10-28,1.5,2.0,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
1998-11-05,1.5,2.0,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
1998-11-13,2.25,2.25,1.5,2.0,2.0,1000.0,0.0,0.0,0.0
