Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2014-12-22,500.0,500.0,500.0,500.0,500.0,300.0,0.0,0.0,0.0
2014-12-23,490.0,490.0,480.0,480.0,480.0,600.0,0.0,0.0,0.0
2014-12-24,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2014-12-26,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2014-12-29,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2014-12-30,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2014-12-31,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-02,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-05,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-06,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-07,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-08,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-09,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-12,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-13,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-14,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-15,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-16,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-20,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-21,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-22,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-23,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-26,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-27,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-28,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-29,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2015-01-30,475.0,475.0,475.0,475.0,475.0,1000.0,0.0,0.0,0.0
2015-02-02,475.0,475.0,475.0,475.0,475.0,0.0,0.0,0.0,0.0
2015-02-03,475.0,475.0,475.0,475.0,475.0,0.0,0.0,0.0,0.0
2015-02-04,475.0,475.0,475.0,475.0,475.0,0.0,0.0,0.0,0.0
2015-02-05,475.0,475.0,475.0,475.0,475.0,0.0,0.0,0.0,0.0
2015-02-06,485.0,485.0,485.0,485.0,485.0,300.0,0.0,0.0,0.0
2015-02-09,485.0,485.0,485.0,485.0,485.0,0.0,0.0,0.0,0.0
2015-02-10,485.0,485.0,485.0,485.0,485.0,0.0,0.0,0.0,0.0
2015-02-11,485.0,485.0,485.0,485.0,485.0,0.0,0.0,0.0,0.0
2015-02-12,485.0,485.0,485.0,485.0,485.0,0.0,0.0,0.0,0.0
2015-02-13,485.0,485.0,485.0,485.0,485.0,0.0,0.0,0.0,0.0
2015-02-17,485.0,485.0,485.0,485.0,485.0,0.0,0.0,0.0,0.0
2015-02-18,485.0,485.0,485.0,485.0,485.0,0.0,0.0,0.0,0.0
2015-02-19,485.0,485.0,485.0,485.0,485.0,0.0,0.0,0.0,0.0
2015-02-20,485.0,485.0,485.0,485.0,485.0,0.0,0.0,0.0,0.0
2015-02-23,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0
2015-02-24,500.0,505.0,490.0,490.0,490.0,1048400.0,0.0,0.0,0.0
2015-02-25,490.0,500.0,490.0,500.0,500.0,951800.0,0.0,0.0,0.0
2015-02-26,490.0,490.0,490.0,490.0,490.0,50000.0,0.0,0.0,0.0
2015-02-27,490.0,490.0,490.0,490.0,490.0,60000.0,0.0,0.0,0.0
2015-03-02,500.0,500.0,490.0,490.0,490.0,73000.0,0.0,0.0,0.0
2015-03-03,500.0,500.0,500.0,500.0,500.0,1259700.0,0.0,0.0,0.0
2015-03-04,500.0,510.0,500.0,510.0,510.0,2648400.0,0.0,0.0,0.0
2015-03-05,510.0,510.0,505.0,510.0,510.0,15000.0,0.0,0.0,0.0
2015-03-06,515.0,555.0,515.0,550.0,550.0,626200.0,0.0,0.0,0.0
2015-03-09,550.0,575.0,550.0,575.0,575.0,85100.0,0.0,0.0,0.0
2015-03-10,575.0,575.0,560.0,560.0,560.0,520000.0,0.0,0.0,0.0
2015-03-11,575.0,590.0,575.0,575.0,575.0,114100.0,0.0,0.0,0.0
2015-03-12,580.0,600.0,580.0,600.0,600.0,264000.0,0.0,0.0,0.0
2015-03-13,600.0,630.0,600.0,630.0,630.0,1021300.0,0.0,0.0,0.0
2015-03-16,630.0,650.0,630.0,630.0,630.0,63800.0,0.0,0.0,0.0
2015-03-17,630.0,675.0,630.0,675.0,675.0,376500.0,0.0,0.0,0.0
2015-03-18,675.0,675.0,675.0,675.0,675.0,4000.0,0.0,0.0,0.0
2015-03-19,670.0,670.0,670.0,670.0,670.0,500.0,0.0,0.0,0.0
2015-03-20,650.0,670.0,650.0,650.0,650.0,148500.0,0.0,0.0,0.0
2015-03-23,650.0,650.0,650.0,650.0,650.0,637600.0,0.0,0.0,0.0
2015-03-24,655.0,655.0,655.0,655.0,655.0,200.0,0.0,0.0,0.0
2016-04-21,470.0,470.0,470.0,470.0,470.0,0.0,0.0,0.0,0.0
2016-04-22,470.0,470.0,470.0,470.0,470.0,0.0,0.0,0.0,0.0
2016-04-25,480.0,480.0,480.0,480.0,480.0,100.0,0.0,0.0,0.0
2016-05-13,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
2018-10-04,0.009499999694526196,0.009999999776482582,0.009499999694526196,0.009999999776482582,0.009999999776482582,25000.0,0.0,0.0,0.0
2018-10-05,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0
2018-10-08,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0
2018-10-09,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0
2018-10-10,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0
2018-10-11,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0
2018-10-12,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,0.0
