Date,Close
1995-01-03,2.0
1995-01-04,1.9375
1995-01-05,2.03125
1995-01-06,1.96875
1995-01-09,1.9375
1995-01-10,2.0
1995-01-11,1.9375
1995-01-12,1.875
1995-01-13,1.875
1995-01-16,1.875
1995-01-17,2.0
1995-01-18,1.9375
1995-01-19,1.90625
1995-01-20,1.875
1995-01-23,1.75
1995-01-24,1.875
1995-01-25,1.75
1995-01-26,1.75
1995-01-27,1.75
1995-01-30,1.75
1995-01-31,1.78125
1995-02-01,1.75
1995-02-02,1.75
1995-02-03,1.75
1995-02-06,1.8125
1995-02-07,1.75
1995-02-08,1.8125
1995-02-09,1.71875
1995-02-10,1.8125
1995-02-13,1.71875
1995-02-14,1.75
1995-02-15,1.78125
1995-02-16,1.75
1995-02-17,1.75
1995-02-21,1.6875
1995-02-22,1.78125
1995-02-23,1.6875
1995-02-24,1.78125
1995-02-27,1.78125
1995-02-28,1.65625
1995-03-01,1.5625
1995-03-02,1.5625
1995-03-03,1.625
1995-03-06,1.59375
1995-03-07,1.625
1995-03-08,1.6875
1995-03-09,1.59375
1995-03-10,1.59375
1995-03-13,1.65625
1995-03-14,1.59375
1995-03-15,1.59375
1995-03-16,1.59375
1995-03-17,1.59375
1995-03-20,1.65625
1995-03-21,1.59375
1995-03-22,1.65625
1995-03-23,1.6875
1995-03-24,1.59375
1995-03-27,1.59375
1995-03-28,1.6875
1995-03-29,1.671875
1995-03-30,1.6875
1995-03-31,1.625
1995-04-03,1.59375
1995-04-04,1.59375
1995-04-05,1.625
1995-04-06,1.6875
1995-04-07,1.65625
1995-04-10,1.6875
1995-04-11,1.71875
1995-04-12,1.6875
1995-04-13,1.6875
1995-04-17,1.6875
1995-04-18,1.65625
1995-04-19,1.6875
1995-04-20,1.6875
1995-04-21,1.75
1995-04-24,1.75
1995-04-25,1.65625
1995-04-26,1.75
1995-04-27,1.59375
1995-04-28,1.6875
1995-05-01,1.8125
1995-05-02,1.75
1995-05-03,1.875
1995-05-04,1.8125
1995-05-05,1.84375
1995-05-08,1.8046879768371582
1995-05-09,1.8046879768371582
1995-05-10,1.875
1995-05-11,1.90625
1995-05-12,2.0625
1995-05-15,2.0
1995-05-16,1.96875
1995-05-17,1.9296879768371582
1995-05-18,1.9296879768371582
1995-05-19,1.9375
1995-05-22,3.875
1995-05-23,5.21875
1995-05-24,5.125
1995-05-25,5.3125
1995-05-26,5.0
1995-05-30,5.5625
1995-05-31,6.625
1995-06-01,6.8125
1995-06-02,6.5
1995-06-05,6.25
1995-06-06,6.09375
1995-06-07,5.96875
1995-06-08,6.5
1995-06-09,6.8125
1995-06-12,6.8125
1995-06-13,6.8125
1995-06-14,6.8125
1995-06-15,6.6875
1995-06-16,6.5625
1995-06-19,6.625
1995-06-20,6.53125
1995-06-21,6.21875
1995-06-22,6.3125
1995-06-23,6.625
1995-06-26,6.6875
1995-06-27,6.625
1995-06-28,6.6875
1995-06-29,6.5
1995-06-30,6.5
1995-07-03,6.5
1995-07-05,6.625
1995-07-06,6.75
1995-07-07,6.625
1995-07-10,6.5
1995-07-11,6.53125
1995-07-12,6.5625
1995-07-13,6.5625
1995-07-14,7.125
1995-07-17,8.3125
1995-07-18,8.5625
1995-07-19,9.25
1995-07-20,9.96875
1995-07-21,9.9375
1995-07-24,11.0625
1995-07-25,11.875
1995-07-26,12.8125
1995-07-27,13.03125
1995-07-28,11.6875
1995-07-31,11.0625
1995-08-01,11.75
1995-08-02,12.375
1995-08-03,12.5625
1995-08-04,12.25
1995-08-07,11.8125
1995-08-08,12.0625
1995-08-09,11.375
1995-08-10,11.03125
1995-08-11,11.0625
1995-08-14,11.0625
1995-08-15,10.78125
1995-08-16,10.375
1995-08-17,9.875
1995-08-18,10.125
1995-08-21,10.875
1995-08-22,10.953125
1995-08-23,10.9375
1995-08-24,11.0625
1995-08-25,11.0625
1995-08-28,11.125
1995-08-29,11.1875
1995-08-30,10.875
1995-08-31,10.625
1995-09-01,11.0
1995-09-05,11.3125
1995-09-06,10.875
1995-09-07,11.0
1995-09-08,11.8125
1995-09-11,12.1875
1995-09-12,11.9375
1995-09-13,11.875
1995-09-14,12.1875
1995-09-15,11.9375
1995-09-18,11.8125
1995-09-19,12.0625
1995-09-20,12.03125
1995-09-21,12.0
1995-09-22,11.75
1995-09-25,11.75
1995-09-26,11.6875
1995-09-27,11.21875
1995-09-28,11.4375
1995-09-29,11.5625
1995-10-02,11.1875
1995-10-03,11.0625
1995-10-04,10.3125
1995-10-05,10.4375
1995-10-06,10.6875
1995-10-09,10.1875
1995-10-10,10.4375
1995-10-11,10.4375
1995-10-12,10.75
1995-10-13,10.6875
1995-10-16,11.0625
1995-10-17,11.0
1995-10-18,10.8125
1995-10-19,10.625
