Date,Close
1995-09-20,5.34375
1995-09-21,5.46875
1995-09-22,5.34375
1995-09-25,5.46875
1995-09-26,5.09375
1995-09-27,4.71875
1995-09-28,5.0
1995-09-29,5.125
1995-10-02,5.125
1995-10-03,4.875
1995-10-04,4.8125
1995-10-05,5.0
1995-10-06,4.78125
1995-10-09,4.8125
1995-10-10,4.625
1995-10-11,4.9375
1995-10-12,4.9375
1995-10-13,5.0625
1995-10-16,4.9375
1995-10-17,4.96875
1995-10-18,4.9375
1995-10-19,4.96875
1995-10-20,5.125
1995-10-23,5.125
1995-10-24,4.78125
1995-10-25,4.8125
1995-10-26,4.875
1995-10-27,4.8125
1995-10-30,5.25
1995-10-31,5.40625
1995-11-01,5.4375
1995-11-02,5.4375
1995-11-03,5.375
1995-11-06,5.09375
1995-11-07,5.03125
1995-11-08,4.9375
1995-11-09,4.9375
1995-11-10,5.0625
1995-11-13,5.375
1995-11-14,5.5625
1995-11-15,5.3125
1995-11-16,5.34375
1995-11-17,5.4375
1995-11-20,5.3125
1995-11-21,5.15625
1995-11-22,5.25
1995-11-24,5.125
1995-11-27,5.125
1995-11-28,5.125
1995-11-29,5.15625
1995-11-30,5.125
1995-12-01,5.0
1995-12-04,5.0625
1995-12-05,5.15625
1995-12-06,5.3125
1995-12-07,5.375
1995-12-08,5.375
1995-12-11,5.5
1995-12-12,5.375
1995-12-13,5.4375
1995-12-14,5.5
1995-12-15,5.5625
1995-12-18,5.4375
1995-12-19,5.5625
1995-12-20,5.5
1995-12-21,5.625
1995-12-22,5.8125
1995-12-26,6.21875
1995-12-27,6.625
1995-12-28,6.9375
1995-12-29,6.875
1996-01-02,6.9375
