Date,Close
1995-01-03,16.875
1995-01-04,16.875
1995-01-05,16.625
1995-01-06,16.625
1995-01-09,16.25
1995-01-10,16.75
1995-01-11,16.5
1995-01-12,16.5
1995-01-13,16.375
1995-01-16,16.5
1995-01-17,16.625
1995-01-18,16.375
1995-01-19,16.625
1995-01-20,16.625
1995-01-23,16.5
1995-01-24,16.5
1995-01-25,16.5
1995-01-26,16.875
1995-01-27,16.75
1995-01-30,16.625
1995-01-31,16.375
1995-02-01,16.125
1995-02-02,16.5
1995-02-03,16.625
1995-02-06,17.0
1995-02-07,16.75
1995-02-08,17.375
1995-02-09,17.0
1995-02-10,17.25
1995-02-13,17.375
1995-02-14,17.5
1995-02-15,18.25
1995-02-16,17.875
1995-02-17,17.75
1995-02-21,17.625
1995-02-22,17.625
1995-02-23,18.125
1995-02-24,18.125
1995-02-27,18.0
1995-02-28,18.125
1995-03-01,18.25
1995-03-02,17.875
1995-03-03,17.625
1995-03-06,17.75
1995-03-07,18.125
1995-03-08,17.75
1995-03-09,17.5
1995-03-10,17.625
1995-03-13,17.5
1995-03-14,17.875
1995-03-15,17.875
1995-03-16,18.0
1995-03-17,17.625
1995-03-20,17.75
1995-03-21,18.0
1995-03-22,18.0
1995-03-23,18.125
1995-03-24,18.25
1995-03-27,18.375
1995-03-28,18.375
1995-03-29,18.25
1995-03-30,18.125
1995-03-31,18.5
1995-04-03,18.25
1995-04-04,18.25
1995-04-05,18.25
1995-04-06,18.125
1995-04-07,17.875
1995-04-10,17.75
1995-04-11,18.0
1995-04-12,17.875
1995-04-13,18.0
1995-04-17,17.875
1995-04-18,18.125
1995-04-19,18.375
1995-04-20,18.25
1995-04-21,18.5
1995-04-24,18.75
1995-04-25,19.0
1995-04-26,19.0
1995-04-27,19.0
1995-04-28,18.75
1995-05-01,18.5
1995-05-02,18.75
1995-05-03,18.5
1995-05-04,18.5
1995-05-05,18.5
1995-05-08,18.0
1995-05-09,18.0
1995-05-10,17.75
1995-05-11,17.75
1995-05-12,18.125
1995-05-15,18.5
1995-05-16,18.875
1995-05-17,19.125
1995-05-18,19.0
1995-05-19,19.0
1995-05-22,19.125
1995-05-23,19.25
1995-05-24,19.0
1995-05-25,19.0
1995-05-26,18.75
1995-05-30,19.125
1995-05-31,19.25
1995-06-01,19.125
1995-06-02,19.25
1995-06-05,19.375
1995-06-06,20.0
1995-06-07,20.125
1995-06-08,20.0
1995-06-09,19.875
1995-06-12,20.0
1995-06-13,20.0
1995-06-14,20.25
1995-06-15,20.125
1995-06-16,20.25
1995-06-19,20.0
1995-06-20,19.875
1995-06-21,20.0
1995-06-22,19.875
1995-06-23,20.0
1995-06-26,20.0
1995-06-27,20.0
1995-06-28,20.125
1995-06-29,20.0
1995-06-30,20.25
1995-07-03,20.25
1995-07-05,20.125
1995-07-06,20.25
1995-07-07,20.25
1995-07-10,20.25
1995-07-11,20.25
1995-07-12,20.125
1995-07-13,19.75
1995-07-14,19.25
1995-07-17,19.125
1995-07-18,19.375
1995-07-19,19.5
1995-07-20,19.5
1995-07-21,19.5
1995-07-24,19.875
1995-07-25,19.875
1995-07-26,19.875
1995-07-27,19.625
1995-07-28,20.125
1995-07-31,20.0
1995-08-01,19.875
1995-08-02,19.625
1995-08-03,19.5
1995-08-04,19.375
1995-08-07,19.375
1995-08-08,19.375
1995-08-09,19.125
1995-08-10,19.5
1995-08-11,19.375
1995-08-14,19.625
1995-08-15,19.75
1995-08-16,19.875
1995-08-17,19.75
1995-08-18,19.75
1995-08-21,20.0
1995-08-22,19.875
1995-08-23,20.0
1995-08-24,20.0
1995-08-25,20.0
1995-08-28,19.875
1995-08-29,19.75
1995-08-30,20.0
1995-08-31,19.875
1995-09-01,19.875
1995-09-05,19.875
1995-09-06,20.0
1995-09-07,20.0
1995-09-08,20.125
1995-09-11,20.125
1995-09-12,20.125
1995-09-13,20.625
1995-09-14,20.5
1995-09-15,20.625
1995-09-18,20.25
1995-09-19,19.875
1995-09-20,19.5
1995-09-21,19.375
1995-09-22,19.5
1995-09-25,19.375
1995-09-26,19.5
1995-09-27,19.25
1995-09-28,19.25
1995-09-29,19.375
1995-10-02,19.125
1995-10-03,19.25
1995-10-04,19.125
1995-10-05,19.25
1995-10-06,19.25
1995-10-09,19.125
1995-10-10,19.0
1995-10-11,19.125
1995-10-12,19.25
1995-10-13,19.125
1995-10-16,19.125
1995-10-17,19.125
1995-10-18,19.125
1995-10-19,19.0
1995-10-20,18.875
1995-10-23,18.5
1995-10-24,18.5
1995-10-25,18.375
1995-10-26,18.25
1995-10-27,18.25
1995-10-30,18.375
1995-10-31,18.375
1995-11-01,18.25
1995-11-02,18.375
1995-11-03,18.625
1995-11-06,19.625
1995-11-07,19.875
1995-11-08,19.875
1995-11-09,20.0
1995-11-10,19.75
1995-11-13,19.5
1995-11-14,19.625
1995-11-15,19.75
1995-11-16,20.0
1995-11-17,20.25
1995-11-20,20.625
1995-11-21,21.0
1995-11-22,20.75
1995-11-24,20.875
1995-11-27,20.375
1995-11-28,20.375
1995-11-29,20.625
1995-11-30,20.875
1995-12-01,20.875
1995-12-04,21.0
1995-12-05,21.25
1995-12-06,21.25
1995-12-07,21.375
1995-12-08,21.625
1995-12-11,21.75
1995-12-12,22.125
1995-12-13,22.375
1995-12-14,22.5
1995-12-15,22.625
1995-12-18,22.875
1995-12-19,22.75
1995-12-20,23.0
1995-12-21,23.0
1995-12-22,23.0
1995-12-26,23.0
1995-12-27,22.875
1995-12-28,23.0
1995-12-29,23.0
1996-01-02,22.875
