Date,Close
1995-01-03,21.75
1995-01-04,22.5
1995-01-05,22.875
1995-01-06,22.125
1995-01-09,22.0
1995-01-10,21.875
1995-01-11,21.625
1995-01-12,21.5
1995-01-13,21.75
1995-01-16,22.5
1995-01-17,22.375
1995-01-18,21.875
1995-01-19,21.75
1995-01-20,21.875
1995-01-23,22.0
1995-01-24,22.375
1995-01-25,23.0
1995-01-26,23.5
1995-01-27,23.625
1995-01-30,23.5
1995-01-31,23.5
1995-02-01,23.5
1995-02-02,24.0
1995-02-03,24.25
1995-02-06,24.125
1995-02-07,23.875
1995-02-08,24.0
1995-02-09,24.125
1995-02-10,24.125
1995-02-13,24.125
1995-02-14,25.0
1995-02-15,25.125
1995-02-16,25.25
1995-02-17,24.875
1995-02-21,24.875
1995-02-22,25.375
1995-02-23,25.625
1995-02-24,25.625
1995-02-27,25.375
1995-02-28,25.5
1995-03-01,25.125
1995-03-02,24.875
1995-03-03,25.125
1995-03-06,24.875
1995-03-07,24.25
1995-03-08,24.125
1995-03-09,24.25
1995-03-10,24.625
1995-03-13,24.375
1995-03-14,24.625
1995-03-15,24.625
1995-03-16,24.625
1995-03-17,24.5
1995-03-20,24.375
1995-03-21,24.625
1995-03-22,24.625
1995-03-23,24.5
1995-03-24,24.375
1995-03-27,24.375
1995-03-28,24.5
1995-03-29,24.25
1995-03-30,24.25
1995-03-31,24.375
1995-04-03,24.5
1995-04-04,24.625
1995-04-05,25.125
1995-04-06,25.5
1995-04-07,25.5
1995-04-10,25.0
1995-04-11,24.75
1995-04-12,24.25
1995-04-13,24.75
1995-04-17,24.5
1995-04-18,24.75
1995-04-19,25.0
1995-04-20,25.0
1995-04-21,25.375
1995-04-24,25.25
1995-04-25,25.25
1995-04-26,24.875
1995-04-27,25.125
1995-04-28,25.125
1995-05-01,25.125
1995-05-02,25.25
1995-05-03,25.375
1995-05-04,25.5
1995-05-05,25.375
1995-05-08,25.5
1995-05-09,25.625
1995-05-10,25.75
1995-05-11,25.5
1995-05-12,25.625
1995-05-15,26.0
1995-05-16,26.375
1995-05-17,26.0
1995-05-18,25.625
1995-05-19,25.75
1995-05-22,26.125
1995-05-23,26.75
1995-05-24,27.0
1995-05-25,27.0
1995-05-26,26.375
1995-05-30,26.875
1995-05-31,27.0
1995-06-01,27.0
1995-06-02,27.0
1995-06-05,27.75
1995-06-06,27.875
1995-06-07,27.625
1995-06-08,27.125
1995-06-09,26.125
1995-06-12,26.0
1995-06-13,26.75
1995-06-14,26.875
1995-06-15,26.625
1995-06-16,26.625
1995-06-19,27.125
1995-06-20,26.875
1995-06-21,26.75
1995-06-22,27.25
1995-06-23,26.625
1995-06-26,26.75
1995-06-27,26.625
1995-06-28,26.625
1995-06-29,26.625
1995-06-30,26.375
1995-07-03,26.375
1995-07-05,26.5
1995-07-06,26.875
1995-07-07,26.875
1995-07-10,25.125
1995-07-11,24.75
1995-07-12,24.875
1995-07-13,24.875
1995-07-14,24.375
1995-07-17,24.5
1995-07-18,24.5
1995-07-19,24.125
1995-07-20,24.0
1995-07-21,24.375
1995-07-24,24.5
1995-07-25,24.625
1995-07-26,24.75
1995-07-27,24.625
1995-07-28,24.625
1995-07-31,24.75
1995-08-01,24.75
1995-08-02,24.75
1995-08-03,24.75
1995-08-04,24.625
1995-08-07,25.0
1995-08-08,25.0
1995-08-09,25.0
1995-08-10,25.25
1995-08-11,25.125
1995-08-14,25.125
1995-08-15,25.125
1995-08-16,25.0
1995-08-17,24.875
1995-08-18,25.0
1995-08-21,24.875
1995-08-22,25.0
1995-08-23,25.0
1995-08-24,25.0
1995-08-25,25.5
1995-08-28,26.0
1995-08-29,26.25
1995-08-30,26.25
1995-08-31,26.25
1995-09-01,26.5
1995-09-05,26.75
1995-09-06,27.5
1995-09-07,27.375
1995-09-08,27.5
1995-09-11,27.375
1995-09-12,27.375
1995-09-13,27.375
1995-09-14,27.75
1995-09-15,28.125
1995-09-18,27.875
1995-09-19,27.875
1995-09-20,28.0
1995-09-21,28.375
1995-09-22,28.625
1995-09-25,28.375
1995-09-26,28.25
1995-09-27,28.125
1995-09-28,28.125
1995-09-29,27.875
1995-10-02,27.875
1995-10-03,28.0
1995-10-04,28.625
1995-10-05,29.0
1995-10-06,29.0
1995-10-09,28.875
1995-10-10,28.875
1995-10-11,29.0
1995-10-12,28.75
1995-10-13,28.5
1995-10-16,28.625
1995-10-17,28.75
1995-10-18,29.25
1995-10-19,29.0
1995-10-20,28.25
1995-10-23,27.625
1995-10-24,27.875
1995-10-25,27.25
1995-10-26,26.625
1995-10-27,26.875
1995-10-30,26.625
1995-10-31,26.25
1995-11-01,26.625
1995-11-02,27.75
1995-11-03,27.5
1995-11-06,27.5
1995-11-07,26.875
1995-11-08,27.5
1995-11-09,27.5
1995-11-10,27.5
1995-11-13,27.625
1995-11-14,27.375
1995-11-15,27.5
1995-11-16,27.75
1995-11-17,27.375
1995-11-20,27.75
1995-11-21,28.625
1995-11-22,29.25
1995-11-24,29.0
1995-11-27,29.125
1995-11-28,29.125
1995-11-29,29.25
1995-11-30,29.25
1995-12-01,29.75
1995-12-04,30.25
1995-12-05,30.125
1995-12-06,30.375
1995-12-07,29.875
1995-12-08,30.0
1995-12-11,30.0
1995-12-12,29.5
1995-12-13,29.25
1995-12-14,28.875
1995-12-15,29.0
1995-12-18,28.25
1995-12-19,28.875
1995-12-20,29.25
1995-12-21,29.875
1995-12-22,29.75
1995-12-26,30.125
1995-12-27,31.5
1995-12-28,31.75
1995-12-29,32.25
1996-01-02,31.5625
