Date,Close
1995-06-16,7.5
1995-06-19,7.1875
1995-06-20,7.1875
1995-06-21,7.0625
1995-06-22,7.3125
1995-06-23,7.3125
1995-06-26,7.0625
1995-06-27,7.0
1995-06-28,7.0
1995-06-29,7.0
1995-06-30,7.125
1995-07-03,7.0625
1995-07-05,7.0625
1995-07-06,7.0625
1995-07-07,7.5625
1995-07-10,7.75
1995-07-11,8.5
1995-07-12,9.0
1995-07-13,8.9375
1995-07-14,8.9375
1995-07-17,9.4375
1995-07-18,9.0625
1995-07-19,8.875
1995-07-20,8.6875
1995-07-21,8.6875
1995-07-24,8.5625
1995-07-25,8.75
1995-07-26,9.125
1995-07-27,9.3125
1995-07-28,9.3125
1995-07-31,9.25
1995-08-01,9.0625
1995-08-02,8.875
1995-08-03,8.75
1995-08-04,8.625
1995-08-07,8.6875
1995-08-08,8.5625
1995-08-09,8.1875
1995-08-10,8.125
1995-08-11,8.125
1995-08-14,8.0
1995-08-15,8.0
1995-08-16,8.1875
1995-08-17,8.25
1995-08-18,8.25
1995-08-21,8.375
1995-08-22,8.4375
1995-08-23,8.5625
1995-08-24,8.75
1995-08-25,8.5625
1995-08-28,8.4375
1995-08-29,8.1875
1995-08-30,8.1875
1995-08-31,8.125
1995-09-01,8.0625
1995-09-05,8.0
1995-09-06,7.8125
1995-09-07,7.75
1995-09-08,7.9375
1995-09-11,7.875
1995-09-12,8.0
1995-09-13,7.8125
1995-09-14,7.8125
1995-09-15,7.75
1995-09-18,7.5
1995-09-19,7.5
1995-09-20,7.25
1995-09-21,7.375
1995-09-22,7.375
1995-09-25,7.3125
1995-09-26,7.3125
1995-09-27,7.0625
1995-09-28,7.1875
1995-09-29,7.1875
1995-10-02,7.125
1995-10-03,6.75
1995-10-04,6.5625
1995-10-05,7.375
1995-10-06,7.5625
1995-10-09,7.3125
1995-10-10,7.3125
1995-10-11,7.3125
1995-10-12,7.375
1995-10-13,7.5
1995-10-16,7.4375
1995-10-17,7.3125
1995-10-18,6.75
1995-10-19,6.75
1995-10-20,6.5
1995-10-23,6.3125
1995-10-24,6.25
1995-10-25,6.375
1995-10-26,6.1875
1995-10-27,6.0
1995-10-30,5.125
1995-10-31,4.375
1995-11-01,4.5
1995-11-02,4.6875
1995-11-03,5.125
1995-11-06,4.875
1995-11-07,4.875
1995-11-08,4.9375
1995-11-09,4.75
1995-11-10,4.5625
1995-11-13,4.4375
1995-11-14,4.5
1995-11-15,4.5
1995-11-16,4.5625
1995-11-17,4.4375
1995-11-20,4.5625
1995-11-21,4.625
1995-11-22,4.5625
1995-11-24,4.5625
1995-11-27,4.5
1995-11-28,4.5625
1995-11-29,4.625
1995-11-30,4.625
1995-12-01,4.6875
1995-12-04,4.6875
1995-12-05,4.4375
1995-12-06,4.3125
1995-12-07,4.5
1995-12-08,4.4375
1995-12-11,4.375
1995-12-12,4.4375
1995-12-13,4.375
1995-12-14,4.375
1995-12-15,4.375
1995-12-18,4.5
1995-12-19,4.8125
1995-12-20,4.75
1995-12-21,4.6875
1995-12-22,4.6875
1995-12-26,4.6875
1995-12-27,5.125
1995-12-28,5.25
1995-12-29,5.3125
1996-01-02,5.1875
