Date,Close
1995-01-03,4.1875
1995-01-04,4.53125
1995-01-05,4.71875
1995-01-06,4.78125
1995-01-09,4.6875
1995-01-10,4.59375
1995-01-11,4.53125
1995-01-12,4.53125
1995-01-13,4.5625
1995-01-16,4.59375
1995-01-17,4.59375
1995-01-18,4.59375
1995-01-19,4.65625
1995-01-20,4.5625
1995-01-23,4.5
1995-01-24,4.5625
1995-01-25,4.5625
1995-01-26,4.65625
1995-01-27,4.5625
1995-01-30,4.46875
1995-01-31,4.625
1995-02-01,4.59375
1995-02-02,4.53125
1995-02-03,4.46875
1995-02-06,4.5
1995-02-07,4.5
1995-02-08,4.5
1995-02-09,4.5
1995-02-10,4.5625
1995-02-13,4.625
1995-02-14,4.625
1995-02-15,4.6875
1995-02-16,4.6875
1995-02-17,4.6875
1995-02-21,4.59375
1995-02-22,4.84375
1995-02-23,5.125
1995-02-24,5.125
1995-02-27,5.34375
1995-02-28,5.40625
1995-03-01,5.59375
1995-03-02,5.5
1995-03-03,5.5
1995-03-06,5.5
1995-03-07,5.375
1995-03-08,5.5
1995-03-09,5.46875
1995-03-10,5.65625
1995-03-13,5.65625
1995-03-14,5.9375
1995-03-15,6.15625
1995-03-16,6.125
1995-03-17,6.0625
1995-03-20,6.0625
1995-03-21,6.1875
1995-03-22,6.21875
1995-03-23,6.34375
1995-03-24,6.375
1995-03-27,6.53125
1995-03-28,6.46875
1995-03-29,6.34375
1995-03-30,6.21875
1995-03-31,6.15625
1995-04-03,6.3125
1995-04-04,6.4375
1995-04-05,6.90625
1995-04-06,7.0
1995-04-07,6.71875
1995-04-10,6.875
1995-04-11,6.84375
1995-04-12,6.8125
1995-04-13,6.90625
1995-04-17,6.9375
1995-04-18,6.90625
1995-04-19,6.71875
1995-04-20,6.59375
1995-04-21,6.59375
1995-04-24,6.65625
1995-04-25,6.5
1995-04-26,6.5625
1995-04-27,6.6875
1995-04-28,6.8125
1995-05-01,6.78125
1995-05-02,7.09375
1995-05-03,7.125
1995-05-04,7.125
1995-05-05,6.8125
1995-05-08,6.9375
1995-05-09,6.9375
1995-05-10,7.09375
1995-05-11,7.0
1995-05-12,6.9375
1995-05-15,6.90625
1995-05-16,6.96875
1995-05-17,6.8125
1995-05-18,6.46875
1995-05-19,6.5
1995-05-22,6.65625
1995-05-23,6.8125
1995-05-24,6.875
1995-05-25,6.78125
1995-05-26,6.9375
1995-05-30,6.90625
1995-05-31,7.1875
1995-06-01,7.0625
1995-06-02,7.0
1995-06-05,7.09375
1995-06-06,7.09375
1995-06-07,7.09375
1995-06-08,7.03125
1995-06-09,7.09375
1995-06-12,7.21875
1995-06-13,7.4375
1995-06-14,7.5
1995-06-15,7.59375
1995-06-16,7.8125
1995-06-19,8.0
1995-06-20,8.0625
1995-06-21,8.1875
1995-06-22,8.1875
1995-06-23,8.15625
1995-06-26,7.75
1995-06-27,7.8125
1995-06-28,8.0
1995-06-29,7.9375
1995-06-30,7.96875
1995-07-03,7.96875
1995-07-05,7.9375
1995-07-06,8.25
1995-07-07,8.09375
1995-07-10,7.625
1995-07-11,8.21875
1995-07-12,8.15625
1995-07-13,8.09375
1995-07-14,8.28125
1995-07-17,8.25
1995-07-18,8.09375
1995-07-19,7.8125
1995-07-20,8.15625
1995-07-21,8.28125
1995-07-24,8.375
1995-07-25,8.75
1995-07-26,8.75
1995-07-27,9.375
1995-07-28,8.96875
1995-07-31,9.125
1995-08-01,9.03125
1995-08-02,9.25
1995-08-03,9.1875
1995-08-04,9.28125
1995-08-07,9.25
1995-08-08,9.4375
1995-08-09,9.5
1995-08-10,9.6875
1995-08-11,9.53125
1995-08-14,9.75
1995-08-15,9.5
1995-08-16,9.59375
1995-08-17,9.75
1995-08-18,9.65625
1995-08-21,9.4375
1995-08-22,9.28125
1995-08-23,9.5
1995-08-24,9.78125
1995-08-25,9.6875
1995-08-28,9.71875
1995-08-29,9.75
1995-08-30,9.96875
1995-08-31,9.9375
1995-09-01,9.96875
1995-09-05,9.96875
1995-09-06,9.9375
1995-09-07,9.96875
1995-09-08,9.90625
1995-09-11,9.875
1995-09-12,9.75
1995-09-13,9.9375
1995-09-14,10.125
1995-09-15,10.34375
1995-09-18,10.34375
1995-09-19,10.53125
1995-09-20,10.46875
1995-09-21,10.3125
1995-09-22,10.21875
1995-09-25,10.15625
1995-09-26,10.25
1995-09-27,10.21875
1995-09-28,10.5
1995-09-29,10.875
1995-10-02,10.625
1995-10-03,10.28125
1995-10-04,10.4375
1995-10-05,10.59375
1995-10-06,10.4375
1995-10-09,10.15625
1995-10-10,10.03125
1995-10-11,10.0625
1995-10-12,10.5625
1995-10-13,10.40625
1995-10-16,10.40625
1995-10-17,10.53125
1995-10-18,10.53125
1995-10-19,10.4375
1995-10-20,10.0
1995-10-23,10.53125
1995-10-24,10.6875
1995-10-25,10.53125
1995-10-26,10.46875
1995-10-27,10.46875
1995-10-30,10.65625
1995-10-31,10.53125
1995-11-01,10.3125
1995-11-02,10.15625
1995-11-03,10.375
1995-11-06,10.1875
1995-11-07,10.28125
1995-11-08,10.25
1995-11-09,10.4375
1995-11-10,10.375
1995-11-13,10.5625
1995-11-14,10.40625
1995-11-15,10.1875
1995-11-16,10.09375
1995-11-17,10.3125
1995-11-20,10.53125
1995-11-21,10.53125
1995-11-22,10.375
1995-11-24,10.375
1995-11-27,10.1875
1995-11-28,10.1875
1995-11-29,10.28125
1995-11-30,10.125
1995-12-01,9.9375
1995-12-04,9.65625
1995-12-05,10.125
1995-12-06,10.25
1995-12-07,10.34375
1995-12-08,10.4375
1995-12-11,10.75
1995-12-12,10.8125
1995-12-13,11.0625
1995-12-14,11.59375
1995-12-15,11.71875
1995-12-18,11.09375
1995-12-19,11.34375
1995-12-20,11.5625
1995-12-21,11.6875
1995-12-22,11.8125
1995-12-26,11.75
1995-12-27,11.78125
1995-12-28,11.84375
1995-12-29,12.3125
1996-01-02,11.9375
