Date,Close
1995-01-03,22.5
1995-01-04,21.875
1995-01-05,21.875
1995-01-06,22.125
1995-01-09,22.375
1995-01-10,23.5
1995-01-11,23.5
1995-01-12,23.0
1995-01-13,23.625
1995-01-16,23.75
1995-01-17,23.375
1995-01-18,22.75
1995-01-19,22.25
1995-01-20,22.125
1995-01-23,22.375
1995-01-24,22.375
1995-01-25,22.375
1995-01-26,22.875
1995-01-27,22.375
1995-01-30,23.25
1995-01-31,22.875
1995-02-01,23.75
1995-02-02,24.875
1995-02-03,25.375
1995-02-06,25.25
1995-02-07,24.375
1995-02-08,24.75
1995-02-09,24.625
1995-02-10,24.5
1995-02-13,24.0
1995-02-14,23.625
1995-02-15,23.375
1995-02-16,23.75
1995-02-17,23.625
1995-02-21,23.5
1995-02-22,23.5
1995-02-23,23.125
1995-02-24,22.875
1995-02-27,23.25
1995-02-28,23.5
1995-03-01,24.125
1995-03-02,23.875
1995-03-03,24.0
1995-03-06,23.5
1995-03-07,23.0
1995-03-08,23.125
1995-03-09,23.125
1995-03-10,22.875
1995-03-13,23.5
1995-03-14,23.625
1995-03-15,23.75
1995-03-16,24.625
1995-03-17,24.375
1995-03-20,25.125
1995-03-21,24.625
1995-03-22,24.75
1995-03-23,24.25
1995-03-24,24.125
1995-03-27,24.625
1995-03-28,25.875
1995-03-29,26.5
1995-03-30,25.875
1995-03-31,25.625
1995-04-03,26.0
1995-04-04,27.125
1995-04-05,26.5
1995-04-06,25.375
1995-04-07,25.125
1995-04-10,24.5
1995-04-11,24.75
1995-04-12,25.25
1995-04-13,26.0
1995-04-17,25.25
1995-04-18,24.625
1995-04-19,21.875
1995-04-20,20.875
1995-04-21,21.625
1995-04-24,21.625
1995-04-25,20.5
1995-04-26,20.875
1995-04-27,20.0
1995-04-28,19.5
1995-05-01,20.0
1995-05-02,20.25
1995-05-03,19.75
1995-05-04,18.25
1995-05-05,18.75
1995-05-08,19.5
1995-05-09,20.25
1995-05-10,21.5
1995-05-11,21.5
1995-05-12,21.0
1995-05-15,20.875
1995-05-16,20.875
1995-05-17,21.125
1995-05-18,20.875
1995-05-19,20.75
1995-05-22,20.375
1995-05-23,21.5
1995-05-24,21.5
1995-05-25,21.25
1995-05-26,20.875
1995-05-30,20.875
1995-05-31,21.125
1995-06-01,21.375
1995-06-02,21.875
1995-06-05,22.5
1995-06-06,22.625
1995-06-07,23.375
1995-06-08,23.25
1995-06-09,22.875
1995-06-12,22.75
1995-06-13,22.875
1995-06-14,19.625
1995-06-15,20.0
1995-06-16,19.875
1995-06-19,20.0
1995-06-20,20.0
1995-06-21,19.875
1995-06-22,19.875
1995-06-23,19.375
1995-06-26,18.875
1995-06-27,17.875
1995-06-28,17.5
1995-06-29,17.375
1995-06-30,17.75
1995-07-03,17.9375
1995-07-05,17.625
1995-07-06,17.625
1995-07-07,17.5
1995-07-10,17.5
1995-07-11,17.75
1995-07-12,18.25
1995-07-13,18.625
1995-07-14,19.0
1995-07-17,19.125
1995-07-18,19.125
1995-07-19,18.75
1995-07-20,19.375
1995-07-21,19.0
1995-07-24,19.125
1995-07-25,19.375
1995-07-26,19.75
1995-07-27,19.75
1995-07-28,20.125
1995-07-31,19.5
1995-08-01,19.875
1995-08-02,19.875
1995-08-03,18.703125
1995-08-04,18.0
1995-08-07,18.25
1995-08-08,18.625
1995-08-09,18.25
1995-08-10,18.5
1995-08-11,18.625
1995-08-14,18.75
1995-08-15,18.625
1995-08-16,18.75
1995-08-17,19.25
1995-08-18,19.0
1995-08-21,18.625
1995-08-22,18.5
1995-08-23,18.25
1995-08-24,18.5
1995-08-25,18.375
1995-08-28,18.25
1995-08-29,18.125
1995-08-30,18.25
1995-08-31,18.25
1995-09-01,18.25
1995-09-05,18.625
1995-09-06,19.375
1995-09-07,19.375
1995-09-08,20.375
1995-09-11,20.0
1995-09-12,19.75
1995-09-13,20.125
1995-09-14,20.125
1995-09-15,19.875
1995-09-18,19.875
1995-09-19,20.25
1995-09-20,20.125
1995-09-21,20.125
1995-09-22,19.875
1995-09-25,19.75
1995-09-26,19.75
1995-09-27,19.75
1995-09-28,20.0
1995-09-29,20.125
1995-10-02,19.875
1995-10-03,19.875
1995-10-04,19.75
1995-10-05,19.625
1995-10-06,19.75
1995-10-09,19.375
1995-10-10,18.875
1995-10-11,18.625
1995-10-12,19.25
1995-10-13,20.0
1995-10-16,19.875
1995-10-17,20.375
1995-10-18,20.25
1995-10-19,20.5
1995-10-20,20.125
1995-10-23,20.375
1995-10-24,21.625
1995-10-25,21.75
1995-10-26,21.375
1995-10-27,21.5
1995-10-30,21.375
1995-10-31,21.125
1995-11-01,22.75
1995-11-02,22.75
1995-11-03,23.625
1995-11-06,23.0
1995-11-07,22.375
1995-11-08,23.125
1995-11-09,23.0
1995-11-10,22.75
1995-11-13,22.75
1995-11-14,22.25
1995-11-15,22.25
1995-11-16,23.0
1995-11-17,23.125
1995-11-20,23.0
1995-11-21,23.25
1995-11-22,24.375
1995-11-24,24.5
1995-11-27,24.625
1995-11-28,24.75
1995-11-29,25.625
1995-11-30,28.0
1995-12-01,27.25
1995-12-04,27.125
1995-12-05,27.125
1995-12-06,26.75
1995-12-07,26.875
1995-12-08,26.75
1995-12-11,26.5
1995-12-12,27.125
1995-12-13,27.125
1995-12-14,26.875
1995-12-15,27.125
1995-12-18,26.5
1995-12-19,25.875
1995-12-20,25.625
1995-12-21,25.75
1995-12-22,26.75
1995-12-26,26.75
1995-12-27,26.875
1995-12-28,27.0
1995-12-29,27.375
1996-01-02,26.875
