Date,ndx_close,trailing_10_close_high,pullback_from_10_close_high_pct,raw_macd_cross,confirmed_macd_cross_2pct,confirmed_macd_cross_3pct,confirmed_macd_cross_4pct
2002-01-02,1610.39,,,False,False,False,False
2002-01-03,1666.66,,,False,False,False,False
2002-01-04,1675.03,,,False,False,False,False
2002-01-07,1649.83,,,False,False,False,False
2002-01-08,1666.58,,,False,False,False,False
2002-01-09,1653.76,,,False,False,False,False
2002-01-10,1656.68,,,False,False,False,False
2002-01-11,1634.17,,,False,False,False,False
2002-01-14,1603.76,,,True,False,False,False
2002-01-15,1612.46,1675.03,-3.7354554843793797,False,False,False,False
2002-01-16,1558.98,1675.03,-6.928234121179921,False,False,False,False
2002-01-17,1602.32,1675.03,-4.340817776398032,False,False,False,False
2002-01-18,1548.22,1666.58,-7.101969302403721,False,False,False,False
2002-01-22,1501.78,1666.58,-9.888514202738541,False,False,False,False
2002-01-23,1549.21,1656.68,-6.487070526595362,False,False,False,False
2002-01-24,1565.13,1656.68,-5.526112465895638,False,False,False,False
2002-01-25,1558.26,1634.17,-4.6451715549789885,False,False,False,False
2002-01-28,1564.86,1612.46,-2.952011212681249,False,False,False,False
2002-01-29,1519.33,1612.46,-5.775647147836227,False,False,False,False
2002-01-30,1538.94,1602.32,-3.9555145039692374,False,False,False,False
2002-01-31,1550.17,1602.32,-3.254655749163704,False,False,False,False
2002-02-01,1528.15,1565.13,-2.3627430309303366,False,False,False,False
2002-02-04,1479.17,1565.13,-5.492195536473011,False,False,False,False
2002-02-05,1462.86,1565.13,-6.5342814973836205,False,False,False,False
2002-02-06,1445.96,1565.13,-7.614064007462639,False,False,False,False
2002-02-07,1413.86,1564.86,-9.64942550771315,False,False,False,False
2002-02-08,1452.17,1564.86,-7.201283181882079,False,False,False,False
2002-02-11,1477.64,1550.17,-4.678841675429146,False,False,False,False
2002-02-12,1464.76,1550.17,-5.509718288961862,False,False,False,False
