entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,status,current_date,current_price
1998-09-01,1998-09-09,1140.34,1286.47,12.70184093459349,0.0,11268.057075050005,VIX,bearish-divergence,1998-09-24,closed,,
1998-10-09,1998-12-22,1128.88,1787.3,58.16681960911685,0.0,17819.74583915058,VIX,climax-top,1999-01-06,closed,,
1999-10-18,1999-10-20,2401.2,2384.52,-0.7939083931297433,-1.6221056138597294,17676.281320383107,MA200,bearish-divergence,1999-11-04,closed,,
2000-02-14,2000-03-06,3969.95,4448.48,11.94180639878175,-0.1057947833096089,19785.029196103293,MA200,climax-top,2000-03-21,closed,,
2000-05-12,2000-06-02,3381.57,3518.98,3.9594856416012334,-10.591234249180117,20566.374991453198,MA200-recross,climax-top,2000-06-17,closed,,
2000-08-01,2000-10-13,3609.35,2990.99,-17.214997028616608,-16.759250280521425,17024.04629775067,MA200-recross,trailing-stop,2000-10-28,closed,,
2001-09-18,2001-11-29,1268.28,1569.42,23.620286081767546,-11.143438357460491,21042.938533111115,VIX,climax-top,2001-12-14,closed,,
2001-12-18,2002-04-29,1653.31,1256.58,-24.072070695996988,-24.340262866613028,15975.708213612375,MA200-recross,trailing-stop,2002-05-14,closed,,
2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,17773.488552880877,VIX,climax-top,2002-08-30,closed,,
2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,21548.093869155695,VIX,climax-top,2002-11-27,closed,,
2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,21838.141043601172,MA200-recross,climax-top,2003-04-02,closed,,
2004-03-25,2004-06-14,1394.2,1470.62,5.375851021555637,0.0,23010.07321347215,MA200-recross,bearish-divergence,2004-06-29,closed,,
2005-03-31,2007-07-27,1489.44,1988.85,33.3965882431005,-5.5450370609088075,30692.31865312898,MA200-recross,bearish-divergence,2007-08-11,closed,,
2008-01-23,2008-09-30,1725.46,1540.51,-10.808117263218783,-13.289789389496132,27373.16494347066,VIX,trailing-stop,2008-10-15,closed,,
2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,28788.55598368267,VIX,climax-top,2008-11-20,closed,,
2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,30779.961924486797,VIX,climax-top,2009-01-29,closed,,
2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,31425.268070624723,VIX,climax-top,2009-03-05,closed,,
2009-03-09,2011-09-19,1058.85,2277.64,114.8900692497403,0.0,67526.63141818948,VIX,bearish-divergence,2011-10-04,closed,,
2011-10-06,2014-08-08,2181.58,3864.09,76.9464260343174,-1.4072369567010983,119483.19145159244,VIX,bearish-divergence,2014-08-23,closed,,
2015-08-25,2018-03-23,4187.28,6683.19,59.447425295777634,-5.719225845895178,190510.2779565359,VIX,bearish-divergence,2018-04-07,closed,,
2018-10-15,2020-02-26,7129.31,8883.01,24.473917241435135,-17.252160447504735,237133.3609808741,MA200-recross,bearish-divergence,2020-03-12,closed,,
2020-03-16,2021-12-01,7502.26,16347.96,117.6893390777586,-6.770893037564683,516210.86935874954,VIX,bearish-divergence,2021-12-16,closed,,
2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,531225.9977606328,VIX,climax-top,2022-11-29,closed,,
2023-01-27,2023-05-02,12000.21,13225.48,10.100249324264201,-1.4160585523086553,584879.0470072736,MA200-recross,bearish-divergence,2023-05-17,closed,,
2023-10-30,2024-12-19,14283.98,21358.79,49.38022794807871,0.0,873691.1598377363,MA200,bearish-divergence,2025-01-03,closed,,
2025-04-07,,16771.77,,78.96804496819489,0.0,1563626.1981410936,VIX,,,open,2026-08-14,30046.14
