"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2026","43.14","42.34","45.72","42.34","","-4.81%"
"05/18/2026","45.32","42.94","45.32","42.54","","8.06%"
"05/15/2026","41.94","44.73","44.73","41.74","","-9.46%"
"05/14/2026","46.32","47.11","47.71","46.12","","2.66%"
"05/13/2026","45.12","45.32","46.52","43.53","","-3.82%"
"05/12/2026","46.91","46.21","47.80","45.01","","1.08%"
"05/11/2026","46.41","46.41","46.81","45.41","","1.31%"
"05/08/2026","45.81","46.52","47.31","45.52","","-4.38%"
"05/07/2026","47.91","50.49","50.49","47.31","","-6.59%"
"05/06/2026","51.29","52.28","53.67","51.29","","6.61%"
"05/05/2026","48.11","47.71","49.90","47.11","","-0.41%"
"05/04/2026","48.31","51.29","51.68","47.11","","-7.24%"
"05/01/2026","52.08","53.67","55.06","51.88","","-2.25%"
"04/30/2026","53.28","51.88","53.67","51.49","","8.07%"
"04/29/2026","49.30","50.69","50.69","48.31","","-4.61%"
"04/28/2026","51.68","53.08","53.08","50.29","","-1.15%"
"04/27/2026","52.28","53.87","53.87","52.28","","0.00%"
"04/24/2026","52.28","52.48","53.08","52.08","","-3.67%"
"04/23/2026","54.27","53.87","55.06","52.28","","1.86%"
"04/22/2026","53.28","54.87","56.85","51.49","","-0.36%"
"04/21/2026","53.47","56.26","56.26","53.47","","-8.82%"
"04/20/2026","58.64","57.25","58.84","56.46","","3.15%"
"04/17/2026","56.85","55.26","60.63","55.26","","9.16%"
"04/16/2026","52.08","51.68","52.08","50.29","","6.07%"
"04/15/2026","49.10","51.68","51.68","48.50","","-6.44%"
"04/14/2026","52.48","53.08","53.47","52.48","","3.33%"
"04/13/2026","50.79","47.80","50.99","46.81","","2.40%"
"04/10/2026","49.60","51.39","51.59","49.20","","-3.11%"
"04/09/2026","51.19","49.40","52.58","48.60","","1.99%"
"04/08/2026","50.19","50.49","51.09","48.70","","19.67%"
"04/07/2026","41.94","42.54","42.54","40.95","","-1.87%"
"04/06/2026","42.74","40.55","42.74","40.55","","0.47%"
"04/02/2026","42.54","37.77","42.74","37.77","","3.88%"
"04/01/2026","40.95","32.80","41.35","32.80","","1.99%"
"03/31/2026","40.15","32.80","41.35","32.80","","21.67%"
"03/30/2026","33.00","34.19","35.38","32.40","","-1.17%"
"03/27/2026","33.39","36.77","37.37","33.00","","-10.17%"
"03/26/2026","37.17","41.74","41.74","37.17","","-6.51%"
"03/25/2026","39.76","42.14","42.14","38.76","","1.02%"
"03/24/2026","39.36","40.15","40.95","39.36","","3.66%"
"03/23/2026","37.97","39.16","40.35","37.97","","13.04%"
"03/20/2026","33.59","36.97","36.97","32.20","","-11.07%"
"03/19/2026","37.77","37.97","39.56","35.58","","-5.01%"
"03/18/2026","39.76","43.33","43.33","39.76","","-11.88%"
"03/17/2026","45.12","46.91","46.91","44.53","","2.24%"
"03/16/2026","44.13","45.12","45.12","43.53","","3.74%"
"03/13/2026","42.54","44.53","44.53","42.34","","-3.60%"
"03/12/2026","44.13","45.92","46.71","43.93","","-9.38%"
"03/11/2026","48.70","48.31","48.70","47.31","","-3.55%"
"03/10/2026","50.49","52.28","56.46","50.49","","-5.24%"
"03/09/2026","53.28","45.72","55.06","45.72","","0.00%"
"03/06/2026","53.28","51.29","54.27","49.30","","-10.36%"
"03/05/2026","59.44","60.23","60.23","56.46","","-1.96%"
"03/04/2026","60.63","60.43","61.23","60.43","","-0.98%"
"03/03/2026","61.23","58.44","62.82","57.05","","-5.23%"
"03/02/2026","64.61","63.41","65.00","63.22","","-2.40%"
"02/27/2026","66.20","65.40","66.99","64.61","","-1.47%"
"02/26/2026","67.19","66.20","67.19","65.00","","3.67%"
"02/25/2026","64.81","63.61","65.20","62.82","","0.00%"
"02/24/2026","64.81","64.41","65.40","64.41","","0.93%"
"02/23/2026","64.21","66.20","66.20","63.61","","-3.30%"
"02/20/2026","66.40","66.20","66.40","64.61","","1.84%"
"02/19/2026","65.20","65.60","65.60","64.41","","-2.10%"
"02/18/2026","66.60","66.40","66.60","65.40","","4.05%"
"02/17/2026","64.01","65.80","65.80","63.22","","-2.13%"
"02/13/2026","65.40","64.41","66.60","64.41","","3.45%"
"02/12/2026","63.22","66.79","67.19","63.02","","-3.92%"
"02/11/2026","65.80","66.99","66.99","65.40","","-1.78%"
"02/10/2026","66.99","66.33","67.79","66.33","","3.16%"
"02/09/2026","64.94","65.13","65.73","64.34","","-2.68%"
"02/06/2026","66.73","65.60","66.79","64.81","","6.22%"
"02/05/2026","62.82","65.20","65.20","62.22","","-5.68%"
"02/04/2026","66.60","64.01","66.99","64.01","","7.04%"
"02/03/2026","62.22","64.81","64.81","59.84","","-1.58%"
"02/02/2026","63.22","64.21","64.61","63.02","","-1.23%"
"01/30/2026","64.01","59.64","64.01","59.44","","3.86%"
"01/29/2026","61.63","61.82","61.82","58.44","","2.32%"
"01/28/2026","60.23","63.02","63.81","59.44","","-3.20%"
"01/27/2026","62.22","64.01","64.01","62.02","","-4.86%"
"01/26/2026","65.40","66.20","66.20","63.02","","4.44%"
"01/23/2026","62.62","61.82","62.62","60.23","","-0.95%"
"01/22/2026","63.22","64.61","65.80","63.22","","-1.74%"
"01/21/2026","64.34","61.15","64.54","60.75","","8.39%"
"01/20/2026","59.36","60.75","61.95","58.36","","-9.14%"
"01/16/2026","65.33","63.94","65.73","63.74","","-0.91%"
"01/15/2026","65.93","65.13","66.93","64.94","","3.76%"
"01/14/2026","63.54","63.41","64.61","61.82","","2.12%"
"01/13/2026","62.22","61.63","62.22","58.84","","0.00%"
"01/12/2026","62.22","60.03","62.62","60.03","","0.32%"
"01/09/2026","62.02","61.63","63.81","61.43","","0.96%"
"01/08/2026","61.43","58.84","62.22","58.84","","13.19%"
"01/07/2026","54.27","57.45","57.45","54.27","","-9.00%"
"01/06/2026","59.64","58.64","60.03","58.44","","2.74%"
"01/05/2026","58.05","56.85","58.84","56.66","","4.67%"
"01/02/2026","55.46","51.09","55.46","51.09","","4.88%"
"12/31/2025","52.88","55.66","55.66","52.48","","-5.33%"
"12/30/2025","55.86","56.66","56.85","55.86","","-1.06%"
"12/29/2025","56.46","56.46","57.05","55.66","","0.00%"
"12/26/2025","56.46","55.46","56.46","55.06","","0.71%"
"12/24/2025","56.06","55.06","57.05","54.87","","2.92%"
"12/23/2025","54.47","54.47","55.06","53.28","","-3.18%"
"12/22/2025","56.26","53.87","56.26","53.87","","8.86%"
"12/19/2025","51.68","51.49","53.87","51.49","","0.37%"
"12/18/2025","51.49","54.07","54.07","50.69","","0.39%"
"12/17/2025","51.29","51.29","52.48","51.09","","1.99%"
"12/16/2025","50.29","53.28","53.28","50.29","","-8.35%"
"12/15/2025","54.87","55.17","55.66","53.18","","0.53%"
"12/12/2025","54.58","56.46","56.85","53.67","","-1.23%"
"12/11/2025","55.26","54.67","55.26","54.27","","6.52%"
"12/10/2025","51.88","48.31","52.68","48.31","","7.39%"
"12/09/2025","48.31","49.70","50.89","48.31","","-1.61%"
"12/08/2025","49.10","50.09","50.09","48.90","","-4.99%"
"12/05/2025","51.68","51.68","53.08","51.09","","0.00%"
"12/04/2025","51.68","52.28","52.68","51.09","","1.95%"
"12/03/2025","50.69","50.49","51.49","49.30","","4.52%"
"12/02/2025","48.50","49.50","50.29","47.91","","-3.00%"
"12/01/2025","50.00","51.29","52.08","49.90","","-3.62%"
"11/28/2025","51.88","50.29","53.08","50.29","","3.16%"
"11/26/2025","50.29","50.29","52.68","50.29","","3.69%"
"11/25/2025","48.50","44.53","49.90","44.53","","10.40%"
"11/24/2025","43.93","42.14","43.93","42.14","","3.76%"
"11/21/2025","42.34","40.35","45.52","39.96","","12.70%"
"11/20/2025","37.57","42.34","42.74","37.37","","-3.57%"
"11/19/2025","38.96","40.35","40.35","38.17","","-2.96%"
"11/18/2025","40.15","39.96","41.55","39.16","","-2.43%"
"11/17/2025","41.15","45.92","45.92","40.15","","-11.16%"
"11/14/2025","46.32","44.33","47.31","44.33","","-1.68%"
"11/13/2025","47.11","50.89","51.88","47.11","","-9.54%"
"11/12/2025","52.08","53.47","53.47","52.08","","3.15%"
"11/11/2025","50.49","49.70","51.88","49.70","","3.25%"
"11/10/2025","48.90","47.71","49.70","46.32","","2.49%"
"11/07/2025","47.71","44.73","47.71","43.73","","7.62%"
"11/06/2025","44.33","46.12","46.12","43.14","","-1.75%"
"11/05/2025","45.12","43.33","46.71","43.33","","1.32%"
"11/04/2025","44.53","43.53","45.12","43.33","","-0.89%"
"11/03/2025","44.93","43.33","45.32","41.94","","-4.63%"
"10/31/2025","47.11","45.92","47.91","45.12","","3.04%"
"10/30/2025","45.72","48.70","50.29","45.32","","-0.87%"
"10/29/2025","46.12","52.08","52.68","45.52","","-15.02%"
"10/28/2025","54.27","55.86","57.65","54.27","","-8.08%"
"10/27/2025","59.04","58.44","59.64","56.85","","4.57%"
"10/24/2025","56.46","59.44","59.44","56.46","","-0.69%"
"10/23/2025","56.85","55.66","58.64","54.87","","2.14%"
"10/22/2025","55.66","58.05","60.43","54.87","","-5.08%"
"10/21/2025","58.64","55.66","60.43","55.66","","3.15%"
"10/20/2025","56.85","55.46","57.25","55.26","","6.70%"
"10/17/2025","53.28","51.29","53.87","49.90","","5.11%"
"10/16/2025","50.69","55.46","55.46","49.10","","-7.28%"
"10/15/2025","54.67","57.45","59.84","53.08","","-2.13%"
"10/14/2025","55.86","50.69","57.85","50.69","","11.52%"
"10/13/2025","50.09","49.10","51.29","48.11","","8.14%"
"10/10/2025","46.32","56.85","58.64","46.12","","-18.52%"
"10/09/2025","56.85","62.02","62.02","56.06","","-8.34%"
"10/08/2025","62.02","60.23","63.22","60.23","","-0.64%"
"10/07/2025","62.42","63.02","63.02","61.43","","-2.79%"
"10/06/2025","64.21","63.61","65.60","63.61","","0.31%"
"10/03/2025","64.01","64.41","66.20","64.01","","1.89%"
"10/02/2025","62.82","62.82","63.22","60.63","","1.93%"
"10/01/2025","61.63","63.41","63.41","61.03","","-2.52%"
"09/30/2025","63.22","61.82","63.22","59.64","","3.59%"
"09/29/2025","61.03","61.23","62.02","60.63","","-0.65%"
"09/26/2025","61.43","60.83","61.43","59.24","","6.56%"
"09/25/2025","57.65","60.83","60.83","56.66","","-6.15%"
"09/24/2025","61.43","62.82","62.82","60.43","","-1.59%"
"09/23/2025","62.42","63.02","63.02","61.82","","0.97%"
"09/22/2025","61.82","59.24","62.22","59.24","","1.96%"
"09/19/2025","60.63","60.43","61.43","59.44","","-1.30%"
"09/18/2025","61.43","62.22","62.82","60.83","","0.00%"
"09/17/2025","61.43","63.41","65.00","61.03","","1.32%"
"09/16/2025","60.63","63.02","63.02","60.03","","-1.92%"
"09/15/2025","61.82","63.81","65.60","61.82","","-5.18%"
"09/12/2025","65.20","68.19","68.38","65.00","","-4.38%"
"09/11/2025","68.19","66.20","68.58","66.20","","7.86%"
"09/10/2025","63.22","64.21","64.61","61.43","","-1.54%"
"09/09/2025","64.21","64.21","64.81","62.82","","-2.12%"
"09/08/2025","65.60","62.62","65.60","62.62","","-2.37%"
"09/05/2025","67.19","67.99","67.99","65.80","","1.50%"
"09/04/2025","66.20","64.61","66.60","64.61","","0.61%"
"09/03/2025","65.80","64.81","65.80","63.41","","-0.60%"
"09/02/2025","66.20","65.80","67.19","64.61","","-5.13%"
"08/29/2025","69.78","69.58","70.17","68.78","","1.45%"
"08/28/2025","68.78","69.38","69.38","67.59","","-3.09%"
"08/27/2025","70.97","69.18","70.97","69.18","","1.71%"
"08/26/2025","69.78","69.98","69.98","68.78","","-0.29%"
"08/25/2025","69.98","72.96","72.96","69.78","","-7.85%"
"08/22/2025","75.94","74.75","75.94","74.75","","11.69%"
"08/21/2025","67.99","68.78","69.18","67.59","","-2.57%"
"08/20/2025","69.78","71.76","71.76","68.98","","0.29%"
"08/19/2025","69.58","67.59","70.37","67.59","","7.05%"
"08/18/2025","65.00","66.79","67.99","65.00","","-2.40%"
"08/15/2025","66.60","68.58","69.18","66.60","","-1.46%"
"08/14/2025","67.59","67.19","68.38","66.00","","-3.87%"
"08/13/2025","70.31","66.53","70.37","66.33","","6.97%"
"08/12/2025","65.73","64.34","65.73","63.14","","4.10%"
"08/11/2025","63.14","66.40","66.40","62.02","","-1.67%"
"08/08/2025","64.21","63.61","65.40","62.82","","2.21%"
"08/07/2025","62.82","64.61","64.61","60.63","","2.60%"
"08/06/2025","61.23","62.42","62.42","60.83","","-3.44%"
"08/05/2025","63.41","63.81","64.01","61.63","","-1.86%"
"08/04/2025","64.61","60.23","64.61","60.23","","10.56%"
"08/01/2025","58.44","57.45","60.23","56.26","","-6.38%"
"07/31/2025","62.42","67.79","67.99","62.02","","-7.10%"
"07/30/2025","67.19","70.91","71.37","66.00","","-6.56%"
"07/29/2025","71.91","71.31","72.70","70.71","","1.13%"
"07/28/2025","71.11","72.90","73.10","71.11","","-3.51%"
"07/25/2025","73.70","73.30","74.10","73.30","","-0.54%"
"07/24/2025","74.10","74.90","75.49","73.70","","-1.07%"
"07/23/2025","74.90","73.70","75.09","73.30","","2.18%"
"07/22/2025","73.30","72.90","73.30","69.72","","13.93%"
"07/21/2025","64.34","66.93","67.72","64.34","","-2.81%"
"07/18/2025","66.20","68.58","69.38","65.40","","0.00%"
"07/17/2025","66.20","63.61","67.39","62.02","","5.38%"
"07/16/2025","62.82","63.61","63.61","59.04","","4.30%"
"07/15/2025","60.23","67.39","67.39","60.23","","-11.67%"
"07/14/2025","68.19","67.52","68.72","66.33","","0.99%"
"07/11/2025","67.52","66.73","68.72","65.13","","-5.05%"
"07/10/2025","71.11","69.32","73.50","69.32","","0.57%"
"07/09/2025","70.71","70.91","71.11","67.52","","0.57%"
"07/08/2025","70.31","67.92","71.71","67.92","","2.31%"
"07/07/2025","68.72","71.91","72.11","66.93","","-4.50%"
"07/03/2025","71.96","72.61","73.01","71.96","","0.76%"
"07/02/2025","71.42","69.84","72.02","68.65","","0.00%"
"07/01/2025","71.42","62.82","75.34","62.82","","15.53%"
"06/30/2025","61.82","59.84","62.02","58.64","","4.71%"
"06/27/2025","59.04","58.25","61.82","57.85","","2.77%"
"06/26/2025","57.45","56.46","57.45","55.86","","5.47%"
"06/25/2025","54.47","57.65","58.05","54.47","","-8.97%"
"06/24/2025","59.84","59.24","61.03","59.04","","3.80%"
"06/23/2025","57.65","53.08","57.65","50.89","","11.96%"
"06/20/2025","51.49","54.27","54.47","50.69","","2.18%"
"06/18/2025","50.39","53.96","53.96","50.39","","1.59%"
"06/17/2025","49.60","52.97","53.96","49.20","","-8.08%"
