trade_num,entry_date,exit_date,entry_value,mid_contribs,exit_value,net_gain,return_pct,price_dd,port_peak,port_trough,port_dd,sell_reason,holdings,status
1,2001-10-01,2001-11-26,107380.4,0.0,150918.7327325445,43538.33273254451,40.545884288514955,0.0,107380.4,107380.4,0.0,bearish-div,QQQ(NDX),closed
2,2002-07-18,2002-09-13,159538.6873551503,0.0,148036.23325751172,-11502.454097638576,-7.209821196555839,0.0,159538.6873551503,159538.6873551503,0.0,bearish-div,QQQ(NDX),closed
3,2002-09-13,2002-11-08,148443.44179478424,0.0,161875.84200538578,13432.40021060154,9.0488337161915,0.0,148443.44179478424,148443.44179478424,0.0,bearish-div,QQQ(NDX),closed
4,2003-03-10,2007-07-26,164475.96081509523,0.0,338508.5345838271,174032.57376873185,105.81034025050033,0.0,349997.1517044393,261469.43313928257,-12.197872657117667,bearish-div,QQQ(NDX),closed
5,2008-01-17,2011-09-16,383527.0249692561,0.0,479649.3073542466,96122.28238499054,25.062714261842643,-43.73215352043863,505571.49478179193,215694.55034215897,-49.56425690109046,bearish-div,QQQ(NDX),closed
6,2011-09-21,2014-08-07,621014.9902672591,56448.0,1133007.2598025159,455544.2695352568,67.24267983340974,-7.672142762254802,1171258.6297094151,711158.2205550252,-11.859861803123566,bearish-div,QQQ(NDX),closed
7,2015-08-24,2018-03-22,1147405.122545606,37632.0,1947408.1035706778,762370.9810250718,64.33308851856091,-2.248303867676911,2079259.873784772,1121047.4450749527,-16.343331814666094,bearish-div,QQQ(NDX),closed
8,2018-12-17,2020-02-25,2010506.955685276,18816.0,2773667.6886567753,744344.7329714992,36.67946153598522,-8.514373355209594,3052682.4540017657,2191817.1631142553,-11.05964645737233,bearish-div,QQQ(NDX),closed
9,2020-02-28,2020-03-02,2846585.932542701,0.0,2983593.9994350765,137008.0668923757,4.813066253369482,0.0,2846585.932542701,2846585.932542701,0.0,bearish-div,QQQ(NDX),closed
10,2020-03-09,2021-11-30,3021062.302259589,37632.0,6187029.706115065,3128335.403855476,102.27682451117917,-11.999703071075473,6357930.568098456,2657215.188801841,-16.45875785032954,bearish-div,QQQ(NDX),closed
11,2022-05-19,2023-05-01,7084999.080020807,18816.0,7905041.259847941,801226.1798271341,11.278815267595443,-10.0734866276568,8149762.660465762,6368108.590829888,-21.861422766071712,bearish-div,QQQ(NDX),closed
12,2023-10-27,2024-12-18,7843066.629259923,18816.0,11740983.433724515,3879100.8044645926,49.3406094620081,0.0,12238320.070734637,9895911.548724644,-13.581419059770614,bearish-div,QQQ(NDX),closed
13,2025-04-04,,11927773.262411064,37632.0,20792733.760220952,8827328.497809889,73.77375278328982,-1.7663254338217078,21067156.74228061,15753618.271715099,-12.122849097525433,(open),QQQ(NDX),(open)
