date,ppi_yoy_pct
1950-01-01,-3.89
1950-02-01,-2.86
1950-03-01,-2.51
1950-04-01,-2.16
1950-05-01,-1.09
1950-06-01,-0.36
1950-07-01,1.82
1950-08-01,4.36
1950-09-01,5.43
1950-10-01,6.18
1950-11-01,7.66
1950-12-01,10.29
1951-01-01,12.13
1951-02-01,13.24
1951-03-01,13.24
1951-04-01,13.24
1951-05-01,13.19
1951-06-01,12.41
1951-07-01,10.0
1951-08-01,7.32
1951-09-01,5.84
1951-10-01,6.16
1951-11-01,5.08
1951-12-01,3.0
1952-01-01,0.98
1952-02-01,-0.32
1952-03-01,0.0
1952-04-01,-0.65
1952-05-01,-0.97
1952-06-01,-0.97
1952-07-01,0.0
1952-08-01,0.0
1952-09-01,0.0
1952-10-01,-1.29
1952-11-01,-1.61
1952-12-01,-2.27
1953-01-01,-1.62
1953-02-01,-1.63
1953-03-01,-1.95
1953-04-01,-1.63
1953-05-01,-1.31
1953-06-01,-0.98
1953-07-01,-0.97
1953-08-01,-0.97
1953-09-01,-0.65
1953-10-01,-0.33
1953-11-01,-0.33
1953-12-01,0.33
1954-01-01,0.66
1954-02-01,0.66
1954-03-01,0.33
1954-04-01,1.33
1954-05-01,0.99
1954-06-01,0.33
1954-07-01,0.0
1954-08-01,0.0
1954-09-01,-0.65
1954-10-01,-0.66
1954-11-01,0.0
1954-12-01,0.0
1955-01-01,-0.33
1955-02-01,0.33
1955-03-01,0.0
1955-04-01,-0.33
1955-05-01,-0.66
1955-06-01,0.33
1955-07-01,-0.33
1955-08-01,0.0
1955-09-01,0.66
1955-10-01,0.99
1955-11-01,0.66
1955-12-01,0.99
1956-01-01,0.99
1956-02-01,0.98
1956-03-01,1.98
1956-04-01,1.97
1956-05-01,2.97
1956-06-01,2.96
1956-07-01,2.96
1956-08-01,2.95
1956-09-01,3.59
1956-10-01,3.92
1956-11-01,4.25
1956-12-01,4.25
1957-01-01,4.56
1957-02-01,4.55
1957-03-01,3.88
1957-04-01,4.19
1957-05-01,3.53
1957-06-01,3.51
1957-07-01,4.15
1957-08-01,3.82
1957-09-01,3.15
1957-10-01,2.83
1957-11-01,3.13
1957-12-01,3.45
1958-01-01,3.43
1958-02-01,3.11
1958-03-01,4.05
1958-04-01,2.79
1958-05-01,2.79
1958-06-01,2.47
1958-07-01,1.84
1958-08-01,1.84
1958-09-01,1.53
1958-10-01,1.53
1958-11-01,0.91
1958-12-01,0.3
1959-01-01,0.0
1959-02-01,0.0
1959-03-01,-0.6
1959-04-01,0.0
1959-05-01,0.0
1959-06-01,-0.3
1959-07-01,-0.3
1959-08-01,-0.6
1959-09-01,0.6
1959-10-01,-0.3
1959-11-01,-0.6
1959-12-01,-0.3
1960-01-01,0.0
1960-02-01,-0.3
1960-03-01,0.6
1960-04-01,0.6
1960-05-01,0.3
1960-06-01,0.6
1960-07-01,1.21
1960-08-01,1.21
1960-09-01,0.0
1960-10-01,1.81
1960-11-01,2.12
1960-12-01,1.82
1961-01-01,1.51
1961-02-01,1.81
1961-03-01,0.6
1961-04-01,-0.3
1961-05-01,-0.3
1961-06-01,-0.3
1961-07-01,-0.6
1961-08-01,0.0
1961-09-01,-0.3
1961-10-01,-1.19
1961-11-01,-0.89
1961-12-01,-0.6
1962-01-01,-0.3
1962-02-01,-0.3
1962-03-01,-0.3
1962-04-01,0.3
1962-05-01,0.3
1962-06-01,0.3
1962-07-01,0.3
1962-08-01,0.3
1962-09-01,1.5
1962-10-01,0.9
1962-11-01,0.6
1962-12-01,0.3
1963-01-01,-0.3
1963-02-01,-0.6
1963-03-01,-0.6
1963-04-01,-0.6
1963-05-01,0.0
1963-06-01,0.3
1963-07-01,0.3
1963-08-01,-0.3
1963-09-01,-1.18
1963-10-01,-0.3
1963-11-01,-0.3
1963-12-01,-0.3
1964-01-01,0.3
1964-02-01,0.3
1964-03-01,0.3
1964-04-01,0.6
1964-05-01,0.3
1964-06-01,0.3
1964-07-01,0.3
1964-08-01,0.6
1964-09-01,0.6
1964-10-01,0.3
1964-11-01,0.3
