trade_num,entry_date,exit_date,held_days,entry_value,mid_contribs,exit_value,net_gain,return_pct,port_peak,port_trough,port_dd,portfolio,status
1,2001-10-01,2001-11-26,56,153323.33833083458,0.0,227913.83907878614,74590.50074795156,48.649149933719386,153323.33833083458,153323.33833083458,0.0,227913.83907878614,closed
2,2002-07-18,2002-09-13,57,227797.9401087318,0.0,212063.48827826322,-15734.451830468577,-6.9071967125594975,227797.9401087318,227797.9401087318,0.0,212063.48827826322,closed
3,2002-09-13,2002-11-08,56,211955.5105230017,0.0,234967.0868787075,23011.576355705794,10.856795512852942,211955.5105230017,211955.5105230017,0.0,234967.0868787075,closed
4,2003-03-10,2007-07-26,1599,234847.6630471839,0.0,547897.1785275089,313049.515480325,133.29896981662932,553351.1102686191,354728.079592297,-12.592717208218632,547897.1785275089,closed
5,2008-01-17,2011-09-16,1338,547621.3678435871,0.0,887165.7003817989,339544.33253821183,62.00348497635565,916244.7586308403,297883.5288720244,-52.038632603421306,887165.7003817989,closed
6,2011-09-21,2014-08-07,1051,886720.340211693,80640.0,1612271.60363658,644911.2634248871,66.66711840633837,1665749.5673539983,1056040.9152049364,-16.87599355677549,1612271.60363658,closed
7,2015-08-24,2018-03-22,941,1638330.4384173714,53760.0,2845274.2224075375,1153183.7839901662,68.15142724101379,3046047.423313633,1574074.362893885,-18.198467159229487,2845274.2224075375,closed
8,2018-12-17,2020-02-25,435,2870716.8639755496,26880.0,4066552.760775287,1168955.8967997376,40.342254346448705,4505796.120836778,3189931.322020715,-9.865994036083036,4066552.760775287,closed
9,2020-02-28,2020-03-02,3,4064518.5015245248,0.0,4315804.717513699,251286.21598917432,6.182435038613345,4064518.5015245248,4064518.5015245248,0.0,4315804.717513699,closed
10,2020-03-09,2021-11-30,631,4313645.894566416,53760.0,10094548.68574401,5727142.791177594,131.133742304622,10415463.222492931,3752879.0239226148,-17.844486757100057,10094548.68574401,closed
11,2022-05-19,2023-05-01,347,10116368.501493262,26880.0,11204382.327514175,1061133.8260209132,10.461479139199794,11981916.117346428,9087111.676722059,-24.15977888906692,11204382.327514175,closed
12,2023-10-27,2024-12-18,418,11198780.937045654,26880.0,17039677.51773009,5814016.5806844365,51.79219836845132,17603567.823320977,14370095.566531833,-12.47984331699213,17039677.51773009,closed
13,2025-04-04,,413,17031159.93776121,53760.0,32032944.62804339,14948024.69028218,87.49250651882747,33116724.21903604,24708668.12359655,-15.270970085317922,32032944.62804339,(open)
