strategy,entry_date,exit_date,entry_type,conditional_asset,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,top1_ticker
baseline,2002-07-24,2002-08-15,washout,NDX,13.740037876302026,0.0,11372.866387251439,washout,climax-top,MSFT
baseline,2002-10-10,2002-11-12,washout,NDX,21.739688593494066,0.0,13844.074727108127,washout,climax-top,MSFT
baseline,2003-01-10,2003-03-18,ma200-recross,NDX,-0.9334441093428847,-11.944569760819101,13713.857361516002,ma200-recross,climax-top,MSFT
baseline,2004-03-25,2004-06-14,ma200-recross,NDX,6.74194827469714,0.0,14637.37111181241,ma200-recross,bearish-divergence,QCOM
baseline,2005-03-31,2007-07-27,ma200-recross,NDX,31.419596408021032,-3.7767806847954555,19235.05984392405,ma200-recross,bearish-divergence,MSFT
baseline,2008-01-23,2008-09-30,washout,NDX,-13.759511678629421,-16.16781584177517,16587.54713342475,washout,trailing-stop,AAPL
baseline,2008-10-16,2008-11-05,washout,NDX,8.386464384119785,-7.153207923072403,17977.572001324657,washout,climax-top,AAPL
baseline,2008-11-21,2009-01-14,washout,NDX,9.796886022065031,0.0,19737.71627096889,washout,climax-top,AAPL
baseline,2009-01-30,2009-02-18,washout,NDX,-0.5117341466152836,-2.699287067945877,19635.716754389767,washout,climax-top,AAPL
baseline,2009-03-06,2011-09-19,washout,NDX,175.898753983896,-4.265684493760391,54171.938873628635,washout,bearish-divergence,AAPL
baseline,2011-10-05,2014-08-08,washout,NDX,84.86483272557975,0.0,100143.01553460963,washout,bearish-divergence,AAPL
baseline,2015-08-25,2018-03-23,washout,NDX,59.048441863219445,-9.744034136713308,159274.31535821978,washout,bearish-divergence,AAPL
baseline,2018-10-15,2020-02-26,ma200-recross,NDX,27.963766963363422,-24.62790263080762,203812.13409981524,ma200-recross,bearish-divergence,AAPL
baseline,2020-03-13,2021-12-01,washout,NDX,132.88203195708954,-11.897233995456514,474639.5104464384,washout,bearish-divergence,AAPL
baseline,2022-06-14,2022-11-14,washout,NDX,7.667019969121736,-2.3338880116258953,511029.1398235088,washout,climax-top,AAPL
baseline,2023-01-27,2023-05-02,ma200-recross,NDX,5.663659815490885,-5.4549065121926805,539971.0352245434,ma200-recross,bearish-divergence,AMZN
baseline,2023-10-30,2024-12-19,washout,NDX,61.72593387060588,0.0,873271.5820883324,washout,bearish-divergence,AMZN
washout_boost_10pct,2002-07-24,2002-08-15,washout,TQQQ,15.385893539917905,-0.7825248842401655,11537.43549505639,washout,climax-top,MSFT
washout_boost_10pct,2002-10-10,2002-11-12,washout,TQQQ,26.37207238007806,0.0,14578.83261389368,washout,climax-top,MSFT
washout_boost_10pct,2003-01-10,2003-03-18,ma200-recross,NDX,-0.8181025610639159,-11.825338422912656,14458.570991931807,ma200-recross,climax-top,MSFT
washout_boost_10pct,2004-03-25,2004-06-14,ma200-recross,NDX,6.671602750440631,0.0,15422.122695876435,ma200-recross,bearish-divergence,QCOM
washout_boost_10pct,2005-03-31,2007-07-27,ma200-recross,NDX,31.520156407230782,-3.869124210500441,20281.884689367653,ma200-recross,bearish-divergence,MSFT
washout_boost_10pct,2008-01-23,2008-09-30,washout,TQQQ,-16.7979879907285,-19.42509654761617,16874.104114834183,washout,trailing-stop,AAPL
washout_boost_10pct,2008-10-16,2008-11-05,washout,TQQQ,9.458644040097353,-8.625554922660372,18469.070971571367,washout,climax-top,AAPL
washout_boost_10pct,2008-11-21,2009-01-14,washout,TQQQ,11.282327462705544,0.0,20551.69921462891,washout,climax-top,AAPL
washout_boost_10pct,2009-01-30,2009-02-18,washout,TQQQ,-1.0335964186885427,-3.2179935401472792,20338.28792353105,washout,climax-top,AAPL
washout_boost_10pct,2009-03-06,2011-09-19,washout,TQQQ,216.60173033776786,-4.933508633331918,64388.205469673194,washout,bearish-divergence,AAPL
washout_boost_10pct,2011-10-05,2014-08-08,washout,TQQQ,118.66479334573393,0.0,140792.14978135398,washout,bearish-divergence,AAPL
washout_boost_10pct,2015-08-25,2018-03-23,washout,TQQQ,77.19606729020008,-9.988318543594888,249476.38050521433,washout,bearish-divergence,AAPL
washout_boost_10pct,2018-10-15,2020-02-26,ma200-recross,NDX,26.702082441646336,-21.976302730855657,316090.50227932754,ma200-recross,bearish-divergence,AAPL
washout_boost_10pct,2020-03-13,2021-12-01,washout,TQQQ,168.9932329475854,-13.113736678266974,850259.371189095,washout,bearish-divergence,AAPL
washout_boost_10pct,2022-06-14,2022-11-14,washout,TQQQ,4.643169199977604,-5.294616352460679,889737.3060003782,washout,climax-top,AAPL
washout_boost_10pct,2023-01-27,2023-05-02,ma200-recross,NDX,7.551887296887383,-3.7569275292200666,956928.1890690159,ma200-recross,bearish-divergence,AMZN
washout_boost_10pct,2023-10-30,2024-12-19,washout,TQQQ,68.15687752754562,0.0,1609138.8813505701,washout,bearish-divergence,AMZN
