signal_date,future_min_spx_return_126,followed_by_20pct_drop,sell_ndx_return_60_pct,sell_breadth_fall_60_points,sell_breadth_level_pct,full_nearest_peak_zone_date,full_nearest_peak_distance,full_peak_similarity_percentile,causal_nearest_peak_zone_date,causal_nearest_peak_distance,causal_peak_similarity_percentile,resolved_peak_episodes_available
2003-10-02,0.008527739658890532,False,3.2382099508940776,5.459999999999994,93.7,2021-11-16,0.8579865785033868,0.3698019801980198,,,,
2003-11-19,-0.008346124328472815,False,5.335930636721287,-3.9599999999999937,93.1,2007-06-04,0.6009838612567737,0.5235973597359735,,,,
2003-11-24,0.0017108639863132602,False,5.82388905457798,-3.0700000000000074,94.29,2007-06-04,0.5967143871251632,0.5282178217821782,,,,
2004-12-08,-0.03829895164017583,False,11.680389299831994,-18.17,80.78,2020-01-23,0.41060407218460676,0.6892739273927393,,,,
2004-12-20,-0.04787812840043526,False,13.78935706372182,-19.81000000000001,82.18,2020-01-17,0.34291238683756053,0.7585808580858086,,,,
2005-07-08,-0.028962785708391947,False,4.89778884571177,-11.32,69.94,2022-01-12,0.4323046851387901,0.6702970297029703,,,,
2005-08-08,-0.037854631673616135,False,9.292062771946474,-17.310000000000002,69.98,2022-01-04,0.36746411808147167,0.7361386138613861,,,,
2005-12-12,-0.029117740399873138,False,6.184039413794817,4.079999999999998,64.83,2021-12-10,0.12815051489685395,0.9559405940594059,,,,
2006-01-09,-0.05154239652767012,False,14.509035689164396,-23.07,71.14,2021-12-27,0.6008947104038278,0.5239273927392739,,,,
2006-04-18,-0.0642349162651984,False,2.9981269163316115,0.5800000000000125,69.32,2022-01-11,0.1651645305580966,0.920957095709571,,,,
2006-11-08,-0.008371220321859107,False,14.03257235585853,-19.61,76.03,2020-01-23,0.4059121656099125,0.6953795379537954,,,,
2006-12-04,-0.02483854942871333,False,14.302315981990343,-21.439999999999998,81.86,2020-01-17,0.3668198485486186,0.7367986798679867,,,,
2007-10-26,-0.17058555331205616,False,11.593104851011905,-1.5200000000000031,57.14,2007-10-26,0.0,1.0,,,,
2010-12-01,0.012768427161927054,False,16.50040398599515,-26.799999999999997,74.8,2020-01-17,0.6365368925479701,0.4966996699669967,2007-10-29,0.7078219782773816,0.5480278422273782,1.0
2011-03-03,-0.15890308039068368,False,8.308940045026759,-11.399999999999991,91.8,2007-06-01,0.39218655341597164,0.7130363036303631,2007-06-01,0.2925487026172841,0.9328223624887286,1.0
2011-05-18,-0.18012978294920567,False,1.7258896360520914,2.030000000000001,89.37,2022-01-12,0.7129645890786337,0.44636963696369636,2007-06-04,0.734268749592571,0.515631880228974,1.0
2012-04-05,-0.08590229597310628,False,16.690180706097024,-24.53,82.56,2020-01-17,0.43374876557190944,0.6691419141914191,2007-06-01,0.6918352168688633,0.5685645549318364,1.0
2012-04-17,-0.08110440034512512,False,11.758623236575815,-13.959999999999994,80.96,2007-06-01,0.25215773486939064,0.8427392739273928,2007-06-01,0.1961734140030219,0.9692123150739704,1.0
2012-08-03,-0.02710280373831775,False,2.084803631716481,5.5,62.09,2007-10-11,0.33012171300548904,0.7717821782178218,2007-10-11,0.26273492466594184,0.9503298409002716,1.0
2012-10-03,-0.06733287388008269,False,9.024103468547917,-13.61,67.53,2022-01-04,0.3181332091949334,0.7806930693069307,2007-10-31,0.48469872663276303,0.7647957235586101,1.0
2013-02-27,-0.0008575197889181263,False,2.2846759178069,-19.599999999999994,81.8,2022-01-04,0.8662640404933786,0.366006600660066,2007-06-01,0.7670407310189062,0.5130658814869341,1.0
