variant,record_type,component,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,entry_signal_date,signal_date,tqqq_boosted,component_return_pct,allocation_at_entry,portfolio_contribution_pct,cluster,component_events
5%,component_trade,breadth,2002-07-24,2002-08-15,875.48,975.09,12.381349850062428,-2.8490736760097835,7866.694489504371,VIX+MA200,climax-top,2002-07-23,2002-08-14,True,,,,,
5%,component_trade,breadth,2002-10-10,2002-11-12,809.46,982.45,24.506471965350784,5.524387427415789,9794.543769174554,VIX+MA200,climax-top,2002-10-09,2002-11-11,True,,,,,
5%,component_trade,breadth,2003-01-10,2003-03-18,1059.86,1075.3,1.3348321733290591,-10.28518048725825,9925.284490636292,MA200-recross,climax-top,2003-01-09,2003-03-17,False,,,,,
5%,component_trade,breadth,2004-03-25,2004-06-14,1394.2,1470.62,5.355158833718088,0.04330894417998721,10456.799239808252,MA200-recross,bearish-divergence,2004-03-24,2004-06-10,False,,,,,
5%,component_trade,breadth,2005-03-31,2007-07-27,1489.44,1988.85,33.37426816380178,-5.64846866684694,13946.679459452243,MA200-recross,bearish-divergence,2005-03-30,2007-07-26,False,,,,,
5%,component_trade,breadth,2008-01-23,2008-09-30,1725.46,1540.51,-13.11401667208133,-15.818398321554007,12117.709589937935,VIX,trailing-stop,2008-01-22,2008-09-29,True,,,,,
5%,component_trade,breadth,2008-10-17,2008-11-05,1291.58,1359.82,5.513611229018278,-10.809723080434564,12785.832986588577,VIX,climax-top,2008-10-16,2008-11-04,True,,,,,
5%,component_trade,breadth,2008-11-24,2009-01-14,1106.02,1183.79,7.213755470790706,-1.9121528643344488,13708.171713144773,VIX,climax-top,2008-11-21,2009-01-13,True,,,,,
5%,component_trade,breadth,2009-02-02,2009-02-18,1168.13,1193.89,2.2653682468083858,1.6087062490974802,14018.712282352324,VIX,climax-top,2009-01-30,2009-02-17,True,,,,,
5%,component_trade,breadth,2009-03-09,2011-09-19,1058.85,2277.64,148.34860024303404,-1.7334914084831343,34815.27572532029,VIX,bearish-divergence,2009-03-06,2011-09-16,True,,,,,
5%,component_trade,breadth,2011-10-06,2014-08-08,2181.58,3864.09,98.91459701553467,-1.869884817928269,69252.66540886811,VIX,bearish-divergence,2011-10-05,2014-08-07,True,,,,,
5%,component_trade,breadth,2015-08-25,2018-03-23,4187.28,6683.19,72.31987523551689,-6.91012941374658,119336.10662983148,VIX,bearish-divergence,2015-08-24,2018-03-22,True,,,,,
5%,component_trade,breadth,2018-10-15,2020-02-26,7129.31,8883.01,24.472036218804316,-17.335559642294353,148540.0818663948,MA200-recross,bearish-divergence,2018-10-12,2020-02-25,False,,,,,
5%,component_trade,breadth,2020-03-16,2021-12-01,7502.26,16347.96,161.69713084528317,-7.255178731510048,388725.1323995899,VIX,bearish-divergence,2020-03-13,2021-11-30,True,,,,,
5%,component_trade,breadth,2022-06-14,2022-11-14,11385.18,11728.11,2.249421778848548,-7.718734570781816,397469.2001876441,VIX,climax-top,2022-06-13,2022-11-11,True,,,,,
5%,component_trade,breadth,2023-01-27,2023-05-02,12000.21,13225.48,10.09972072922032,-1.5148410076479268,437612.47939126176,MA200-recross,bearish-divergence,2023-01-26,2023-05-01,False,,,,,
5%,component_trade,breadth,2023-10-30,2024-12-19,14283.98,21358.79,57.814628693998586,0.31464494765833795,690616.5094699208,MA200,bearish-divergence,2023-10-27,2024-12-18,True,,,,,
5%,component_trade,ma200,2003-01-10,2003-01-21,1059.86,1022.94,-3.6454205878775015,-4.117140544390718,2890.637382363675,NDX-above-MA200,NDX-below-MA200,2003-01-09,2003-01-17,,,,,,
5%,component_trade,ma200,2003-03-14,2004-03-24,1034.43,1374.74,32.68495532303346,-1.656970359387211,3835.440919340146,NDX-above-MA200,NDX-below-MA200,2003-03-13,2004-03-23,,,,,,
5%,component_trade,ma200,2004-03-26,2004-05-03,1420.41,1409.06,-0.9501274726991804,-1.4654688274795435,3798.9993414663495,NDX-above-MA200,NDX-below-MA200,2004-03-25,2004-04-30,,,,,,
5%,component_trade,ma200,2004-05-05,2004-05-10,1424.71,1395.21,-2.2205519260654727,-1.424519008447811,3714.640588418204,NDX-above-MA200,NDX-below-MA200,2004-05-04,2004-05-07,,,,,,
5%,component_trade,ma200,2004-05-12,2004-05-18,1412.5,1395.23,-1.374868135177576,-1.0212828639759919,3663.5691786316693,NDX-above-MA200,NDX-below-MA200,2004-05-11,2004-05-14,,,,,,
5%,component_trade,ma200,2004-05-26,2004-07-09,1443.13,1442.43,-0.20295828509936387,-0.9576865930767897,3656.1336614532897,NDX-above-MA200,NDX-below-MA200,2004-05-25,2004-07-08,,,,,,
5%,component_trade,ma200,2004-10-04,2004-10-11,1463.22,1435.54,-2.0439358826211063,-2.329194503614729,3581.404633630257,NDX-above-MA200,NDX-below-MA200,2004-10-01,2004-10-08,,,,,,
