Label,Total Return,CAGR,Max Drawdown,Sharpe,Calmar,Final $,# Trades,Win Rate,Time in Mkt
Combined,+7684.7%,30.7%,-25.8%,1.37,1.19,"$11,941,833",9,100%,65%
TQQQ (5%),+6586.5%,32.7%,-52.2%,11.05,0.63,"$512,863",9,100%,71%
NDX-Top1 (25%),+3865.7%,28.1%,-10.3%,15.42,2.72,"$1,520,881",9,100%,71%
QQQ-B (70%),+3663.4%,27.7%,0.0%,20.58,0.00,"$4,041,157",9,100%,71%
