variant,record_type,component,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,entry_signal_date,signal_date,tqqq_boosted,rotation_signal_date,rotation_date,max_boost_sessions,component_return_pct,allocation_at_entry,portfolio_contribution_pct,cluster,component_events
40_sessions,component_trade,breadth,2002-07-24,2002-08-15,875.48,975.09,13.556625113922504,-3.4706508037257056,7948.963757974576,VIX+MA200,climax-top,2002-07-23,2002-08-14,True,,,40.0,,,,,
40_sessions,component_trade,breadth,2002-10-10,2002-11-12,809.46,982.45,27.820066098025144,6.22545859562571,10160.370729551167,VIX+MA200,climax-top,2002-10-09,2002-11-11,True,,,40.0,,,,,
40_sessions,component_trade,breadth,2003-01-10,2003-03-18,1059.86,1075.3,1.3355723667187291,-10.28485065701653,10296.06983337123,MA200-recross,climax-top,2003-01-09,2003-03-17,False,,,40.0,,,,,
40_sessions,component_trade,breadth,2004-03-25,2004-06-14,1394.2,1470.62,5.355904007370094,0.043671972010939086,10847.517450178382,MA200-recross,bearish-divergence,2004-03-24,2004-06-10,False,,,40.0,,,,,
40_sessions,component_trade,breadth,2005-03-31,2007-07-27,1489.44,1988.85,33.37507211378197,-5.648143635675584,14467.8842217305,MA200-recross,bearish-divergence,2005-03-30,2007-07-26,False,,,40.0,,,,,
40_sessions,component_trade,breadth,2008-01-23,2008-09-30,1725.46,1540.51,-11.358987788420238,-13.904751283209006,12824.479019741353,VIX,trailing-stop,2008-01-22,2008-09-29,True,2008-03-19,2008-03-20,40.0,,,,,
40_sessions,tqqq_to_ndx_rotation,breadth,2008-01-23,2008-03-20,,,,,,VIX,,,2008-03-19,,,,40.0,,,,,
40_sessions,component_trade,breadth,2008-10-17,2008-11-05,1291.58,1359.82,5.884739188895427,-12.08287838975972,13579.166162387744,VIX,climax-top,2008-10-16,2008-11-04,True,,,40.0,,,,,
40_sessions,component_trade,breadth,2008-11-24,2009-01-14,1106.02,1183.79,7.5372351625483835,-2.365833318775412,14602.659849160105,VIX,climax-top,2008-11-21,2009-01-13,True,,,40.0,,,,,
40_sessions,component_trade,breadth,2009-02-02,2009-02-18,1168.13,1193.89,2.458952762655797,1.7158742131398785,14961.732356942255,VIX,climax-top,2009-01-30,2009-02-17,True,,,40.0,,,,,
