short_window,long_window,ma_window,full_cagr,full_sharpe,full_max_drawdown,full_calmar,train_cagr,train_sharpe,train_max_drawdown,train_calmar,test_cagr,test_sharpe,test_max_drawdown,test_calmar,real_breadth_cagr,real_breadth_sharpe,real_breadth_max_drawdown,real_breadth_calmar,completed_trades,exposure,expectancy,turnover_position_changes_per_year,raw_signal_days,executed_golden_cross_entries,primary_rank,reverse_rank,full_rank
3,10,100,0.1863807736811458,0.9625561905343616,-0.44471311149199677,0.41910339242268996,0.1821376380063775,0.9324901367865395,-0.44471311149199677,0.4095621048709631,0.19124835332371948,0.9954542518839826,-0.23900431566107927,0.8001878660422171,0.18302871882535277,0.9387477052941282,-0.44471311149199677,0.41156582546284254,23,0.8876531270148291,0.23018343823389298,1.9055111555111555,633,15,1,34,1
3,14,100,0.1863807736811458,0.9625561905343616,-0.44471311149199677,0.41910339242268996,0.1821376380063775,0.9324901367865395,-0.44471311149199677,0.4095621048709631,0.19124835332371948,0.9954542518839826,-0.23900431566107927,0.8001878660422171,0.18302871882535277,0.9387477052941282,-0.44471311149199677,0.41156582546284254,23,0.8876531270148291,0.23018343823389298,1.9055111555111555,612,15,2,35,2
3,21,100,0.18217963149982674,0.9421816164339563,-0.444722477143633,0.40964790597032896,0.1740652196241539,0.8940215283940601,-0.444722477143633,0.391401893473299,0.19074894171535473,0.9931494434172795,-0.23900475627659712,0.7980968441255765,0.18270574822438568,0.9373001341985726,-0.444722477143633,0.41083092853293496,23,0.8897485493230174,0.22603184723964323,1.9055111555111555,610,15,3,38,3
3,10,250,0.18673032049450544,0.9650339835965741,-0.4692440816831952,0.3979385735131643,0.1772870978327541,0.9101726524280356,-0.4692440816831952,0.3778142437019535,0.19658225814789287,1.0227521014086525,-0.2298679665490888,0.8551964029573138,0.1853371589734787,0.9504943636254536,-0.4692440816831952,0.39496962499488053,23,0.8911992263056093,0.23149182098981638,1.9055111555111555,686,12,4,9,8
3,14,250,0.18673032049450544,0.9650339835965741,-0.4692440816831952,0.3979385735131643,0.1772870978327541,0.9101726524280356,-0.4692440816831952,0.3778142437019535,0.19658225814789287,1.0227521014086525,-0.2298679665490888,0.8551964029573138,0.1853371589734787,0.9504943636254536,-0.4692440816831952,0.39496962499488053,23,0.8911992263056093,0.23149182098981638,1.9055111555111555,659,12,5,10,9
3,10,150,0.1867007789330517,0.9666220132950718,-0.4692441477779157,0.39787556183101,0.17722684040622605,0.9130553546219409,-0.4692441477779157,0.37768577668038206,0.1965822513578117,1.022752071781042,-0.22986796654908892,0.8551963734182642,0.1853371286156611,0.9504942379302093,-0.4692441477779157,0.3949695046668491,23,0.8836234687298518,0.23115309998298028,1.9055111555111555,683,13,6,11,10
3,14,150,0.1867007789330517,0.9666220132950718,-0.4692441477779157,0.39787556183101,0.17722684040622605,0.9130553546219409,-0.4692441477779157,0.37768577668038206,0.1965822513578117,1.022752071781042,-0.22986796654908892,0.8551963734182642,0.1853371286156611,0.9504942379302093,-0.4692441477779157,0.3949695046668491,23,0.8836234687298518,0.23115309998298028,1.9055111555111555,658,13,7,12,11
5,10,100,0.18315344251230203,0.9491760045879704,-0.469245418374981,0.39031482320396654,0.17607617679751875,0.9077401715866414,-0.469245418374981,0.3752325966384048,0.1907285068467317,0.9931133833047654,-0.2390046505420358,0.7980116973212897,0.17998007071860722,0.9263257528221881,-0.469245418374981,0.3835521108376224,23,0.8863636363636364,0.2273301830328709,1.9055111555111555,537,14,8,40,59
3,21,250,0.18542632140071102,0.9594723278397561,-0.46924584192384455,0.3951581555640177,0.17569583156473567,0.9034808180815601,-0.46924584192384455,0.3744217121763008,0.19555343568084593,1.0182983421016012,-0.22986796654908903,0.8507206924766739,0.18467991825892605,0.9477115151475014,-0.46924584192384455,0.393567511438702,23,0.8905544809800129,0.22990304861863256,1.9055111555111555,661,12,9,22,24
3,28,250,0.18542632140071102,0.9594723278397561,-0.46924584192384455,0.3951581555640177,0.17569583156473567,0.9034808180815601,-0.46924584192384455,0.3744217121763008,0.19555343568084593,1.0182983421016012,-0.22986796654908903,0.8507206924766739,0.18467991825892605,0.9477115151475014,-0.46924584192384455,0.393567511438702,23,0.8905544809800129,0.22990304861863256,1.9055111555111555,648,12,10,23,25
