Date,ndx_buy_hold,baseline,rsi_le_45,rsi_le_50,rsi_le_55
2002-04-25,8086.98514024553,10000.0,10000.0,10000.0,10000.0
2002-04-26,7767.621507833507,10000.0,10000.0,10000.0,10000.0
2002-04-29,7741.913449537068,10000.0,10000.0,10000.0,10000.0
2002-04-30,7930.1908233409295,10000.0,10000.0,10000.0,10000.0
2002-05-01,7870.329547500915,10000.0,10000.0,10000.0,10000.0
2002-05-02,7609.15057843131,10000.0,10000.0,10000.0,10000.0
2002-05-03,7394.1095014251205,10000.0,10000.0,10000.0,10000.0
2002-05-06,7210.427287799849,10000.0,10000.0,10000.0,10000.0
2002-05-07,7198.566806798352,10000.0,10000.0,10000.0,10000.0
2002-05-08,7963.3504927377835,10000.0,10000.0,10000.0,10000.0
2002-05-09,7702.5441042232005,10000.0,10000.0,10000.0,10000.0
2002-05-10,7381.938536627773,10000.0,10000.0,10000.0,10000.0
2002-05-13,7709.561038009426,10000.0,10000.0,10000.0,10000.0
2002-05-14,8107.042393457485,10000.0,10000.0,10000.0,10000.0
2002-05-15,8141.1956110010615,10000.0,10000.0,10000.0,10000.0
2002-05-16,8171.002055402728,10000.0,10000.0,10000.0,10000.0
2002-05-17,8232.788330777017,10000.0,10000.0,10000.0,10000.0
2002-05-20,8024.205316724519,10000.0,10000.0,10000.0,10000.0
2002-05-21,7798.794080936916,10000.0,10000.0,10000.0,10000.0
2002-05-22,7852.197293823235,10000.0,10000.0,10000.0,10000.0
2002-05-23,7990.424679735964,10000.0,10000.0,10000.0,10000.0
2002-05-24,7780.9102142959155,10000.0,10000.0,10000.0,10000.0
2002-05-28,7729.928775017232,10000.0,10000.0,10000.0,10000.0
2002-05-29,7567.607846546488,10000.0,10000.0,10000.0,10000.0
2002-05-30,7624.861058501357,10000.0,10000.0,10000.0,10000.0
2002-05-31,7503.399797564564,10000.0,10000.0,10000.0,10000.0
2002-06-03,7197.945839206652,10000.0,10000.0,10000.0,10000.0
2002-06-05,7424.288526381808,10000.0,10000.0,10000.0,10000.0
2002-06-06,7188.445035053619,10000.0,10000.0,10000.0,10000.0
2002-06-07,7080.520867615919,10000.0,10000.0,10000.0,10000.0
2002-06-10,7051.8321648793135,10000.0,10000.0,10000.0,10000.0
2002-06-11,6836.666894354783,10000.0,10000.0,10000.0,10000.0
2002-06-12,6975.577344618384,10000.0,10000.0,10000.0,10000.0
2002-06-13,6871.25478921255,10000.0,10000.0,10000.0,10000.0
2002-06-14,6890.256397518613,10000.0,10000.0,10000.0,10000.0
2002-06-17,7140.568433733443,10000.0,10000.0,10000.0,10000.0
2002-06-18,7069.529741242804,10000.0,10000.0,10000.0,10000.0
2002-06-19,6815.367705959426,10000.0,10000.0,10000.0,10000.0
2002-06-20,6597.470178031408,10000.0,10000.0,10000.0,10000.0
2002-06-21,6430.926669937096,10000.0,10000.0,10000.0,10000.0
2002-06-24,6567.850023907252,10000.0,10000.0,10000.0,10000.0
2002-06-25,6350.883947366787,10000.0,10000.0,10000.0,10000.0
2002-06-26,6378.703295475008,10000.0,10000.0,10000.0,10000.0
2002-06-27,6524.133905451476,10000.0,10000.0,10000.0,10000.0
2002-06-28,6528.915355907575,10000.0,10000.0,10000.0,10000.0
2002-07-01,6198.312210085755,10000.0,10000.0,10000.0,10000.0
2002-07-02,5984.016294189606,10000.0,10000.0,10000.0,10000.0
2002-07-03,6182.8501170523905,10000.0,10000.0,10000.0,10000.0
2002-07-05,6587.783083600868,10000.0,10000.0,10000.0,10000.0
2002-07-08,6298.6605729047,10000.0,10000.0,10000.0,10000.0
2002-07-09,6149.007383304665,10000.0,10000.0,10000.0,10000.0
2002-07-10,5955.389688212172,10000.0,10000.0,10000.0,10000.0
2002-07-11,6197.442855457373,10000.0,10000.0,10000.0,10000.0
2002-07-12,6214.767851265842,10000.0,10000.0,10000.0,10000.0
2002-07-15,6340.203304789523,10000.0,10000.0,10000.0,10000.0
2002-07-16,6279.845254876148,10000.0,10000.0,10000.0,10000.0
