variant,record_type,component,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,entry_signal_date,signal_date,tqqq_boosted,extension_decision_date,extended_to_80,rotation_signal_date,rotation_date,trajectory_lookback,decision_ndx_above_ma200,decision_breadth,decision_past_breadth,decision_breadth_change,natural_extension_gate,component_return_pct,allocation_at_entry,portfolio_contribution_pct,cluster,component_events
10_sessions,component_trade,breadth,2002-07-24,2002-08-15,875.48,975.09,13.556625129729639,-3.4706507968967903,7948.963759081074,VIX+MA200,climax-top,2002-07-23,2002-08-14,True,2002-10-17,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2002-10-10,2002-11-12,809.46,982.45,27.820066129362896,6.225458596449518,10160.37073345652,VIX+MA200,climax-top,2002-10-09,2002-11-11,True,2003-01-06,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2003-01-10,2003-03-18,1059.86,1075.3,1.335572366726323,-10.284850657013155,10296.069837329514,MA200-recross,climax-top,2003-01-09,2003-03-17,False,,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2004-03-25,2004-06-14,1394.2,1470.62,5.355904007377776,0.043671972014669436,10847.51745434946,MA200-recross,bearish-divergence,2004-03-24,2004-06-10,False,,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2005-03-31,2007-07-27,1489.44,1988.85,33.375072113790225,-5.648143635672243,14467.884227294573,MA200-recross,bearish-divergence,2005-03-30,2007-07-26,False,,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2008-01-23,2008-09-30,1725.46,1540.51,-9.155034181050947,-11.764261971447587,13143.344481010876,VIX,trailing-stop,2008-01-22,2008-09-29,True,2008-04-17,False,2008-04-17,2008-04-18,10.0,False,38.01,37.6,0.4099999999999966,False,,,,,
10_sessions,tqqq_to_ndx_rotation,breadth,2008-01-23,2008-04-18,,,,,,,,,2008-04-17,,,False,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2008-10-17,2008-11-05,1291.58,1359.82,5.885518283779412,-12.082545700442715,13916.898423540883,VIX,climax-top,2008-10-16,2008-11-04,True,2009-01-13,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2008-11-24,2009-01-14,1106.02,1183.79,7.537977096567294,-2.3654842929154873,14965.951039259928,VIX,climax-top,2008-11-21,2009-01-13,True,2009-02-20,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2009-02-02,2009-02-18,1168.13,1193.89,2.459625973666646,1.716212440595588,15334.057458227799,VIX,climax-top,2009-01-30,2009-02-17,True,2009-04-28,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2009-03-09,2011-09-19,1058.85,2277.64,138.99831819094936,-1.9384534503010586,36648.13943559828,VIX,bearish-divergence,2009-03-06,2011-09-16,True,2009-06-02,True,2009-06-30,2009-07-01,10.0,True,60.28,40.52,19.759999999999998,True,,,,,
10_sessions,tqqq_to_ndx_rotation,breadth,2009-03-09,2009-07-01,,,,,,,,,2009-06-30,,,True,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2011-10-06,2014-08-08,2181.58,3864.09,79.02831547997084,-2.228044797365547,65610.54668630249,VIX,bearish-divergence,2011-10-05,2014-08-07,True,2011-12-30,False,2011-12-30,2012-01-03,10.0,False,46.58,34.33,12.25,False,,,,,
10_sessions,tqqq_to_ndx_rotation,breadth,2011-10-06,2012-01-03,,,,,,,,,2011-12-30,,,False,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2015-08-25,2018-03-23,4187.28,6683.19,63.31879135408336,-5.1201466438878125,107154.35184887583,VIX,bearish-divergence,2015-08-24,2018-03-22,True,2015-11-17,False,2015-11-17,2015-11-18,10.0,True,39.68,52.57,-12.89,False,,,,,
10_sessions,tqqq_to_ndx_rotation,breadth,2015-08-25,2015-11-18,,,,,,,,,2015-11-17,,,False,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2018-10-15,2020-02-26,7129.31,8883.01,24.471822376286244,-17.33563839229091,133376.9745017935,MA200-recross,bearish-divergence,2018-10-12,2020-02-25,False,,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2020-03-16,2021-12-01,7502.26,16347.96,148.453086355936,-7.6451665051449735,331379.2096378757,VIX,bearish-divergence,2020-03-13,2021-11-30,True,2020-06-09,True,2020-07-08,2020-07-09,10.0,True,54.25,34.85,19.4,True,,,,,
10_sessions,tqqq_to_ndx_rotation,breadth,2020-03-16,2020-07-09,,,,,,,,,2020-07-08,,,True,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2022-06-14,2022-11-14,11385.18,11728.11,4.534060263497253,-4.713116542606155,346404.1427035579,VIX,climax-top,2022-06-13,2022-11-11,True,2022-09-08,False,2022-09-08,2022-09-09,10.0,False,33.99,36.77,-2.780000000000001,False,,,,,
10_sessions,tqqq_to_ndx_rotation,breadth,2022-06-14,2022-09-09,,,,,,,,,2022-09-08,,,False,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2023-01-27,2023-05-02,12000.21,13225.48,10.099642806548559,-1.5148775342396448,381389.723783704,MA200-recross,bearish-divergence,2023-01-26,2023-05-01,False,,,,,10.0,,,,,,,,,,
10_sessions,component_trade,breadth,2023-10-30,2024-12-19,14283.98,21358.79,58.61383760417298,0.36923729221183255,604936.8771212881,MA200,bearish-divergence,2023-10-27,2024-12-18,True,2024-01-25,False,2024-01-25,2024-01-26,10.0,True,70.37,74.95,-4.579999999999998,False,,,,,
10_sessions,tqqq_to_ndx_rotation,breadth,2023-10-30,2024-01-26,,,,,,,,,2024-01-25,,,False,,,10.0,,,,,,,,,,
10_sessions,component_trade,ma200,2003-01-10,2003-01-21,1059.86,1022.94,-3.6454205878775015,-4.117140544390718,2890.637382363675,NDX-above-MA200,NDX-below-MA200,2003-01-09,2003-01-17,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2003-03-14,2004-03-24,1034.43,1374.74,32.68495532303346,-1.656970359387211,3835.440919340146,NDX-above-MA200,NDX-below-MA200,2003-03-13,2004-03-23,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2004-03-26,2004-05-03,1420.41,1409.06,-0.9501274726991804,-1.4654688274795435,3798.9993414663495,NDX-above-MA200,NDX-below-MA200,2004-03-25,2004-04-30,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2004-05-05,2004-05-10,1424.71,1395.21,-2.2205519260654727,-1.424519008447811,3714.640588418204,NDX-above-MA200,NDX-below-MA200,2004-05-04,2004-05-07,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2004-05-12,2004-05-18,1412.5,1395.23,-1.374868135177576,-1.0212828639759919,3663.5691786316693,NDX-above-MA200,NDX-below-MA200,2004-05-11,2004-05-14,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2004-05-26,2004-07-09,1443.13,1442.43,-0.20295828509936387,-0.9576865930767897,3656.1336614532897,NDX-above-MA200,NDX-below-MA200,2004-05-25,2004-07-08,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2004-10-04,2004-10-11,1463.22,1435.54,-2.0439358826211063,-2.329194503614729,3581.404633630257,NDX-above-MA200,NDX-below-MA200,2004-10-01,2004-10-08,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2004-10-19,2004-10-25,1463.01,1435.68,-2.0214444351468797,-1.8180817691899498,3509.008528963646,NDX-above-MA200,NDX-below-MA200,2004-10-18,2004-10-22,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2004-10-27,2005-03-23,1441.79,1463.43,1.342066897287686,1.4855517791499961,3556.1017708538684,NDX-above-MA200,NDX-below-MA200,2004-10-26,2005-03-22,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2005-03-31,2005-04-04,1489.44,1469.42,-1.4985715574630465,-1.475144612689272,3502.8110411614125,NDX-above-MA200,NDX-below-MA200,2005-03-30,2005-04-01,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2005-04-06,2005-04-12,1487.15,1477.01,-0.8379836344460267,-0.7060143929024876,3473.4580578909113,NDX-above-MA200,NDX-below-MA200,2005-04-05,2005-04-11,,,,,,,,,,,,,,,,
10_sessions,component_trade,ma200,2005-05-18,2005-06-27,1493.03,1497.29,0.1274578123471093,0.3495645284347315,3477.8852515442936,NDX-above-MA200,NDX-below-MA200,2005-05-17,2005-06-24,,,,,,,,,,,,,,,,
