Date,baseline,0.50,0.60,0.70,baseline_return,challenger_0.60_return,baseline_position,challenger_0.60_position
2020-04-03,148720.22019459054,79582.77133935894,64729.246514062805,15463.791483569783,-0.014085226424434771,-0.014085226424434993,True,True
2020-04-06,159655.77744451322,85434.57784522856,69488.8574134598,16600.860651758085,0.0735310722080309,0.07353107220803112,True,True
2020-04-07,159016.69285046577,85092.59258560454,69210.70112659234,16534.40922444187,-0.00400289049526914,-0.004002890495269362,True,True
2020-04-08,162577.19412976044,86997.87862399832,70760.379877199,16904.62686726109,0.022390739081983302,0.022390739081983302,True,True
2020-04-09,162754.79445435046,87092.9156405059,70837.6789504274,16923.09358539317,0.001092406136916635,0.001092406136916635,True,True
2020-04-13,164615.9431283911,88088.8486021498,71647.72852649495,17116.61410988964,0.011435292461154933,0.011435292461154933,True,True
2020-04-14,171716.40015443612,91888.42640783971,74738.1437544983,17854.913089982205,0.043133471103142584,0.04313347110314236,True,True
2020-04-15,169736.91711506792,90829.17067323916,73876.59012407724,17649.08826719751,-0.01152762949600572,-0.01152762949600572,True,True
2020-04-16,173013.73200269268,92582.65119916924,75302.79671766948,17989.80846036415,0.019305257473265724,0.019305257473265947,True,True
2020-04-17,174487.08374995893,93371.06729384497,75944.06088689904,18143.006217682338,0.008515808139687442,0.008515808139687442,True,True
2020-04-20,172394.99538799195,92251.55449649769,75033.4967206157,17925.472797194325,-0.011989932532570413,-0.011989932532570413,True,True
2020-04-21,166003.95189431935,88831.59618611222,72251.84786854468,17260.93798263268,-0.03707209411322476,-0.037072094113224985,True,True
2020-04-22,171172.73375480127,91597.50108033264,74501.51744801938,17798.38315861459,0.031136498869451357,0.031136498869451357,True,True
2020-04-23,170715.5956556897,91352.87854840994,74302.5518690978,17750.850360219007,-0.002670624515271225,-0.002670624515271114,True,True
2020-04-24,173582.09255202027,92886.79079482252,75550.1709486796,18048.906066666703,0.01679106636579286,0.016791066365793084,True,True
2020-04-27,174590.79917866836,93426.56722005909,75989.2021699301,18153.790452409085,0.0058111214804359435,0.0058111214804361655,True,True
2020-04-28,171428.76269881535,91734.50661247261,74612.95192955888,17825.00481234004,-0.0181111289640018,-0.0181111289640018,True,True
2020-04-29,177457.29607499894,94960.47946647166,77236.8212495119,18451.84615885678,0.03516640545773053,0.03516640545773031,True,True
2020-04-30,177807.95300063552,95148.1220741479,77389.44177785494,18488.307142932914,0.00197600737412551,0.00197600737412551,True,True
