selection,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,short_window,long_window,ma_window,signal_date,short_rsi_on_signal,long_rsi_on_signal,ma_value_on_signal,ndx_close_on_signal,selected_signal_on_signal_date,open_trade,current_date,current_price
primary_train_2002_2013,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX,climax-top,2002-08-30,3,10,100,,,,,,,,,
primary_train_2002_2013,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX,climax-top,2002-11-27,3,10,100,,,,,,,,,
primary_train_2002_2013,2002-12-17,2003-03-18,1038.96,1075.3,3.394282492233517,-8.379533379533385,13941.978462538911,RSI-golden-cross,climax-top,2003-04-02,3,10,100,2002-12-16,57.872200296304044,48.197225419134575,965.457,1042.44,True,,,
primary_train_2002_2013,2003-04-15,2003-07-21,1044.33,1256.12,20.159768248171275,0.0,16750.447412114227,RSI-golden-cross,climax-top,2003-08-05,3,10,100,2003-04-14,65.96298057692817,52.98413999276881,1029.5542,1048.31,True,,,
primary_train_2002_2013,2003-08-12,2004-06-14,1227.5,1470.62,19.68636374277219,0.0,20045.804554567378,RSI-golden-cross,bearish-divergence,2004-06-29,3,10,100,2003-08-11,47.59811163222297,40.87137824384374,1170.0647,1223.14,True,,,
primary_train_2002_2013,2004-09-20,2007-07-27,1417.39,1988.85,40.177519520247486,-2.2463824353212694,28097.30981727414,RSI-golden-cross,bearish-divergence,2007-08-11,3,10,100,2004-09-17,67.67512545895792,63.25971078586805,1415.7828999999997,1426.3,True,,,
primary_train_2002_2013,2007-08-30,2007-09-04,1942.79,1989.28,2.290608565152634,0.0,28738.886296440443,RSI-golden-cross,bearish-divergence,2007-09-19,3,10,100,2007-08-29,63.482899192501215,54.6433628568654,1921.7875,1954.85,True,,,
primary_train_2002_2013,2007-10-08,2008-03-11,2151.11,1704.05,-20.86193632128527,-22.22480486818434,22741.606757193673,RSI-golden-cross,trailing-stop,2008-03-26,3,10,100,2007-10-05,88.62791089655948,77.7326367812938,1967.3015,2149.67,True,,,
primary_train_2002_2013,2008-04-24,2008-09-30,1908.13,1540.51,-19.34667659593083,-21.590772117203755,18340.05511192702,RSI-golden-cross,trailing-stop,2008-10-15,3,10,100,2008-04-23,69.01212388560408,63.311918269668475,1877.4942999999998,1906.66,True,,,
primary_train_2002_2013,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,19287.691812395613,VIX,climax-top,2008-11-20,3,10,100,,,,,,,,,
primary_train_2002_2013,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,20621.2065764513,VIX,climax-top,2009-01-29,3,10,100,,,,,,,,,
