signal_date,exit_date,sell_reason,canonical_sell_vote_fraction,future_min_spx_return_126,followed_by_20pct_drop
2002-08-14,2002-08-15,climax-top,0.6666666666666666,-0.15528490648107884,False
2002-11-11,2002-11-12,climax-top,0.3333333333333333,-0.0861675416571559,False
2003-03-17,2003-03-18,climax-top,0.6666666666666666,-0.016921650440426372,False
2004-06-10,2004-06-14,bearish-divergence,1.0,-0.06449626044874612,False
2007-07-26,2007-07-27,bearish-divergence,1.0,-0.11613947528158097,False
2008-09-29,2008-09-30,trailing-stop,0.3333333333333333,-0.3885574837310196,True
2008-11-04,2008-11-05,climax-top,0.6666666666666666,-0.3274010737721217,True
2009-01-13,2009-01-14,climax-top,0.3333333333333333,-0.22401927047487957,True
2009-02-17,2009-02-18,climax-top,0.3333333333333333,-0.14280283831728335,False
2011-09-16,2011-09-19,bearish-divergence,1.0,-0.09605263157894728,False
2014-08-07,2014-08-08,bearish-divergence,1.0,-0.024664851277754418,False
2018-03-22,2018-03-23,bearish-divergence,1.0,-0.02337632863032857,False
2020-02-25,2020-02-26,bearish-divergence,1.0,-0.28476440125311675,True
2021-11-30,2021-12-01,bearish-divergence,1.0,-0.1458747536676155,False
2022-11-11,2022-11-14,climax-top,0.3333333333333333,-0.05252032968271425,False
2023-05-01,2023-05-02,bearish-divergence,1.0,-0.025588610009429247,False
2024-12-18,2024-12-19,bearish-divergence,1.0,-0.15145874771804568,False
