basket_size,horizon_years,qqq_pct,stock_pct,n_windows_rolling,total_return_mean,total_return_median,total_return_std,total_return_p25,total_return_p75,final_value_mean,final_value_median,final_value_std,final_value_p25,final_value_p75,cagr_mean,cagr_median,cagr_std,cagr_p25,cagr_p75,max_drawdown_mean,max_drawdown_median,max_drawdown_std,max_drawdown_p25,max_drawdown_p75,sharpe_ratio_mean,sharpe_ratio_median,sharpe_ratio_std,sharpe_ratio_p25,sharpe_ratio_p75,pct_windows_positive,n_windows_nonoverlap,cagr_nonoverlap_mean,cagr_nonoverlap_std,cagr_nonoverlap_tstat,cagr_nonoverlap_pvalue,sharpe_nonoverlap_mean,sharpe_nonoverlap_std,sharpe_nonoverlap_tstat,sharpe_nonoverlap_pvalue
2,15,16,84,2515,24.967596,24.028076,10.09236,17.57418,32.810516,259675.960754,250280.764958,100923.600985,185741.801204,338105.164956,0.236059,0.239454,0.035074,0.21507,0.264593,-0.4792,-0.504355,0.052952,-0.505265,-0.502121,0.951865,0.96553,0.12666,0.898318,1.039483,1.0,1,0.164001,,,,0.657534,,,
2,15,17,83,2515,24.746931,23.802677,10.008221,17.415989,32.508912,257469.305695,248026.773336,100082.205371,184159.887621,335089.120463,0.235354,0.238696,0.035058,0.214389,0.263838,-0.479069,-0.504149,0.053022,-0.505118,-0.501789,0.950814,0.96435,0.126882,0.897085,1.038407,1.0,1,0.163278,,,,0.655805,,,
2,15,18,82,2515,24.526265,23.572331,9.924096,17.259889,32.207308,255262.650637,245723.313174,99240.96122,182598.893558,332073.07597,0.234643,0.237953,0.035043,0.2137,0.263076,-0.478937,-0.503942,0.053092,-0.504968,-0.501457,0.949745,0.963319,0.127105,0.895903,1.037463,1.0,1,0.162549,,,,0.654055,,,
2,15,19,81,2515,24.3056,23.350396,9.839987,17.10379,31.905703,253055.995579,243503.955826,98399.872416,181037.899495,329057.031477,0.233927,0.237246,0.035028,0.213006,0.262308,-0.478802,-0.503732,0.053164,-0.504817,-0.501125,0.948658,0.962268,0.127329,0.894635,1.036479,1.0,1,0.161813,,,,0.652284,,,
2,15,20,80,2515,24.084934,23.137235,9.755894,16.947691,31.618173,250849.34052,241372.348848,97558.942978,179476.905432,326181.730876,0.233205,0.236541,0.035013,0.212305,0.261543,-0.478666,-0.50352,0.053236,-0.504663,-0.500792,0.947552,0.961189,0.127555,0.893486,1.03522,1.0,1,0.161071,,,,0.65049,,,
2,15,21,79,2515,23.864269,22.924707,9.671818,16.791535,31.333304,248642.685462,239247.066318,96718.177061,177915.352955,323333.037569,0.232477,0.235812,0.034997,0.211599,0.260802,-0.478529,-0.503306,0.05331,-0.504506,-0.500458,0.946428,0.95997,0.127782,0.892258,1.03414,1.0,1,0.160322,,,,0.648674,,,
2,15,22,78,2515,23.643603,22.712178,9.587758,16.635483,31.070498,246436.030404,237121.783789,95877.578969,176354.830818,320704.975192,0.231742,0.235077,0.034982,0.210888,0.260117,-0.47839,-0.503089,0.053387,-0.504347,-0.500124,0.945283,0.958798,0.128011,0.890999,1.03304,1.0,1,0.159567,,,,0.646834,,,
2,15,23,77,2515,23.422938,22.491515,9.503715,16.4797,30.807691,244229.375345,234915.146392,95037.153154,174796.998183,318076.912816,0.231002,0.234307,0.034967,0.210172,0.25943,-0.47825,-0.502869,0.053466,-0.504186,-0.49979,0.944119,0.957663,0.128241,0.889857,1.031739,1.0,1,0.158804,,,,0.644972,,,
2,15,24,76,2515,23.202272,22.279807,9.41969,16.323629,30.532451,242022.720287,232798.067181,94196.904228,173236.287653,315324.506194,0.230255,0.233515,0.034951,0.209448,0.258712,-0.478109,-0.502647,0.053547,-0.504022,-0.499455,0.942934,0.956508,0.128473,0.888717,1.03058,1.0,1,0.158034,,,,0.643085,,,
2,15,25,75,2515,22.981607,22.074013,9.335684,16.167194,30.266989,239816.065228,230740.130505,93356.836966,171671.935116,312669.888403,0.229502,0.232787,0.034936,0.208717,0.257995,-0.477966,-0.502422,0.053629,-0.503855,-0.499119,0.941728,0.955323,0.128706,0.88749,1.02921,1.0,1,0.157258,,,,0.641173,,,
