years,n_windows,deployed_usd,strategy_avg_final_usd,strategy_avg_return_pct,strategy_median_final_usd,strategy_median_return_pct,strategy_worst_final_usd,strategy_best_final_usd,strategy_pct_losing_windows,ndx_buyhold_avg_final_usd,ndx_buyhold_avg_return_pct,ndx_buyhold_median_final_usd,ndx_buyhold_median_return_pct,ndx_buyhold_worst_final_usd,ndx_buyhold_best_final_usd,ndx_buyhold_pct_losing_windows
1,5910,1000000,1270338,27.0,1235158,23.5,440217,2762686,12.8,1160027,16.0,1173199,17.3,510873,1867655,15.2
2,5658,1200000,1860417,55.0,1694075,41.2,1024716,3989635,1.0,1565620,30.5,1551223,29.3,675187,2475112,9.4
3,5406,1400000,2594415,85.3,2355919,68.3,1282467,5507367,0.2,2014223,43.9,2010239,43.6,831468,3370426,5.3
4,5154,1600000,3535521,121.0,3556820,122.3,1483049,7114464,0.2,2522037,57.6,2562607,60.2,1000637,3814353,4.5
5,4902,1800000,4832387,168.5,4910481,172.8,1761525,8857131,0.0,3152876,75.2,3200010,77.8,1215436,5165284,4.0
6,4650,2000000,6494419,224.7,6489166,224.5,1985549,15282366,0.0,3860778,93.0,4002038,100.1,1616223,6069682,2.2
7,4398,2200000,8440552,283.7,8308559,277.7,2959940,21596443,0.0,4704282,113.8,4894975,122.5,1559055,7038945,2.0
8,4146,2400000,10743574,347.6,10265801,327.7,4626670,23502161,0.0,5746272,139.4,5847227,143.6,2807413,8834495,0.0
9,3894,2600000,13667437,425.7,13038244,401.5,6443873,30371495,0.0,6944159,167.1,6925510,166.4,3741437,11336941,0.0
10,3642,2800000,17034506,508.4,16198431,478.5,9287725,41075948,0.0,8284358,195.9,8426922,201.0,4068765,13541211,0.0
11,3390,3000000,21157292,605.2,20197557,573.3,11983583,40948436,0.0,9862469,228.7,9425884,214.2,4953576,16184328,0.0
12,3138,3200000,27140464,748.1,24764525,673.9,15527252,51735047,0.0,11773895,267.9,10939624,241.9,6654234,20416016,0.0
13,2886,3400000,34629299,918.5,32320743,850.6,19456527,68558974,0.0,13812934,306.3,13149849,286.8,7965370,26646131,0.0
14,2634,3600000,44878881,1146.6,44124741,1125.7,21414846,78442426,0.0,16050053,345.8,16803159,366.8,8186656,24213095,0.0
15,2382,3800000,59480582,1465.3,60585567,1494.4,26103886,100506316,0.0,18889137,397.1,18344715,382.8,10307059,29108062,0.0
16,2130,4000000,78508601,1862.7,83747901,1993.7,29571936,137822349,0.0,21948662,448.7,21240125,431.0,13537916,34943338,0.0
17,1878,4200000,105161579,2403.8,102481698,2340.0,36253710,269581770,0.0,25204616,500.1,24920596,493.3,13802774,42927821,0.0
18,1626,4400000,136114014,2993.5,120946416,2648.8,49791382,252556417,0.0,28498264,547.7,29479708,570.0,15508163,40449321,0.0
19,1374,4600000,177610643,3761.1,145258911,3057.8,101508504,348622405,0.0,32599904,608.7,33081521,619.2,21066544,43912968,0.0
20,1122,4800000,213749095,4353.1,188236008,3821.6,130656470,420699971,0.0,35547478,640.6,35131190,631.9,25791872,50329944,0.0
