qqq_pct,stock_pct,tqqq_pct,cagr_pct,sharpe,max_dd_pct,calmar,h1_sharpe,h1_calmar,h1_cagr_pct,h1_max_dd_pct,h2_sharpe,h2_calmar,h2_cagr_pct,h2_max_dd_pct
15,85,0,25.7,1.034,-45.0,0.571,0.864,0.451,20.29,-45.0,1.199,0.812,31.27,-38.5
20,0,80,49.17,1.03,-66.1,0.743,0.831,0.522,34.53,-66.1,1.225,1.152,65.05,-56.5
20,5,75,48.79,1.035,-65.1,0.749,0.835,0.522,34.01,-65.1,1.225,1.151,64.84,-56.3
20,10,70,48.39,1.039,-64.1,0.755,0.839,0.522,33.46,-64.1,1.225,1.15,64.61,-56.2
20,15,65,47.95,1.044,-63.0,0.761,0.843,0.522,32.89,-63.0,1.225,1.149,64.35,-56.0
20,20,60,47.49,1.048,-61.9,0.767,0.848,0.521,32.28,-61.9,1.225,1.147,64.05,-55.8
20,25,55,46.98,1.052,-60.8,0.773,0.853,0.521,31.64,-60.8,1.225,1.146,63.71,-55.6
20,30,50,46.44,1.056,-59.6,0.779,0.858,0.52,30.97,-59.6,1.225,1.144,63.31,-55.3
20,35,45,45.83,1.06,-58.3,0.786,0.864,0.519,30.25,-58.3,1.225,1.142,62.85,-55.0
20,40,40,45.16,1.063,-57.0,0.792,0.871,0.517,29.48,-57.0,1.225,1.137,62.29,-54.8
20,45,35,44.4,1.067,-55.7,0.797,0.877,0.515,28.66,-55.7,1.225,1.131,61.62,-54.5
20,50,30,43.53,1.069,-54.3,0.802,0.884,0.512,27.77,-54.3,1.225,1.123,60.78,-54.1
20,55,25,42.52,1.071,-53.6,0.793,0.89,0.508,26.8,-52.8,1.225,1.114,59.72,-53.6
20,60,20,41.3,1.073,-52.9,0.781,0.896,0.503,25.75,-51.2,1.225,1.103,58.3,-52.9
20,65,15,39.76,1.074,-51.7,0.769,0.899,0.495,24.58,-49.6,1.225,1.09,56.33,-51.7
20,70,10,37.67,1.074,-49.6,0.76,0.898,0.486,23.27,-47.9,1.225,1.075,53.31,-49.6
20,75,5,34.37,1.073,-46.1,0.745,0.89,0.472,21.78,-46.1,1.227,1.072,47.88,-44.7
20,80,0,25.47,1.038,-44.3,0.576,0.867,0.453,20.06,-44.3,1.204,0.82,31.05,-37.9
25,0,75,48.78,1.034,-64.7,0.754,0.833,0.525,33.94,-64.7,1.225,1.152,64.91,-56.3
25,5,70,48.38,1.038,-63.6,0.76,0.837,0.525,33.39,-63.6,1.225,1.151,64.68,-56.2
25,10,65,47.95,1.043,-62.5,0.767,0.841,0.525,32.81,-62.5,1.225,1.15,64.43,-56.0
25,15,60,47.48,1.047,-61.4,0.773,0.846,0.524,32.2,-61.4,1.225,1.149,64.13,-55.8
25,20,55,46.98,1.051,-60.3,0.78,0.851,0.524,31.56,-60.3,1.225,1.147,63.79,-55.6
25,25,50,46.43,1.055,-59.0,0.786,0.856,0.523,30.88,-59.0,1.225,1.146,63.4,-55.3
