years,cohort_id,start_date,end_date,strategy_final_usd,benchmark_final_usd,excess_return_pp
1,1,1996-01-02,1996-12-27,1453999.4767722036,1425384.8516912994,2.8614625080904226
1,2,1996-12-30,1997-12-26,1127074.9107083816,1154363.6341637527,-2.7288723455371104
1,3,1997-12-29,1998-12-28,2208878.063363246,1864010.3011660348,34.486776219721136
1,4,1998-12-29,1999-12-28,1030334.9148677891,1963434.632618699,-93.30997177509099
1,5,1999-12-29,2000-12-26,857859.9955674026,651709.6333557381,20.615036221166445
1,6,2000-12-27,2002-01-02,1322306.5288299895,654574.2030151897,66.77323258147997
1,7,2002-01-03,2003-01-06,1073705.7591708153,636890.5475621902,43.681521160862516
1,8,2003-01-07,2004-01-06,990743.7025860378,1400625.087465597,-40.98813848795593
1,9,2004-01-07,2005-01-06,968807.7565183217,1028568.4096522393,-5.976065313391761
1,10,2005-01-07,2006-01-06,1105321.4316475482,1108754.4174692137,-0.34329858216654974
1,11,2006-01-09,2007-01-09,1062720.6966642884,1030845.6283368736,3.18750683274148
1,12,2007-01-10,2008-01-09,1079791.6366041186,1073259.3673430057,0.6532269261112902
1,13,2008-01-10,2009-01-08,938055.0401309463,641121.189164841,29.693385096610537
1,14,2009-01-09,2010-01-08,1897684.6025223676,1547485.3026549253,35.01992998674424
1,15,2010-01-11,2011-01-07,1313726.9873564641,1207004.410891509,10.672257646495522
1,16,2011-01-10,2012-01-09,1179374.119587535,1029010.0596223045,15.036405996523053
1,17,2012-01-10,2013-01-10,1180493.2912300716,1159163.2944436464,2.1329996786425123
1,18,2013-01-11,2014-01-10,1223573.0103318095,1297213.509638826,-7.364049930701638
1,19,2014-01-13,2015-01-12,1138542.8196072697,1187078.6836711457,-4.853586406387598
1,20,2015-01-13,2016-01-12,993267.0107963765,1040209.3034419856,-4.694229264560913
1,21,2016-01-13,2017-01-11,1177666.1927846065,1207283.0805714396,-2.9616887786833104
1,22,2017-01-12,2018-01-11,1382393.9625851412,1330672.0513822464,5.172191120289476
1,23,2018-01-12,2019-01-14,835387.333151232,967818.4933432367,-13.243116019200476
1,24,2019-01-15,2020-01-14,1595112.8010086599,1354408.9336156074,24.070386739305246
1,25,2020-01-15,2021-01-13,1623206.5295612216,1435823.7961324395,18.73827334287821
1,26,2021-01-14,2022-01-12,1264763.439759029,1233078.7079928273,3.168473176620179
1,27,2022-01-13,2023-01-13,960845.3697604181,744822.0852085943,21.602328455182374
1,28,2023-01-17,2024-01-17,1348834.819936403,1448127.0966385426,-9.929227670213953
1,29,2024-01-18,2025-01-17,1284648.147062101,1262559.407476848,2.2088739585252943
1,30,2025-01-21,2026-01-21,1154970.300690198,1174347.6343645775,-1.9377333674379393
3,1,1996-01-02,1998-12-28,4547718.477060942,3927113.9426133465,44.328895317685394
3,2,1998-12-29,2002-01-02,1538757.8770842701,1101429.7899339134,31.23772051073977
3,3,2002-01-03,2005-01-06,1551492.4722002028,1430852.1750430807,8.617164082651575
3,4,2005-01-07,2008-01-09,1622538.3739713975,1684099.9057355989,-4.397252268871525
3,5,2008-01-10,2011-01-07,2976735.9384233756,1779074.93699989,85.54721438739182
3,6,2011-01-10,2014-01-10,2237614.102499213,2121259.8086638306,8.311020988241603
3,7,2014-01-13,2017-01-11,1814146.1289048363,1921553.266073677,-7.67193836920291
3,8,2017-01-12,2020-01-14,2371527.672398005,2330037.307920987,2.9635974626441683
3,9,2020-01-15,2023-01-13,2814836.2330615083,1605244.4695632455,86.39941167844734
3,10,2023-01-17,2026-01-21,3261152.156467009,2724553.3299255627,38.328487610103295
5,1,1996-01-02,2000-12-26,4449771.705484679,5571291.462912162,-62.306653190415716
5,2,2000-12-27,2006-01-06,2894560.2657134123,1688061.7795575585,67.02769367532522
5,3,2006-01-09,2011-01-07,4842057.739118497,2404522.6887496314,135.4186139093814
5,4,2011-01-10,2016-01-12,2943804.705951566,3033389.2755076047,-4.976920530891046
5,5,2016-01-13,2021-01-13,5037191.105574444,4676223.126417537,20.053776619828152
5,6,2021-01-14,2026-01-21,4995352.3449794995,3261809.8033537236,96.30791897920977
10,1,1996-01-02,2006-01-06,8643656.754177796,5143737.074960035,124.99713140063432
10,2,2006-01-09,2016-01-12,10768222.657271065,6092733.023101346,166.98177264891854
10,3,2016-01-13,2026-01-21,20283262.499201436,10819737.642124228,337.98303060990025
15,1,1996-01-02,2011-01-07,25968829.807065226,8108654.361572331,470.00461698665504
15,2,2011-01-10,2026-01-21,45497693.889168665,23703511.73334695,573.5311093637293
20,1,1996-01-02,2016-01-12,51311664.21131991,16950601.654517516,715.8554699333831
