signal_date,future_min_spx_return_126,followed_by_20pct_drop,ndx_return_60_pct,ndx_return_60_slope_20,vix,vix_slope_20,spx_drawdown_252_pct,spx_drawdown_252_slope_20,canonical_sell_vote_fraction,baseline_nearest_peak_zone_date,baseline_nearest_peak_distance,baseline_peak_similarity_percentile,challenger_nearest_peak_zone_date,challenger_nearest_peak_distance,challenger_peak_similarity_percentile,baseline_causal_nearest_peak_zone_date,baseline_causal_nearest_peak_distance,baseline_causal_peak_similarity_percentile,baseline_resolved_peak_episodes_available,challenger_causal_nearest_peak_zone_date,challenger_causal_nearest_peak_distance,challenger_causal_peak_similarity_percentile,challenger_resolved_peak_episodes_available
2003-10-02,0.008527739658890532,False,3.2382099508940776,-0.38257742770232034,20.8,0.20121804511278188,-1.8661023470565419,-0.1425856099179445,0.3333333333333333,2021-11-24,1.0832380115790012,0.47058823529411764,2021-11-24,1.0832380115790012,0.5908496732026144,,,,,,,,
2003-11-19,-0.008346124328472815,False,5.335930636721287,-0.3031257099905215,18.8,0.0568120300751878,-1.5675165250235934,-0.012333313311486484,0.3333333333333333,2021-12-15,0.6913087749763202,0.7493464052287582,2021-12-15,0.6913087749763202,0.7826797385620915,,,,,,,,
2003-11-24,0.0017108639863132602,False,5.82388905457798,-0.770943094452399,17.44,0.1373533834586467,-0.6515580736544013,-0.09481022755450635,0.3333333333333333,2021-12-15,1.488913653399265,0.3426470588235294,2021-12-15,1.488913653399265,0.405718954248366,,,,,,,,
2004-12-08,-0.03829895164017583,False,11.680389299831994,0.02035507910303099,13.19,0.0006390977443610476,-0.7218398522746416,-0.01620192303577539,0.3333333333333333,2020-01-23,0.40873730402206443,0.9470588235294117,2020-01-23,0.40873730402206443,0.9526143790849673,,,,,,,,
2004-12-20,-0.04787812840043526,False,13.78935706372182,-0.06096429720214392,11.83,-0.04481954887218042,-0.9123330845152156,-0.002127621690672762,0.3333333333333333,2020-01-23,0.333140733022757,0.9751633986928104,2020-01-23,0.333140733022757,0.9769607843137255,,,,,,,,
2005-07-08,-0.028962785708391947,False,4.89778884571177,-0.12107477282642479,11.45,0.02368421052631581,-1.0936097282298052,-0.03740682809611093,0.3333333333333333,2007-07-12,0.9250368335558983,0.5612745098039216,2007-07-12,0.9250368335558983,0.6446078431372549,,,,,,,,
2005-08-08,-0.037854631673616135,False,9.292062771946474,-0.01361162392293112,13.21,0.1112481203007519,-1.7590361445783187,-0.04787479451411596,0.3333333333333333,2007-07-12,0.5089471550779168,0.8986928104575164,2007-07-12,0.5089471550779168,0.9084967320261438,,,,,,,,
2005-12-12,-0.029117740399873138,False,6.184039413794817,-0.012333823530391662,11.47,0.005977443609022633,-0.6150449455921692,-0.005340330722417584,0.3333333333333333,2007-07-13,0.7871897180409587,0.6679738562091503,2007-07-13,0.7871897180409587,0.7194444444444444,,,,,,,,
2006-01-09,-0.05154239652767012,False,14.509035689164396,0.18816195917786158,11.13,0.013255639097744422,0.0,0.0032496404384980532,0.3333333333333333,2020-01-17,0.29743476370184024,0.9834967320261437,2020-01-17,0.29743476370184024,0.9844771241830066,,,,,,,,
2006-04-18,-0.0642349162651984,False,2.9981269163316115,-0.08395846870435993,11.4,0.06575939849624063,-0.2973467520585471,-0.059341517267531285,0.0,2021-11-24,0.9533945760347253,0.5434640522875817,2021-11-24,1.3816516267179775,0.4526143790849673,,,,,,,,
