variant,record_type,component,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,entry_signal_date,signal_date,tqqq_boosted,rotation_signal_date,rotation_date,max_boost_sessions,component_return_pct,allocation_at_entry,portfolio_contribution_pct,cluster,component_events
60_sessions,component_trade,breadth,2002-07-24,2002-08-15,875.48,975.09,13.556625113560617,-3.470650803882047,7948.963757949243,VIX+MA200,climax-top,2002-07-23,2002-08-14,True,,,60.0,,,,,
60_sessions,component_trade,breadth,2002-10-10,2002-11-12,809.46,982.45,27.82006609730765,6.225458595606859,10160.370729461752,VIX+MA200,climax-top,2002-10-09,2002-11-11,True,,,60.0,,,,,
60_sessions,component_trade,breadth,2003-01-10,2003-03-18,1059.86,1075.3,1.3355723667185293,-10.28485065701662,10296.0698332806,MA200-recross,climax-top,2003-01-09,2003-03-17,False,,,60.0,,,,,
60_sessions,component_trade,breadth,2004-03-25,2004-06-14,1394.2,1470.62,5.355904007369938,0.04367197201085027,10847.517450082883,MA200-recross,bearish-divergence,2004-03-24,2004-06-10,False,,,60.0,,,,,
60_sessions,component_trade,breadth,2005-03-31,2007-07-27,1489.44,1988.85,33.37507211378177,-5.648143635675673,14467.884221603106,MA200-recross,bearish-divergence,2005-03-30,2007-07-26,False,,,60.0,,,,,
60_sessions,component_trade,breadth,2008-01-23,2008-09-30,1725.46,1540.51,-9.155034232382942,-11.7642620212988,13143.344468413812,VIX,trailing-stop,2008-01-22,2008-09-29,True,2008-04-17,2008-04-18,60.0,,,,,
60_sessions,tqqq_to_ndx_rotation,breadth,2008-01-23,2008-04-18,,,,,,VIX,,,2008-04-17,,,,60.0,,,,,
60_sessions,component_trade,breadth,2008-10-17,2008-11-05,1291.58,1359.82,5.8855182716236465,-12.082545705005543,13916.898408604742,VIX,climax-top,2008-10-16,2008-11-04,True,,,60.0,,,,,
60_sessions,component_trade,breadth,2008-11-24,2009-01-14,1106.02,1183.79,7.537977064548107,-2.3654842969003442,14965.951018741827,VIX,climax-top,2008-11-21,2009-01-13,True,,,60.0,,,,,
60_sessions,component_trade,breadth,2009-02-02,2009-02-18,1168.13,1193.89,2.4596259638526963,1.7162124309664462,15334.057435736278,VIX,climax-top,2009-01-30,2009-02-17,True,,,60.0,,,,,
60_sessions,component_trade,breadth,2009-03-09,2011-09-19,1058.85,2277.64,138.53461995903152,-1.9384534511793228,36577.035628633144,VIX,bearish-divergence,2009-03-06,2011-09-16,True,2009-06-02,2009-06-03,60.0,,,,,
60_sessions,tqqq_to_ndx_rotation,breadth,2009-03-09,2009-06-03,,,,,,VIX,,,2009-06-02,,,,60.0,,,,,
60_sessions,component_trade,breadth,2011-10-06,2014-08-08,2181.58,3864.09,79.02827791677831,-2.2280591600531974,65483.23699894837,VIX,bearish-divergence,2011-10-05,2014-08-07,True,2011-12-30,2012-01-03,60.0,,,,,
60_sessions,tqqq_to_ndx_rotation,breadth,2011-10-06,2012-01-03,,,,,,VIX,,,2011-12-30,,,,60.0,,,,,
60_sessions,component_trade,breadth,2015-08-25,2018-03-23,4187.28,6683.19,63.31876807782613,-5.120152266975997,106946.41596416572,VIX,bearish-divergence,2015-08-24,2018-03-22,True,2015-11-17,2015-11-18,60.0,,,,,
60_sessions,tqqq_to_ndx_rotation,breadth,2015-08-25,2015-11-18,,,,,,VIX,,,2015-11-17,,,,60.0,,,,,
60_sessions,component_trade,breadth,2018-10-15,2020-02-26,7129.31,8883.01,24.471818303240546,-17.33563989223741,133118.1485607442,MA200-recross,bearish-divergence,2018-10-12,2020-02-25,False,,,60.0,,,,,
60_sessions,component_trade,breadth,2020-03-16,2021-12-01,7502.26,16347.96,141.65402446879187,-7.645170609823149,321685.36329538346,VIX,bearish-divergence,2020-03-13,2021-11-30,True,2020-06-09,2020-06-10,60.0,,,,,
60_sessions,tqqq_to_ndx_rotation,breadth,2020-03-16,2020-06-10,,,,,,VIX,,,2020-06-09,,,,60.0,,,,,
60_sessions,component_trade,breadth,2022-06-14,2022-11-14,11385.18,11728.11,4.534018915134985,-4.713145943927188,336270.6385144169,VIX,climax-top,2022-06-13,2022-11-11,True,2022-09-08,2022-09-09,60.0,,,,,
