Date,rolling_breadth_max_60,breadth,breadth_drawdown_60_points,breadth_below_60,original_price_rise_met,canonical_divergence,ndx_return_60_pct,price_rise_3pct,drawdown_15,drawdown_20,drawdown_25,price,next_session_open,episode_onset
2004-06-10,91.77,57.61,34.16,True,True,True,5.814825662382939,True,True,True,True,1481.27,1470.62,True
2007-07-26,86.21,57.06,29.14999999999999,True,True,True,6.040791489407127,True,True,True,True,1986.6,1988.85,True
2007-08-02,86.21,55.62,30.589999999999996,True,True,True,3.514524983814349,True,True,True,True,1966.6,1963.49,True
2007-08-06,84.77,53.58,31.189999999999998,True,True,True,4.221949658703061,True,True,True,True,1954.37,1943.39,True
2007-08-31,78.32,50.1,28.21999999999999,True,True,True,5.6615502319131705,True,True,True,True,1988.73,1989.28,True
2007-09-14,76.07,49.9,26.169999999999995,True,True,True,4.094437392046291,True,True,True,True,2000.82,1993.5,True
2007-11-07,67.14,46.33,20.810000000000002,True,True,False,14.101255969536952,True,True,True,False,2169.43,2165.57,True
2007-11-09,67.14,45.1,22.04,True,True,False,10.195060912523225,True,True,True,False,2034.3,2028.91,True
2007-11-14,67.14,47.14,20.0,True,True,False,6.648909727418761,True,True,True,False,2038.05,2035.46,True
2008-06-23,55.98,35.56,20.419999999999995,True,True,False,8.245218011167864,True,True,True,False,1913.31,1906.84,True
2008-07-08,55.98,30.1,25.879999999999995,True,True,False,4.033979718911218,True,True,True,True,1871.28,1866.81,True
2011-09-16,82.12,34.4,47.720000000000006,True,True,True,3.14614782511462,True,True,True,True,2306.09,2277.64,True
2011-09-20,82.12,31.39,50.730000000000004,True,True,True,3.5556096812896287,True,True,True,True,2295.89,2308.41,True
2011-11-18,53.0,32.0,21.0,True,True,False,6.912973565252023,True,True,True,False,2253.95,2219.88,True
2014-08-07,87.97,58.79,29.18,True,True,True,6.834702710785812,True,True,True,True,3857.94,3864.09,True
2014-10-01,85.8,56.4,29.4,True,True,True,3.1228730328384247,True,True,True,True,3984.74,3984.8,True
2014-10-08,85.0,58.4,26.6,True,True,True,3.2359590747103706,True,True,True,True,4041.12,4031.61,True
2014-10-24,81.0,59.79,21.21,True,True,False,3.841233140655098,True,True,True,False,4042.02,4031.88,True
2018-03-22,82.17,54.67,27.5,True,True,True,3.357839005006835,True,True,True,True,6682.26,6683.19,True
2018-03-26,82.17,56.06,26.11,True,True,True,4.95217671693744,True,True,True,True,6753.83,6791.39,True
2019-08-23,75.24,51.08,24.159999999999997,True,True,False,3.0307505451734995,True,True,True,False,7464.99,7540.69,True
2020-02-25,84.35,50.29,34.059999999999995,True,True,True,5.3556330680022635,True,True,True,True,8834.86,8883.01,True
2020-03-02,84.35,41.18,43.169999999999995,True,True,True,7.550086374616272,True,True,True,True,8877.98,8892.68,True
2020-06-11,61.98,33.46,28.519999999999996,True,True,False,28.292000883067182,True,True,True,True,9588.48,9785.58,True
2020-06-17,61.98,41.78,20.199999999999996,True,True,False,42.4660193066283,True,True,True,False,9982.48,9972.35,True
2020-07-07,61.98,40.59,21.389999999999993,True,True,False,27.741356771171553,True,True,True,False,10524.01,10594.41,True
2021-11-30,75.84,55.73,20.110000000000007,True,True,True,3.0860813934322495,True,True,True,False,16135.92,16347.96,True
2023-03-07,75.94,53.47,22.47,True,True,False,5.695031655010396,True,True,True,False,12152.17,12181.06,True
2023-03-14,75.94,42.14,33.8,True,True,False,3.908296794459054,True,True,True,True,12199.79,12083.24,True
2023-04-04,75.94,53.08,22.86,True,True,False,18.656383176257997,True,True,True,False,13100.08,13056.79,True
2023-04-25,75.94,51.09,24.849999999999994,True,True,False,4.59051830420989,True,True,True,False,12725.11,12866.64,True
2023-05-02,71.37,48.11,23.260000000000005,True,True,True,4.297180705873371,True,True,True,False,13113.66,13123.1,True
2023-05-05,69.58,48.11,21.47,True,True,True,6.112259090960026,True,True,True,False,13259.13,13247.09,True
2023-05-24,60.03,39.56,20.47,True,True,False,12.974127479214603,True,True,True,False,13604.48,13920.89,True
2023-05-31,58.64,38.17,20.47,True,True,True,15.863549463197678,True,True,True,False,14254.09,14269.09,True
2023-08-16,73.75,52.88,20.869999999999997,True,True,False,7.7732515472536345,True,True,True,False,14876.47,14943.34,True
2023-09-05,73.75,51.38,22.369999999999997,True,True,False,7.067535455043794,True,True,True,False,15508.24,15467.32,True
2023-09-11,73.75,48.31,25.439999999999998,True,True,False,3.0400468089104793,True,True,True,True,15461.87,15390.59,True
2024-12-18,79.92,53.87,26.050000000000004,True,True,True,6.339835265662708,True,True,True,True,21209.31,21358.79,True
2025-01-13,79.08,51.88,27.199999999999996,True,True,True,3.099678915943227,True,True,True,True,20784.72,20896.36,True
2025-01-15,78.72,55.26,23.46,True,True,True,5.187757362154932,True,True,True,False,21237.85,21324.97,True
