Date,price,breadth,canonical_divergence,ndx_rsi14,next_session_open,rsi_le_45,rsi_le_50,rsi_le_55
2002-01-02,1610.39,65.91,False,51.95931380172047,1618.3,False,False,False
2002-01-03,1666.66,69.77,False,58.32167671266094,1685.54,False,False,False
2002-01-04,1675.03,71.78,False,59.18751249033857,1691.36,False,False,False
2002-01-07,1649.83,70.9,False,55.45238617290764,1651.42,False,False,False
2002-01-08,1666.58,71.55,False,57.37774034402593,1688.26,False,False,False
2002-01-09,1653.76,70.73,False,55.40402113701076,1653.97,False,False,False
2002-01-10,1656.68,71.0,False,55.77715793990257,1659.47,False,False,False
2002-01-11,1634.17,69.91,False,52.15438948080997,1624.91,False,False,False
2002-01-14,1603.76,67.93,False,47.65154648069821,1607.01,False,False,False
2002-01-15,1612.46,68.73,False,49.0079409301011,1588.77,False,False,False
2002-01-16,1558.98,65.56,False,41.832440722884435,1587.01,False,False,False
2002-01-17,1602.32,67.26,False,48.423023199937774,1558.41,False,False,False
2002-01-18,1548.22,64.84,False,42.02246918330048,1567.59,False,False,False
2002-01-22,1501.78,62.99,False,37.44674939982405,1511.95,False,False,False
2002-01-23,1549.21,64.93,False,44.13707317804763,1565.34,False,False,False
2002-01-24,1565.13,65.71,False,46.21639533420044,1546.1,False,False,False
2002-01-25,1558.26,65.51,False,45.430536894504684,1573.39,False,False,False
2002-01-28,1564.86,65.51,False,46.37393727230133,1570.7,False,False,False
2002-01-29,1519.33,62.06,False,41.09578361669377,1525.09,False,False,False
2002-01-30,1538.94,63.68,False,44.04955081347605,1549.47,False,False,False
2002-01-31,1550.17,65.24,False,45.7279413487759,1544.42,False,False,False
2002-02-01,1528.15,64.49,False,43.00386558809908,1526.32,False,False,False
2002-02-04,1479.17,61.0,False,37.63356016214681,1468.61,False,False,False
2002-02-05,1462.86,60.04,False,36.020462581825974,1480.45,False,False,False
2002-02-06,1445.96,58.22,False,34.37623809924298,1445.11,False,False,False
2002-02-07,1413.86,56.96,False,31.440580551225523,1426.26,False,False,False
2002-02-08,1452.17,59.89,False,38.22132583410175,1451.13,False,False,False
2002-02-11,1477.64,61.93,False,42.306746718757694,1458.28,False,False,False
2002-02-12,1464.76,61.91,False,40.83608129446499,1476.25,False,False,False
2002-02-13,1486.75,62.96,False,44.39033619515979,1491.19,False,False,False
2002-02-14,1474.71,62.19,False,42.871718444014796,1477.46,False,False,False
2002-02-15,1436.7,62.25,False,38.404859075028405,1421.07,False,False,False
2002-02-19,1387.27,58.64,False,33.51449205762434,1400.83,False,False,False
2002-02-20,1408.26,60.57,False,37.17303271597377,1397.17,False,False,False
2002-02-21,1348.25,58.55,False,31.787452588845312,1351.24,False,False,False
2002-02-22,1356.16,60.47,False,33.16201786229642,1366.44,False,False,False
2002-02-25,1407.99,62.1,False,41.48296596735916,1416.1,False,False,False
2002-02-26,1401.19,62.64,False,40.76590033320754,1420.3,False,False,False
2002-02-27,1378.48,63.36,False,38.37982058841136,1386.15,False,False,False
2002-02-28,1359.22,63.12,False,36.432230700315664,1373.15,False,False,False
2002-03-01,1435.41,66.32,False,47.73172724491932,1434.69,False,False,False
2002-03-04,1494.7,69.43,False,54.5084676321157,1484.83,False,False,False
2002-03-05,1498.95,69.52,False,54.959263931256274,1488.8,False,False,False
2002-03-06,1519.95,72.53,False,57.21533590538172,1531.43,False,False,False
2002-03-07,1506.81,72.22,False,55.34721908901078,1537.03,False,False,False
2002-03-08,1555.11,73.06,False,60.45799369060827,1542.09,False,False,False
2002-03-11,1553.8,74.27,False,60.25655108277694,1510.06,False,False,False
2002-03-12,1520.54,72.99,False,55.22534959101614,1502.4,False,False,False
2002-03-13,1486.27,71.65,False,50.5425938068324,1488.36,False,False,False
2002-03-14,1477.19,72.38,False,49.3486208705328,1484.46,False,False,False
2002-03-15,1495.41,73.13,False,51.8087201014175,1511.83,False,False,False
2002-03-18,1505.89,73.46,False,53.216238500842394,1510.46,False,False,False
2002-03-19,1504.67,73.77,False,53.022093718020955,1482.1,False,False,False
2002-03-20,1451.02,72.23,False,45.210871267484016,1452.18,False,False,False
2002-03-21,1488.97,72.58,False,50.739159611742764,1483.04,False,False,False
2002-03-22,1470.1,72.17,False,48.1382151454363,1473.62,False,False,False
2002-03-25,1427.6,70.16,False,42.814875149828374,1423.57,False,False,False
2002-03-26,1439.55,70.9,False,44.66770923044409,1431.35,False,False,False
2002-03-27,1436.51,72.32,False,44.2747029644339,1447.48,False,False,False
2002-03-28,1452.81,73.59,False,46.96893412441612,1440.38,False,False,False
