variant,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,signal_date,cooldown_until
baseline,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX,climax-top,2002-08-14,2002-08-30
baseline,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX,climax-top,2002-11-11,2002-11-27
baseline,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-03-17,2003-04-02
baseline,2004-03-25,2004-06-14,1394.2,1470.62,5.375851021555637,0.0,14399.694048901049,MA200-recross,bearish-divergence,2004-06-10,2004-06-29
baseline,2005-03-31,2007-07-27,1489.44,1988.85,33.3965882431005,-5.5450370609088075,19206.366612796348,MA200-recross,bearish-divergence,2007-07-26,2007-08-11
baseline,2008-01-23,2008-09-30,1725.46,1540.51,-10.808117263218783,-13.289789389496132,17128.628068454247,VIX,trailing-stop,2008-09-29,2008-10-15
baseline,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,18013.534406131483,VIX,climax-top,2008-11-04,2008-11-20
baseline,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,19258.819625983895,VIX,climax-top,2009-01-13,2009-01-29
baseline,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,19661.82695000276,VIX,climax-top,2009-02-17,2009-03-05
baseline,2009-03-09,2011-09-19,1058.85,2277.64,114.8900692497403,0.0,42248.16464793253,VIX,bearish-divergence,2011-09-16,2011-10-04
baseline,2011-10-06,2014-08-08,2181.58,3864.09,76.9464260343174,-1.4072369567010983,74753.84794535021,VIX,bearish-divergence,2014-08-07,2014-08-23
baseline,2015-08-25,2018-03-23,4187.28,6683.19,59.447425295777634,-5.719225845895178,119190.49138412853,VIX,bearish-divergence,2018-03-22,2018-04-07
baseline,2018-10-15,2020-02-26,7129.31,8883.01,24.473917241435135,-17.252160447504735,148358.8288659676,MA200-recross,bearish-divergence,2020-02-25,2020-03-12
baseline,2020-03-16,2021-12-01,7502.26,16347.96,117.6893390777586,-6.770893037564683,322958.17712843703,VIX,bearish-divergence,2021-11-30,2021-12-16
baseline,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,332351.366343382,VIX,climax-top,2022-11-11,2022-11-29
baseline,2023-01-27,2023-05-02,12000.21,13225.48,10.100249324264201,-1.4160585523086553,365917.58197416906,MA200-recross,bearish-divergence,2023-05-01,2023-05-17
baseline,2023-10-30,2024-12-19,14283.98,21358.79,49.38022794807871,0.0,546606.024252832,MA200,bearish-divergence,2024-12-18,2025-01-03
rsi_5_14,2002-07-24,2002-07-26,875.48,905.88,3.3689601948237877,0.0,10334.862329880429,VIX,rsi-death-cross,2002-07-25,2002-08-10
rsi_5_14,2002-10-10,2002-10-30,809.46,968.48,19.525610159612704,0.0,12350.612002843953,VIX,rsi-death-cross,2002-10-29,2002-11-14
rsi_5_14,2003-01-10,2003-01-16,1059.86,1076.18,1.4383369332826683,0.0,12526.241033397966,MA200-recross,rsi-death-cross,2003-01-15,2003-01-31
rsi_5_14,2004-03-25,2004-04-14,1394.2,1464.32,4.924430626459831,0.0,13141.037838884531,MA200-recross,rsi-death-cross,2004-04-13,2004-04-29
rsi_5_14,2005-03-31,2005-04-04,1489.44,1469.42,-1.4427359045796582,-1.348829090127843,12949.46179510759,MA200-recross,rsi-death-cross,2005-04-01,2005-04-19
rsi_5_14,2005-05-18,2005-06-06,1493.03,1544.96,3.374735410135993,0.0,13384.438120375018,MA200-recross,rsi-death-cross,2005-06-03,2005-06-21
rsi_5_14,2006-09-18,2006-09-20,1631.48,1636.02,0.1780467796846667,-0.6380709539804399,13406.266900959436,MA200-recross,rsi-death-cross,2006-09-19,2006-10-05
rsi_5_14,2008-01-23,2008-01-28,1725.46,1788.14,3.5290736164958223,0.0,13877.348638382042,VIX,rsi-death-cross,2008-01-25,2008-02-12
rsi_5_14,2008-03-17,2008-03-28,1680.54,1788.56,6.321321351058799,0.0,14752.517227607445,VIX,rsi-death-cross,2008-03-27,2008-04-12
rsi_5_14,2008-05-02,2008-05-08,1996.31,1960.71,-1.8814577963809407,-2.2486487569565785,14472.973656644148,MA200-recross,rsi-death-cross,2008-05-07,2008-05-23
rsi_5_14,2008-06-16,2008-06-18,1954.04,1962.78,0.3468813790685198,0.0,14521.174238442747,MA200-recross,rsi-death-cross,2008-06-17,2008-07-03
rsi_5_14,2008-09-18,2008-09-24,1668.33,1657.6,-0.7424653164657417,-1.194607781434119,14411.366980831915,VIX,rsi-death-cross,2008-09-23,2008-10-09
rsi_5_14,2008-10-13,2008-10-16,1338.6,1256.21,-6.248736157843677,-7.049902883609733,13508.901168822706,VIX,rsi-death-cross,2008-10-15,2008-10-31
rsi_5_14,2008-11-04,2008-11-07,1363.3,1258.43,-7.784625621613005,-8.89972859972126,12455.36163349237,VIX,rsi-death-cross,2008-11-06,2008-11-22
rsi_5_14,2008-11-25,2008-12-02,1164.36,1109.99,-4.764800859043471,-6.286715448830243,11859.936103391345,VIX,rsi-death-cross,2008-12-01,2008-12-17
rsi_5_14,2008-12-19,2008-12-23,1219.65,1194.64,-2.1484887450096823,-2.5007174189316603,11603.148195932092,VIX,rsi-death-cross,2008-12-22,2009-01-07
rsi_5_14,2009-01-09,2009-01-23,1252.6,1148.61,-8.393584223376081,-9.259939326201502,10627.312115385623,VIX,rsi-death-cross,2009-01-22,2009-02-07
rsi_5_14,2009-02-10,2009-02-17,1269.48,1197.59,-5.757238515317123,-3.3423133881589364,10013.529981520833,VIX,rsi-death-cross,2009-02-13,2009-03-04
rsi_5_14,2009-03-06,2009-03-31,1082.53,1232.59,13.748166423748682,-3.571263613941423,11388.069266608049,VIX,rsi-death-cross,2009-03-30,2009-04-15
rsi_5_14,2009-04-17,2009-04-21,1347.37,1303.87,-3.3252349681827895,-2.820309194950162,11007.422457503602,VIX,rsi-death-cross,2009-04-20,2009-05-06
rsi_5_14,2009-05-19,2009-05-22,1387.2,1371.76,-1.2118709964510166,-1.4280565167243329,10872.038815994245,MA200-recross,rsi-death-cross,2009-05-21,2009-06-06
rsi_5_14,2010-05-24,2010-06-07,1818.46,1839.77,1.0707493937335728,-1.2092649824576844,10986.440398209044,MA200-recross,rsi-death-cross,2010-06-04,2010-06-22
rsi_5_14,2010-07-14,2010-07-19,1847.92,1807.99,-2.258598124202965,-2.404866011515653,10736.323447439661,MA200-recross,rsi-death-cross,2010-07-16,2010-08-03
rsi_5_14,2010-09-07,2010-10-01,1862.88,2014.47,8.029316796123984,0.0,11596.29657612317,MA200-recross,rsi-death-cross,2010-09-30,2010-10-16
rsi_5_14,2011-06-22,2011-07-12,2243.21,2362.19,5.198754931760643,-1.1657401669928402,12197.107628726648,MA200-recross,rsi-death-cross,2011-07-11,2011-07-27
rsi_5_14,2011-08-05,2011-08-19,2227.49,2053.01,-7.925152705870513,-7.506206537403079,11228.547474977739,VIX,rsi-death-cross,2011-08-18,2011-09-03
rsi_5_14,2011-09-07,2011-09-12,2198.61,2145.78,-2.50043016479396,-1.5896407275506013,10945.810491146833,VIX,rsi-death-cross,2011-09-09,2011-09-27
rsi_5_14,2011-09-29,2011-10-20,2255.55,2317.34,2.6367767547141385,-7.5595752698898355,11232.400710024907,VIX,rsi-death-cross,2011-10-19,2011-11-04
rsi_5_14,2011-11-23,2011-12-09,2199.46,2287.27,3.888403201852655,-2.2087239595173327,11667.122854846419,VIX,rsi-death-cross,2011-12-08,2011-12-24
rsi_5_14,2012-01-04,2012-02-13,2316.53,2564.93,10.612267133345469,0.0,12903.162976306989,MA200-recross,rsi-death-cross,2012-02-10,2012-02-28
rsi_5_14,2012-11-02,2012-11-08,2701.91,2620.25,-3.1192356714226177,-3.302108508425514,12498.71410636494,MA200-recross,rsi-death-cross,2012-11-07,2012-11-23
rsi_5_14,2012-11-30,2012-12-06,2680.55,2631.16,-1.940640729606296,-1.5914644382682772,12254.17837614707,MA200-recross,rsi-death-cross,2012-12-05,2012-12-21
rsi_5_14,2013-01-03,2013-01-16,2742.13,2725.63,-0.7010706226935535,-0.8537159069774339,12166.274942205664,MA200-recross,rsi-death-cross,2013-01-15,2013-01-31
rsi_5_14,2014-10-20,2014-11-20,3813.59,4204.54,10.141298913081659,0.0,13397.991837692964,MA200-recross,rsi-death-cross,2014-11-19,2014-12-05
rsi_5_14,2015-08-25,2015-09-02,4187.28,4207.68,0.3867528034572904,-1.0663246785502674,13447.805079204185,VIX,rsi-death-cross,2015-09-01,2015-09-17
rsi_5_14,2015-10-16,2015-10-22,4419.94,4451.32,0.6093047540854921,-0.14525084050912826,13527.737101824385,MA200-recross,rsi-death-cross,2015-10-21,2015-11-06
rsi_5_14,2016-03-30,2016-04-06,4494.7,4476.35,-0.5078005861020054,-0.532849800876584,13457.048251540844,MA200-recross,rsi-death-cross,2016-04-05,2016-04-21
rsi_5_14,2018-10-15,2018-10-19,7129.31,7169.45,0.4625150671458209,-0.1854316897427697,13517.284502146633,MA200-recross,rsi-death-cross,2018-10-18,2018-11-03
rsi_5_14,2018-11-08,2018-11-13,7176.19,6858.59,-4.52127329988182,-4.83668910661506,12904.176339815012,MA200-recross,rsi-death-cross,2018-11-12,2018-11-28
rsi_5_14,2018-12-24,2019-01-04,5994.08,6250.05,4.166161837400735,0.0,13439.743548296905,VIX,rsi-death-cross,2019-01-03,2019-01-19
rsi_5_14,2019-02-19,2019-02-22,7033.37,7055.2,0.2101172814324051,0.0,13465.98067089926,MA200-recross,rsi-death-cross,2019-02-21,2019-03-09
rsi_5_14,2019-03-12,2019-03-25,7176.23,7299.93,1.6220734026213082,0.0,13682.392541030016,MA200-recross,rsi-death-cross,2019-03-22,2019-04-09
rsi_5_14,2020-03-02,2020-03-04,8569.91,8745.64,1.9485470749947709,0.0,13946.980915206808,VIX+MA200,bearish-divergence,2020-03-03,2020-03-19
rsi_5_14,2020-03-23,2020-04-02,6952.71,7445.88,6.986165697684226,0.0,14919.270250110574,VIX,rsi-death-cross,2020-04-01,2020-04-17
rsi_5_14,2020-04-21,2020-04-29,8639.74,8871.04,2.5745380451651436,0.0,15301.346793380224,VIX+MA200,rsi-death-cross,2020-04-28,2020-05-14
rsi_5_14,2020-05-18,2020-06-12,9281.35,9785.58,5.327342577802028,0.0,16114.448682655337,VIX+MA200,rsi-death-cross,2020-06-11,2020-06-27
rsi_5_14,2022-02-03,2022-02-14,14693.85,14233.4,-3.2304418981857776,-2.9945181147214663,15591.913085168175,MA200-recross,rsi-death-cross,2022-02-11,2022-03-01
rsi_5_14,2022-03-30,2022-04-01,15177.15,14886.91,-2.0103871297632683,-2.2313807269480757,15276.475375091377,MA200-recross,rsi-death-cross,2022-03-31,2022-04-16
