Date,rolling_breadth_max_60,breadth,breadth_drawdown_60_points,breadth_below_60,original_price_rise_met,canonical_divergence,drawdown_15,drawdown_20,drawdown_25,price,next_session_open,episode_onset
2002-06-26,75.89,55.8,20.090000000000003,True,False,False,True,True,False,1027.22,1048.54,True
2002-07-02,75.89,53.9,21.990000000000002,True,False,False,True,True,False,963.66,957.26,True
2002-09-27,55.1,33.68,21.42,True,False,False,True,True,False,860.35,848.72,True
2004-05-06,98.21,59.59,38.61999999999999,True,False,False,True,True,True,1415.6,1411.05,True
2004-06-09,91.77,56.96,34.809999999999995,True,False,False,True,True,True,1469.5,1475.71,True
2004-07-01,88.54,57.93,30.610000000000007,True,False,False,True,True,True,1489.57,1488.34,True
2004-07-13,74.44,54.2,20.239999999999995,True,False,False,True,True,False,1428.68,1414.42,True
2004-08-09,60.55,40.33,20.22,True,False,False,True,True,False,1318.83,1325.96,True
2004-08-12,60.55,39.16,21.39,True,False,False,True,True,False,1304.43,1311.84,True
2005-03-29,87.6,58.15,29.449999999999996,True,False,False,True,True,True,1464.34,1470.13,True
2005-04-13,86.0,58.62,27.380000000000003,True,False,False,True,True,True,1461.68,1461.83,True
2005-05-25,83.32,59.32,23.999999999999993,True,False,False,True,True,False,1532.71,1540.05,True
2005-10-06,77.48,56.31,21.17,True,False,False,True,True,False,1552.94,1558.93,True
2006-05-22,75.56,55.0,20.560000000000002,True,False,False,True,True,False,1584.57,1597.5,True
2006-06-08,73.43,53.09,20.340000000000003,True,False,False,True,True,False,1561.55,1567.92,True
2006-07-12,72.54,51.2,21.340000000000003,True,False,False,True,True,False,1501.46,1490.54,True
2006-08-01,72.54,52.0,20.540000000000006,True,False,False,True,True,False,1484.94,1490.64,True
2007-07-26,86.21,57.06,29.14999999999999,True,True,True,True,True,True,1986.6,1988.85,True
2007-11-07,67.14,46.33,20.810000000000002,True,True,False,True,True,False,2169.43,2165.57,True
2007-11-09,67.14,45.1,22.04,True,True,False,True,True,False,2034.3,2028.91,True
2007-11-14,67.14,47.14,20.0,True,True,False,True,True,False,2038.05,2035.46,True
2007-12-17,67.14,44.9,22.240000000000002,True,False,False,True,True,False,2020.8,2041.66,True
2008-01-02,67.14,43.67,23.47,True,False,False,True,True,False,2049.71,2050.64,True
2008-06-23,55.98,35.56,20.419999999999995,True,True,False,True,True,False,1913.31,1906.84,True
2008-06-26,55.98,30.1,25.879999999999995,True,False,False,True,True,True,1855.39,1854.39,True
2008-08-07,55.98,33.54,22.439999999999998,True,False,False,True,True,False,1880.09,1880.41,True
2008-09-17,45.45,21.62,23.830000000000002,True,False,False,True,True,False,1632.45,1668.33,True
2008-09-23,45.45,24.04,21.410000000000004,True,False,False,True,True,False,1648.4,1657.6,True
2008-09-29,45.45,16.16,29.290000000000003,True,False,False,True,True,True,1496.15,1540.51,True
2010-05-20,94.2,50.6,43.6,True,False,False,True,True,True,1800.12,1772.34,True
2010-05-28,94.2,59.0,35.2,True,False,False,True,True,True,1852.39,1846.6,True
2010-06-04,94.2,45.4,48.800000000000004,True,False,False,True,True,True,1832.04,1839.77,True
2010-06-21,94.2,59.8,34.400000000000006,True,False,False,True,True,True,1895.84,1903.31,True
