signal_date,exit_date,followed_by_20pct_drop,future_min_spx_return_126,ndx_return_60_pct,ndx_return_60_slope_20,vix,vix_slope_20,spx_drawdown_252_pct,spx_drawdown_252_slope_20,nearest_peak_zone_date,nearest_peak_episode,nearest_peak_phase,nearest_peak_zone_distance,peak_similarity_percentile,trajectory_nearest_peak_zone_distance,trajectory_peak_similarity_percentile,causal_trajectory_peak_similarity_percentile,nearest_exact_peak_date,nearest_exact_peak_distance,nearest_episode_centroid,nearest_episode_centroid_distance,nearest_transition_date,nearest_transition_distance,nearest_transition_followed_by_20pct_drop,causal_nearest_peak_zone_date,causal_nearest_peak_episode,causal_nearest_peak_distance,causal_peak_similarity_percentile,resolved_peak_episodes_available
2004-12-08,2004-12-09,False,-0.03829895164017583,11.680389299831994,0.02035507910303099,13.19,0.0006390977443610476,-0.7218398522746416,-0.01620192303577539,2020-01-23,3,before_peak,0.398087818869658,0.951959264998893,0.2653295707033982,0.7733008634049148,0.647187329328236,2020-02-19,0.8179194377405452,3,0.3846507526525459,2024-02-09,0.4033257407036327,False,2000-09-07,1,1.1937794650922973,0.6881485527034408,1
2006-11-08,2006-11-09,False,-0.008371220321859107,14.03257235585853,-0.06122523579942333,10.75,0.002390977443608985,-0.24476279605498696,-0.06031685733239338,2020-01-22,3,before_peak,0.5444192120091805,0.8714854992251494,0.4737986409069019,0.5104051361523135,0.49517607332368546,2020-02-19,1.0307865701675172,3,0.5972772457600126,2004-12-08,0.43630882754575956,False,2000-09-07,1,1.5528960659224962,0.4548962855764592,1
2010-12-01,2010-12-02,False,0.012768427161927054,16.50040398599515,-0.01634776107924118,21.36,0.16878947368421063,-1.6071137216511655,-0.14739733917352724,2007-10-29,2,after_peak,0.7534796962463854,0.6992472880230242,0.6142707205779254,0.3853221164489706,0.5695390001945146,2020-02-19,1.7987705028807257,3,1.3019162781019051,2012-04-05,0.973302097678822,False,2007-10-26,2,0.6506464077995431,0.8243532386695196,2
2012-04-05,2012-04-09,False,-0.08590229597310628,16.690180706097024,-0.07707231773473931,16.7,0.024563909774436253,-1.4728682170542684,-0.04984530312751207,2020-02-13,3,before_peak,0.6470001364869914,0.7903475758246624,0.4616286425955059,0.5231348239982289,0.606021897810219,2020-02-19,0.9765500899070884,3,0.49665369936188264,2023-07-07,0.3469951373863491,False,2007-10-18,2,0.7453201973301244,0.7565693430656935,2
2013-02-27,2013-02-28,False,-0.0008575197889181263,2.2846759178069,-0.029412261368452743,14.73,0.1150150375939849,-0.9732836893330821,-0.07995099015071554,2021-11-24,4,before_peak,0.6303618051450813,0.8044055789240646,0.3015184650452329,0.7245959707770644,0.6268630545327021,2020-02-19,1.7247991201166675,3,1.2427474933066847,2019-12-03,0.4654974503112647,True,2007-07-12,2,0.7182412074405919,0.7781869191653515,2
2015-01-22,2015-01-23,False,-0.03305544784800307,5.649155620209689,-0.0040341785905141595,16.4,0.27101503759398504,-1.310628527695401,-0.17601808832833296,2020-02-05,3,before_peak,0.8489467476122866,0.6209873810050919,0.44191336854466334,0.5460482621208766,0.4930443222258169,2020-02-19,2.23541682142358,3,1.669299690604442,2013-02-27,0.9121743295589283,False,2007-10-26,2,0.8305393117351458,0.6999352960207053,2
2016-06-21,2016-06-22,False,-0.0423189238355115,0.34856198286976614,-0.3352445035737627,18.48,0.3897819548872181,-1.8512427759244554,-0.03915370345706404,2021-12-10,4,before_peak,0.642801068177439,0.7926721275182643,0.4076222615114652,0.5877794996679212,0.2919853166105843,2020-02-19,2.7127086107340617,3,2.231312960798721,2015-01-22,1.1564902948021396,False,2000-04-11,1,1.3845957013900232,0.40960538390945245,2
2019-12-03,2019-12-04,True,-0.2766714082503555,5.392216944997696,-0.05378469693597957,15.96,0.04954135338345868,-1.9152714358193879,-0.048921501280150916,2021-11-24,4,before_peak,0.6260516146668127,0.80739428824441,0.35171929265596574,0.658180208102723,0.5744565951127312,2020-02-19,1.3968820593836,3,0.9489561884318051,2013-02-27,0.4654974503112647,False,2007-10-18,2,0.6861628897466974,0.8339408667476711,2
2021-03-01,2021-03-02,False,-0.034163719309036944,6.644705519645,-0.47203983367155394,23.35,0.03461654135338356,-0.8386703263190021,-0.06358809962173649,2021-12-15,4,before_peak,1.0177267135791124,0.5094088997121984,0.886422313486296,0.23101616116891743,0.21682679823422488,2020-02-19,1.971920155779208,3,1.5743076085808945,2025-08-04,1.0729775895091571,False,2000-09-07,1,1.1355307291382604,0.492079979226175,3
2023-07-07,2023-07-10,False,-0.06401072983325562,15.987846493718072,-0.22483437471499632,14.83,0.010676691729323385,-1.2712121178115598,-0.039092042620020466,2020-02-13,3,before_peak,0.6881772270606384,0.7516050475979632,0.6061873166940119,0.3926278503431481,0.38902984173009547,2020-02-19,1.0366137526381853,3,0.5753560293851608,2012-04-05,0.3469951373863491,False,2020-02-13,3,0.6808928789127293,0.7563126736740365,4
