years,raw_overlapping_windows,structural_effective_n,overlap_pct,deployed_usd,strategy_mean_usd,strategy_p05_usd,strategy_p25_usd,strategy_median_usd,strategy_p75_usd,strategy_p95_usd,strategy_min_usd,strategy_max_usd,strategy_median_implied_annual_return,benchmark_median_usd,benchmark_median_implied_annual_return,nonoverlap_windows,nonoverlap_excess_mean_pp,nonoverlap_t_stat,nonoverlap_p_value,nonoverlap_bootstrap_ci_low_pp,nonoverlap_bootstrap_ci_high_pp,hac_excess_mean_pp,hac_excess_ci_low_pp,hac_excess_ci_high_pp,hac_excess_p_value,overlap_fraction_at_least_80m,overlap_lag1_autocorrelation
1,7464,29.61904761904762,99.59807073954984,1000000.0,1217400.5813944843,872116.0560209443,1054902.4526541233,1193546.8066057302,1340021.8416989453,1693366.7870461624,524317.1849466541,2370133.9858049336,0.1935468066057302,1187245.35876506,0.1872453587650602,30,5.048142990222058,1.005174926971435,0.3231265599554122,-5.1712982352256445,14.141972611289122,4.402630044062183,-2.258028435923465,11.063288524047831,0.19513373249448474,,
3,6960,9.206349206349206,99.85632183908046,1400000.0,2346371.487902603,1491519.2808186726,1802756.3556620833,2190029.1494586295,2823645.7969351993,3704014.5253453217,1077057.4242013942,4741137.602530764,0.1866712859636705,1986810.2620765853,0.14379687810529554,10,29.366432139983054,2.6808338171012345,0.025171658412821523,10.526745547599372,51.25972334206832,20.10682907291044,-2.486471321063128,42.70012946688401,0.08110763165994095,,
5,6456,5.123809523809523,99.90706319702602,1800000.0,3866293.6169699216,2173345.401738242,2792666.0536933304,3714660.0166459046,5012576.894144397,5792308.14612648,1718048.839445145,6947130.969321939,0.1953049663243328,3001666.9764295933,0.1358370347219305,6,41.92073824373963,1.4275201996012707,0.2127851053342953,-9.640248791914624,93.07448989753082,55.5338231180087,22.543680470239607,88.52396576577779,0.0009690621727596136,,
10,5196,2.0619047619047617,99.94226327944573,2800000.0,11207209.34711482,5839113.648357168,8763550.217326125,11551924.33813239,12980249.537915424,18558084.666762564,3475464.6491580224,23945308.590172954,0.20469580413129002,6736121.833907308,0.1269973151455,3,209.98731155315105,3.2238591627908373,0.08423689551538681,124.99713140063432,337.98303060990025,152.66317393406774,120.29299150758848,185.033356360547,2.3814742597996082e-20,,
15,3936,1.0412698412698413,99.94918699186992,3800000.0,31400435.202339567,19929118.922334775,22173287.337223403,26120646.682227902,41304978.11961408,49390795.01346898,17948726.149376947,56282484.38046384,0.18813323968237036,14408433.078727137,0.13180421834504055,2,521.7678631751921,,,,,437.0654417942915,355.15565789973925,518.9752256888437,1.3404944688653985e-25,,
20,2676,0.530952380952381,99.9626307922272,4800000.0,77881829.49859612,37546641.66458958,48818059.46559878,75174911.2399849,94364087.7122723,147529403.16247216,29488281.412561867,177351011.2472269,0.1997242702998952,28104895.215174742,0.13149030607599532,1,715.8554699333831,,,,,1052.4445661720065,632.0770201541688,1472.8121121898441,9.242645118140047e-07,0.4551569506726457,0.9992705371582338
