selection,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,signal_date,grid_price_rise_pct,grid_breadth_drawdown_points,grid_breadth_cap,ndx_return_60_pct,rolling_breadth_max_60,breadth_on_signal,breadth_drawdown_60_points
robust_consensus,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX,climax-top,2002-08-30,2002-08-14,2.0,30.0,70.0,,,,
robust_consensus,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX,climax-top,2002-11-27,2002-11-11,2.0,30.0,70.0,,,,
robust_consensus,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,2003-03-17,2.0,30.0,70.0,,,,
robust_consensus,2004-03-25,2004-06-08,1394.2,1483.59,6.305203803205277,0.0,14526.699666813389,MA200-recross,grid-price-rolling-breadth,2004-06-23,2004-06-07,2.0,30.0,70.0,5.216931216931231,91.91,60.51,31.4
robust_consensus,2005-03-31,2007-07-30,1489.44,1961.78,31.580943200115502,-5.5450370609088075,19112.052628009093,MA200-recross,grid-price-rolling-breadth,2007-08-14,2007-07-27,2.0,30.0,70.0,3.5169045313351743,86.21,51.53,34.67999999999999
robust_consensus,2008-01-23,2008-09-30,1725.46,1540.51,-10.808117263218783,-13.289789389496132,17044.507649738414,VIX,trailing-stop,2008-10-15,2008-09-29,2.0,30.0,70.0,,,,
robust_consensus,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,17925.05804669876,VIX,climax-top,2008-11-20,2008-11-04,2.0,30.0,70.0,,,,
robust_consensus,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,19164.216685308435,VIX,climax-top,2009-01-29,2009-01-13,2.0,30.0,70.0,,,,
robust_consensus,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,19565.23443394486,VIX,climax-top,2009-03-05,2009-02-17,2.0,30.0,70.0,,,,
robust_consensus,2009-03-09,2011-09-15,1058.85,2273.22,114.47305246654192,0.0,41959.01078219182,VIX,grid-price-rolling-breadth,2011-09-30,2011-09-14,2.0,30.0,70.0,2.1951949772269552,82.12,28.0,54.120000000000005
robust_consensus,2011-10-04,2020-02-26,2064.01,8883.01,329.9461450906419,0.0,180395.84991474962,VIX,grid-price-rolling-breadth,2020-03-12,2020-02-25,2.0,30.0,70.0,5.3556330680022635,84.35,50.29,34.059999999999995
robust_consensus,2020-03-16,2022-03-21,7502.26,14377.15,91.44604472495635,-6.770893037564683,345357.80504930945,VIX,climax-top,2022-04-05,2022-03-18,2.0,30.0,70.0,,,,
robust_consensus,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,355402.6247514049,VIX,climax-top,2022-11-29,2022-11-11,2.0,30.0,70.0,,,,
robust_consensus,2023-01-27,2023-03-15,12000.21,12083.24,0.5912629745704548,-1.4160585523086553,357501.98296958185,MA200-recross,grid-price-rolling-breadth,2023-03-30,2023-03-14,2.0,30.0,70.0,3.908296794459054,75.94,42.14,33.8
early_selected,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX,climax-top,2002-08-30,2002-08-14,2.0,30.0,70.0,,,,
early_selected,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX,climax-top,2002-11-27,2002-11-11,2.0,30.0,70.0,,,,
early_selected,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,2003-03-17,2.0,30.0,70.0,,,,
early_selected,2004-03-25,2004-06-08,1394.2,1483.59,6.305203803205277,0.0,14526.699666813389,MA200-recross,grid-price-rolling-breadth,2004-06-23,2004-06-07,2.0,30.0,70.0,5.216931216931231,91.91,60.51,31.4
