selection,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,signal_date,grid_price_rise_pct,grid_breadth_drawdown_points,grid_breadth_cap,ndx_return_60_pct,rolling_breadth_max_60,breadth_on_signal,breadth_drawdown_60_points
early_selected,2005-03-31,2007-07-30,1489.44,1961.78,31.580943200115502,-5.5450370609088075,19112.052628009093,MA200-recross,grid-price-rolling-breadth,2007-08-14,2007-07-27,2.0,30.0,70.0,3.5169045313351743,86.21,51.53,34.67999999999999
early_selected,2008-01-23,2008-09-30,1725.46,1540.51,-10.808117263218783,-13.289789389496132,17044.507649738414,VIX,trailing-stop,2008-10-15,2008-09-29,2.0,30.0,70.0,,,,
early_selected,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,17925.05804669876,VIX,climax-top,2008-11-20,2008-11-04,2.0,30.0,70.0,,,,
early_selected,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,19164.216685308435,VIX,climax-top,2009-01-29,2009-01-13,2.0,30.0,70.0,,,,
early_selected,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,19565.23443394486,VIX,climax-top,2009-03-05,2009-02-17,2.0,30.0,70.0,,,,
early_selected,2009-03-09,2011-09-15,1058.85,2273.22,114.47305246654192,0.0,41959.01078219182,VIX,grid-price-rolling-breadth,2011-09-30,2011-09-14,2.0,30.0,70.0,2.1951949772269552,82.12,28.0,54.120000000000005
early_selected,2011-10-04,2020-02-26,2064.01,8883.01,329.9461450906419,0.0,180395.84991474962,VIX,grid-price-rolling-breadth,2020-03-12,2020-02-25,2.0,30.0,70.0,5.3556330680022635,84.35,50.29,34.059999999999995
early_selected,2020-03-16,2022-03-21,7502.26,14377.15,91.44604472495635,-6.770893037564683,345357.80504930945,VIX,climax-top,2022-04-05,2022-03-18,2.0,30.0,70.0,,,,
early_selected,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,355402.6247514049,VIX,climax-top,2022-11-29,2022-11-11,2.0,30.0,70.0,,,,
early_selected,2023-01-27,2023-03-15,12000.21,12083.24,0.5912629745704548,-1.4160585523086553,357501.98296958185,MA200-recross,grid-price-rolling-breadth,2023-03-30,2023-03-14,2.0,30.0,70.0,3.908296794459054,75.94,42.14,33.8
late_selected,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX,climax-top,2002-08-30,2002-08-14,0.0,30.0,30.0,,,,
late_selected,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX,climax-top,2002-11-27,2002-11-11,0.0,30.0,30.0,,,,
late_selected,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,2003-03-17,0.0,30.0,30.0,,,,
late_selected,2004-03-25,2008-03-11,1394.2,1704.05,22.102051470319935,-6.438817960120498,16685.50140350997,MA200-recross,trailing-stop,2008-03-26,2008-03-10,0.0,30.0,30.0,,,,
late_selected,2008-05-02,2008-09-30,1996.31,1540.51,-22.909254581199058,-25.0542250452084,12861.206501376142,MA200-recross,trailing-stop,2008-10-15,2008-09-29,0.0,30.0,30.0,,,,
late_selected,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,13525.136343168757,VIX,climax-top,2008-11-20,2008-11-04,0.0,30.0,30.0,,,,
late_selected,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,14459.620626377744,VIX,climax-top,2009-01-29,2009-01-13,0.0,30.0,30.0,,,,
late_selected,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,14761.69696329556,VIX,climax-top,2009-03-05,2009-02-17,0.0,30.0,30.0,,,,
late_selected,2009-03-09,2011-09-14,1058.85,2233.66,110.74065790922833,0.0,31105.789892436555,VIX,grid-price-rolling-breadth,2011-09-29,2011-09-13,0.0,30.0,30.0,1.2594848971253514,82.12,24.79,57.330000000000005
late_selected,2011-10-03,2020-03-02,2128.02,8569.91,302.31503335558847,0.0,125138.24583094183,VIX,grid-price-rolling-breadth,2020-03-17,2020-02-28,0.0,30.0,30.0,1.8361442535195671,84.35,23.96,60.38999999999999
late_selected,2020-03-19,2022-03-21,7190.21,14377.15,99.75466690100166,-2.724816104119352,249966.48857868544,VIX,climax-top,2022-04-05,2022-03-18,0.0,30.0,30.0,,,,
late_selected,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,257236.26709521908,VIX,climax-top,2022-11-29,2022-11-11,0.0,30.0,30.0,,,,
full_sample,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX,climax-top,2002-08-30,2002-08-14,1.0,30.0,50.0,,,,
full_sample,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX,climax-top,2002-11-27,2002-11-11,1.0,30.0,50.0,,,,
full_sample,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,2003-03-17,1.0,30.0,50.0,,,,
full_sample,2004-03-25,2007-08-10,1394.2,1918.99,37.50336888649351,-6.438817960120498,18790.249862575394,MA200-recross,grid-price-rolling-breadth,2007-08-25,2007-08-09,1.0,30.0,50.0,3.47100903413311,84.77,49.08,35.69
full_sample,2008-01-23,2008-09-30,1725.46,1540.51,-10.808117263218783,-13.289789389496132,16757.48570454907,VIX,trailing-stop,2008-10-15,2008-09-29,1.0,30.0,50.0,,,,
full_sample,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,17623.173472473834,VIX,climax-top,2008-11-20,2008-11-04,1.0,30.0,50.0,,,,
full_sample,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,18841.427991816206,VIX,climax-top,2009-01-29,2009-01-13,1.0,30.0,50.0,,,,
full_sample,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,19235.657236483137,VIX,climax-top,2009-03-05,2009-02-17,1.0,30.0,50.0,,,,
full_sample,2009-03-09,2011-09-14,1058.85,2233.66,110.74065790922833,0.0,40534.24320674957,VIX,grid-price-rolling-breadth,2011-09-29,2011-09-13,1.0,30.0,50.0,1.2594848971253514,82.12,24.79,57.330000000000005
full_sample,2011-10-03,2018-03-26,2128.02,6644.4,211.9218297074149,0.0,126431.0338502497,VIX,grid-price-rolling-breadth,2018-04-10,2018-03-23,1.0,30.0,50.0,1.1647464076752323,82.17,48.11,34.06
full_sample,2018-10-15,2020-02-27,7129.31,8632.54,20.96418551182296,-17.252160447504735,152934.0606892766,MA200-recross,grid-price-rolling-breadth,2020-03-13,2020-02-26,1.0,30.0,50.0,5.08069548865504,84.35,46.73,37.62
full_sample,2020-03-17,2022-03-21,7198.53,14377.15,99.52379214898751,-2.83724593771228,305136.84213675716,VIX,climax-top,2022-04-05,2022-03-18,1.0,30.0,50.0,,,,
full_sample,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,314011.58857920056,VIX,climax-top,2022-11-29,2022-11-11,1.0,30.0,50.0,,,,
full_sample,2023-01-27,2023-03-13,12000.21,11752.1,-2.1654306623513557,-1.4160585523086553,307209.9070110766,MA200-recross,grid-price-rolling-breadth,2023-03-28,2023-03-10,1.0,30.0,50.0,1.0578792527873526,75.94,41.35,34.589999999999996
full_sample,2023-10-30,2025-01-13,14283.98,20593.65,44.028951606479175,0.0,442468.76800977706,MA200,grid-price-rolling-breadth,2025-01-28,2025-01-10,1.0,30.0,50.0,1.998771958579293,79.08,48.9,30.18
