episode,peak_date,breach_date,peak_to_trough_pct,peak_zone_days,spx_daily_change_pct,ndx_return_60_pct,breadth,breadth_fall_60_points,spx_drawdown_252_pct,vix,vix_slope_20,breadth_slope_20,spx_drawdown_252_slope_20,exact_peak_spx_daily_change_pct,exact_peak_ndx_return_60_pct,exact_peak_breadth,exact_peak_breadth_fall_60_points,exact_peak_spx_drawdown_252_pct,exact_peak_vix,exact_peak_vix_slope_20,exact_peak_breadth_slope_20,exact_peak_spx_drawdown_252_slope_20
1,2000-03-24,2001-03-12,-49.145662847790504,26,0.17848944211293905,14.72347295171268,,,-1.2765957446808474,19.634999999999998,-0.07665789473684204,,0.22077206108561065,0.013095004255880838,27.154929424773954,,,0.0,23.31,-0.010315789473684316,,0.43118959937278545
2,2007-10-09,2008-07-09,-56.77868642984922,27,0.1887652151272512,8.214933052680816,65.1,9.530000000000001,-0.40579710144926784,17.46,-0.027270676691729268,0.1924060150375943,0.12173897720236433,0.8115419296663706,7.0605812565951,67.14,7.709999999999994,0.0,16.12,-0.4353308270676689,0.8565488721804515,0.2497622058869334
3,2020-02-19,2020-03-12,-33.925934676038025,16,0.14071402664327382,15.366060317655839,76.43,-4.270000000000003,-0.061568957232099875,14.605,0.018718045112781932,-0.19494360902255603,0.0010429245593236783,0.4717680918612466,17.322830843518933,75.04,-4.27000000000001,0.0,14.38,-0.056857142857142814,-0.03333082706766912,0.08423444509075427
4,2022-01-03,2022-06-13,-25.425718217070425,17,0.3072458820517099,8.396588449250952,71.28,-1.9799999999999898,-0.04456706281834588,17.59,-0.15629323308270668,0.30390225563909795,0.03165586580225144,0.6378246821367339,10.771470746378675,73.46,-6.599999999999994,0.0,16.6,-0.33357894736842103,0.3007894736842105,0.048213318346550876
