Label,Total Return,CAGR,Max Drawdown,Sharpe,Calmar,Final $,# Trades,Win Rate,Time in Mkt
Combined,+20913.9%,23.4%,-52.0%,1.18,0.45,"$32,235,709",13,92%,75%
NDX-Top1 (30%),+11413.7%,22.0%,-16.8%,13.80,1.31,"$5,298,694",13,92%,80%
QQQ-B (70%),+10833.9%,21.7%,-1.9%,19.20,11.38,"$11,740,983",13,92%,80%
