signal_date,future_min_spx_return_126,followed_by_20pct_drop,ndx_return_60_pct,ndx_return_60_slope_20,vix,vix_slope_20,spx_drawdown_252_pct,spx_drawdown_252_slope_20,nearest_peak_zone_date,nearest_peak_episode,nearest_peak_phase,nearest_peak_zone_distance,peak_similarity_percentile,trajectory_nearest_peak_zone_distance,trajectory_peak_similarity_percentile,causal_trajectory_peak_similarity_percentile,causal_nearest_peak_zone_date,causal_nearest_peak_episode,causal_nearest_peak_distance,causal_peak_similarity_percentile,resolved_peak_episodes_available,trajectory_nearest_signal_date,trajectory_nearest_signal_distance,trajectory_nearest_signal_followed_by_20pct_drop
2003-10-02,0.008527739658890532,False,3.2382099508940776,-0.38257742770232034,20.8,0.20121804511278188,-1.8661023470565419,-0.1425856099179445,2021-11-24,4,before_peak,1.065078642479379,0.48339605933141466,0.6078415734068727,0.39163161390303297,0.5234839476813318,2000-04-11,1,1.2314898478232184,0.6539833531510107,1,2011-05-18,0.4031209313122527,False
2003-11-19,-0.008346124328472815,False,5.335930636721287,-0.3031257099905215,18.8,0.0568120300751878,-1.5675165250235934,-0.012333313311486484,2021-12-15,4,before_peak,0.6615998872338984,0.776068186849679,0.5606388372270861,0.4298206774407793,0.7448499117127723,2000-09-07,1,0.7196356320857374,0.942613301942319,1,2017-08-09,0.10570033859135843,False
2003-11-24,0.0017108639863132602,False,5.82388905457798,-0.770943094452399,17.44,0.1373533834586467,-0.6515580736544013,-0.09481022755450635,2021-12-15,4,before_peak,1.372865320665557,0.37148549922514945,0.8322668538356004,0.2573610803630728,0.5930608644516319,2000-04-10,1,1.4250160160174177,0.517788885621876,1,2021-03-01,0.701977576443343,False
2004-12-08,-0.03829895164017583,False,11.680389299831994,0.02035507910303099,13.19,0.0006390977443610476,-0.7218398522746416,-0.01620192303577539,2020-01-23,3,before_peak,0.398087818869658,0.951959264998893,0.2653295707033982,0.7733008634049148,0.647187329328236,2000-09-07,1,1.1937794650922973,0.6881485527034408,1,2005-12-12,0.08229027936555068,False
2004-12-20,-0.04787812840043526,False,13.78935706372182,-0.06096429720214392,11.83,-0.04481954887218042,-0.9123330845152156,-0.002127621690672762,2020-01-23,3,before_peak,0.3173629107316902,0.9770865618773522,0.247692493846369,0.7988709320345362,0.6673024523160763,2000-09-01,1,1.2320276225368927,0.6602179836512262,1,2024-02-09,0.14238516334536727,False
2005-07-08,-0.028962785708391947,False,4.89778884571177,-0.12107477282642479,11.45,0.02368421052631581,-1.0936097282298052,-0.03740682809611093,2007-07-12,2,before_peak,0.9022746605022209,0.583462475094089,0.4708024598938275,0.5138366172238211,0.6278886554621849,2000-09-07,1,1.2702688817263699,0.6320903361344538,1,2012-04-05,0.09866330252017218,False
2005-08-08,-0.037854631673616135,False,9.292062771946474,-0.01361162392293112,13.21,0.1112481203007519,-1.7590361445783187,-0.04787479451411596,2007-07-12,2,before_peak,0.5253771531896665,0.8860969670135045,0.14401194210267357,0.9330307726367058,0.49255680334290936,2000-09-07,1,1.2929898505090625,0.6155654217811439,1,2013-12-11,0.10714620425814923,False
2005-12-12,-0.029117740399873138,False,6.184039413794817,-0.012333823530391662,11.47,0.005977443609022633,-0.6150449455921692,-0.005340330722417584,2007-06-01,2,before_peak,0.7293707337630753,0.7189506309497454,0.279561704817845,0.7524905911002878,0.6959407709982129,2000-09-07,1,1.2143601346557076,0.672453408220577,1,2021-09-10,0.028004077875302756,False
2006-01-09,-0.05154239652767012,False,14.509035689164396,0.18816195917786158,11.13,0.013255639097744422,0.0,0.0032496404384980532,2020-01-17,3,before_peak,0.29190344690788167,0.9831746734558335,0.21577207518730634,0.8431481071507638,0.5806861499364676,2000-09-01,1,1.331004438100808,0.5875476493011436,1,2004-12-08,0.3089982689763896,False
2006-04-18,-0.0642349162651984,False,2.9981269163316115,-0.08395846870435993,11.4,0.06575939849624063,-0.2973467520585471,-0.059341517267531285,2007-07-12,2,before_peak,0.9205136163100203,0.5692937790568962,0.33082532237317736,0.6852999778614124,0.509617786660005,2000-09-07,1,1.3929706003837194,0.5495878091431426,1,2019-12-03,0.10310450235032094,True
2006-11-08,-0.008371220321859107,False,14.03257235585853,-0.06122523579942333,10.75,0.002390977443608985,-0.24476279605498696,-0.06031685733239338,2020-01-22,3,before_peak,0.5444192120091805,0.8714854992251494,0.4737986409069019,0.5104051361523135,0.49517607332368546,2000-09-07,1,1.5528960659224962,0.4548962855764592,1,2015-08-10,0.08175633572369695,False
2006-12-04,-0.02483854942871333,False,14.302315981990343,-0.05296926966319473,11.23,0.024864661654135378,0.0,-0.009655316568767053,2020-02-14,3,before_peak,0.45069098272141217,0.9302634491919416,0.33671490338302656,0.6776621651538632,0.7057410521258708,2000-09-07,1,1.3710821177045855,0.5688205620946433,1,2017-06-19,0.028808977903186796,False
2007-10-26,-0.17058555331205616,False,11.593104851011905,0.32037839929348944,19.56,0.20024812030075187,-1.9102990033222689,-0.17888586771050294,2007-10-26,2,after_peak,0.0,1.0,0.0,1.0,0.07406563354603464,2000-09-07,1,2.121222485710543,0.2700546946216955,1,2010-12-01,0.6142707205779254,False
2010-12-01,0.012768427161927054,False,16.50040398599515,-0.01634776107924118,21.36,0.16878947368421063,-1.6071137216511655,-0.14739733917352724,2007-10-29,2,after_peak,0.7534796962463854,0.6992472880230242,0.6142707205779254,0.3853221164489706,0.5695390001945146,2007-10-26,2,0.6506464077995431,0.8243532386695196,2,2015-03-18,0.33562707693617205,False
2011-03-03,-0.15890308039068368,False,8.308940045026759,-0.07485944010368734,18.6,0.28169172932330805,-0.8935219657483229,-0.13754619018009445,2020-02-05,3,before_peak,0.6564184314349096,0.7825990701793225,0.20667646808142215,0.8545494797431924,0.41468101460415063,2007-10-26,2,0.7780010277319365,0.7294388931591084,2,2020-02-04,0.17334621938189262,True
2011-05-18,-0.18012978294920567,False,1.7258896360520914,-0.2713034753466524,16.23,0.13172932330827067,-1.6793781167497746,-0.10750914765341398,2021-11-24,4,before_peak,0.8282889225819571,0.6368164711091432,0.6145847891136738,0.3851007305733894,0.37473844397945594,2007-07-12,2,0.9827027255614861,0.5972988396423816,2,2023-08-07,0.3060646012646147,False
2012-04-05,-0.08590229597310628,False,16.690180706097024,-0.07707231773473931,16.7,0.024563909774436253,-1.4728682170542684,-0.04984530312751207,2020-02-13,3,before_peak,0.6470001364869914,0.7903475758246624,0.4616286425955059,0.5231348239982289,0.606021897810219,2007-10-18,2,0.7453201973301244,0.7565693430656935,2,2017-01-03,0.055721164476292724,False
2012-04-17,-0.08110440034512512,False,11.758623236575815,-0.5956896556007372,18.46,0.27021052631578957,-1.9873150105708226,-0.17021420526806338,2020-02-05,3,before_peak,0.9941511496202587,0.5224706663714855,0.845895395352577,0.2507195040956387,0.37269910698013486,2000-04-11,1,1.276256679645245,0.4547111354109714,2,2013-10-10,0.33823892107439335,False
2012-08-03,-0.02710280373831775,False,2.084803631716481,0.23375533045869487,15.64,0.007593984962406161,-1.973220577871737,0.13201078806953973,2007-07-23,2,before_peak,0.580575159853632,0.8450298870932035,0.12739677276242486,0.9506309497454063,0.9802264964946971,2007-07-23,2,0.4790297670196184,0.9351069566780514,2,2006-01-09,0.6637073806631715,False
2012-10-03,-0.06733287388008269,False,9.024103468547917,-0.17297035750729242,15.43,0.021992481203007477,-1.0096875426388263,-0.08960575063595026,2021-12-15,4,before_peak,0.7747951990570111,0.6809829532875803,0.6174552756894952,0.382886871817578,0.40927743086529883,2007-07-12,2,0.7910519180836667,0.7245316681534344,2,2015-08-14,0.16646650456620288,False
2013-02-27,-0.0008575197889181263,False,2.2846759178069,-0.029412261368452743,14.73,0.1150150375939849,-0.9732836893330821,-0.07995099015071554,2021-11-24,4,before_peak,0.6303618051450813,0.8044055789240646,0.3015184650452329,0.7245959707770644,0.6268630545327021,2007-07-12,2,0.7182412074405919,0.7781869191653515,2,2015-06-17,0.09964228753153305,False
2013-04-01,-0.013186531814108449,False,1.8423649266149145,-0.0034554380343001312,13.58,0.02060902255639104,-0.4460871781799658,-0.018428843681365773,2021-11-16,4,before_peak,0.7996275735753051,0.6595085233562099,0.3458412021010561,0.666150099623644,0.7900436681222708,2007-10-18,2,0.7842756167486943,0.7290829694323144,2,2021-08-25,0.04275615171940861,False
2013-10-10,0.0032494387333097396,False,4.069646839184782,-0.4294428399723849,16.48,0.30711278195488734,-1.9066937119675553,-0.153940759489052,2021-12-10,4,before_peak,0.9495339471747072,0.5500332078813371,0.5488281524728101,0.43989373477972105,0.31604095563139933,2007-10-26,2,1.4073969825366963,0.4013651877133106,2,2012-04-17,0.33823892107439335,False
2013-12-11,-0.02261250140276061,False,8.71748103158112,-0.0061785338512149075,15.42,0.12482706766917297,-1.44879451448795,-0.03068962944786534,2007-07-12,2,before_peak,0.36876063292828637,0.9626964799645783,0.05737699221421816,0.9939118884215187,0.8776893105200745,2007-07-12,2,0.33127576322919633,0.9806877858715907,2,2005-08-08,0.10714620425814923,False
2014-03-14,-0.013796100157514424,False,4.375408180586282,-0.15045029254403086,17.82,0.07720300751879708,-1.9648562300319528,-0.025194724053254042,2021-11-24,4,before_peak,0.5221340501117678,0.8876466681425725,0.29426360338767965,0.7338941775514722,0.6409654710023466,2007-10-18,2,0.642431864997277,0.8404290982232652,2,2017-10-24,0.13615625485371832,False
2014-09-12,-0.06194913120120882,False,6.9552463984482005,-0.11664507624871755,13.31,0.0531278195488722,-1.105742889873984,-0.0031325814457376414,2007-07-12,2,before_peak,0.6194315883635374,0.8131503210095196,0.34400057358591335,0.6689174230684083,0.6969796454366383,2007-07-12,2,0.5908847912283229,0.8749179251477347,2,2015-05-07,0.08846294967855406,False
2015-01-22,-0.03305544784800307,False,5.649155620209689,-0.0040341785905141595,16.4,0.27101503759398504,-1.310628527695401,-0.17601808832833296,2020-02-05,3,before_peak,0.8489467476122866,0.6209873810050919,0.44191336854466334,0.5460482621208766,0.4930443222258169,2007-10-26,2,0.8305393117351458,0.6999352960207053,2,2011-03-03,0.23587901587203294,False
2015-03-16,-0.10263309629060158,False,6.867908841940551,-0.010234969013671477,15.61,0.06806015037593996,-1.7096439028997934,-0.17900657470387707,2021-12-15,4,before_peak,0.9833080207718061,0.5288908567633385,0.8127073781537669,0.26721275182643345,0.35558057253136055,2007-10-26,2,0.9780671584734142,0.601479575426182,2,2015-03-18,0.18100438869087562,False
2015-03-18,-0.11045487020719225,False,3.6255468312490935,0.016917868968909653,13.97,0.0941503759398496,-0.8453764050250334,-0.1532592230753766,2021-11-16,4,before_peak,0.8953277627776196,0.5892185078591986,0.6889329198277567,0.333849900376356,0.42765273311897106,2007-07-12,2,0.9791031330165809,0.6012861736334405,2,2015-03-16,0.18100438869087562,False
2015-05-07,-0.10555555555555562,False,2.8123284631466072,-0.07600009620420939,15.13,0.06260150375939842,-1.4024649383765353,-0.010013402296804818,2021-11-24,4,before_peak,0.6210988238463716,0.8113792340048704,0.28166300800201965,0.7498339605933142,0.7058353317346123,2007-07-12,2,0.7058590905024746,0.7950439648281374,2,2014-09-12,0.08846294967855406,False
2015-06-17,-0.11083603123214636,False,0.5272700279381093,-0.022450681937929342,14.5,0.09660150375939845,-1.4266941993617444,-0.09098038845750676,2021-11-24,4,before_peak,0.7731280131672309,0.6829754261678105,0.37291555113721453,0.6331636041620544,0.5572178895432118,2007-07-12,2,0.9328879536945052,0.6318637593506287,2,2013-02-27,0.09964228753153305,False
2015-07-13,-0.11049723756906082,False,1.7117653315470438,-0.1311967362205781,13.9,0.22439849624060157,-1.4642387835554826,-0.11299014384092362,2021-11-24,4,before_peak,0.9247880120881592,0.5659729909231791,0.3107407697020923,0.7100951959265,0.3495238095238095,2007-07-12,2,1.0917296800294105,0.5377777777777778,2,2011-03-03,0.2983398379891834,False
2015-08-10,-0.11976047904191611,False,1.7368032320068227,-0.044135137387391166,12.23,0.012120300751879639,-1.2483574244415374,-0.0726579448433361,2022-01-12,4,after_peak,0.9038026617371939,0.5819127739650211,0.5230194928164913,0.46136816471109143,0.5037974683544304,2007-07-12,2,1.0245594641563827,0.5731012658227848,2,2006-11-08,0.08175633572369695,False
2015-08-14,-0.12546019603155634,False,0.5646682795818148,-0.1222863972529716,12.83,0.02840601503759388,-1.8443776985169968,-0.062386113585070097,2022-01-12,4,after_peak,0.9458570965178226,0.5520256807615674,0.49209218197071414,0.49280495904361304,0.5009487666034156,2007-07-12,2,1.0610828754853152,0.5521821631878557,2,2012-04-05,0.10193327897103129,False
2016-06-21,-0.0423189238355115,False,0.34856198286976614,-0.3352445035737627,18.48,0.3897819548872181,-1.8512427759244554,-0.03915370345706404,2021-12-10,4,before_peak,0.642801068177439,0.7926721275182643,0.4076222615114652,0.5877794996679212,0.2919853166105843,2000-04-11,1,1.3845957013900232,0.40960538390945245,2,2024-12-23,0.5847875698844318,False
2016-08-25,-0.040184119677790675,False,5.649470030331405,-0.17179698113235128,13.63,0.019135338345864804,-0.8081453748515988,-0.009366493356288202,2007-10-18,2,after_peak,0.7758401582265341,0.6803187956608369,0.4619626895090428,0.5228027451848573,0.6567436208991495,2007-10-18,2,0.7454843168393676,0.7683778857837181,2,2024-03-19,0.14842704273833812,False
2017-01-03,0.002613163256266926,False,0.7675546582627479,-0.056756125281463975,12.85,0.03136842105263149,-0.6118765682088134,-0.04368142811645941,2021-11-24,4,before_peak,0.9152217633188655,0.5735001106929378,0.418104402709841,0.574717733008634,0.6141165892402218,2007-07-12,2,0.9619903171896995,0.6135171586992357,2,2012-04-05,0.055721164476292724,False
2017-05-19,0.0051643783851871294,False,5.985893702049938,-0.12780823436131933,12.04,0.11849624060150374,-0.8575115514298903,-0.024386590858356552,2007-07-12,2,before_peak,0.6751968320975769,0.7630064201903919,0.18139192889464467,0.8864290458268762,0.7152777777777778,2007-07-12,2,0.6558060173394689,0.8423463356973995,2,2018-10-09,0.1187862316912675,False
2017-06-19,-0.01781128999388626,False,7.788405158408551,-0.054002337815462674,10.37,0.020556390977443655,0.0,-0.005438176424305122,2020-01-23,3,before_peak,0.764833432124287,0.6897276953730352,0.3151047198302265,0.7052247066637148,0.8129051266941661,2007-06-01,2,0.7547883514010705,0.7681202121390689,2,2006-12-04,0.028808977903186796,False
2017-08-09,-0.01956345998383191,False,3.767389840967117,-0.24348165769914906,11.11,0.05782706766917289,-0.2781248740376552,-0.007041823749717706,2007-07-12,2,before_peak,0.966360791682914,0.5384104494133274,0.4768320756004076,0.5073057338941775,0.5118698710433763,2007-07-12,2,0.9508731084785862,0.6225087924970691,2,2017-10-24,0.09041816725913333,False
2017-10-17,-0.0008595764632336467,False,3.0504748904713885,-0.07497348340417272,10.31,0.010842105263157929,0.0,0.010271395939670993,2007-06-01,2,before_peak,0.9936370587586798,0.5228027451848573,0.2684099478299641,0.7702014611467788,0.8667054714784633,2007-07-13,2,0.9801230888207753,0.604918509895227,2,2017-06-19,0.0978944580051232,False
2017-10-24,-0.004631972286014641,False,3.399299018932611,-0.19116535939183113,11.16,0.06066165413533846,-0.23687480584031473,-0.007326358865464727,2007-07-12,2,before_peak,0.9282079922913468,0.5636484392295772,0.4007188578419758,0.5964135488155856,0.5657990402791915,2007-07-12,2,0.9166447528718432,0.6478115457321506,2,2017-08-09,0.09041816725913333,False
2018-10-09,-0.1837308613686075,False,0.1863303388194959,-0.14886782464956647,15.95,0.1146766917293233,-1.7230790227924064,-0.046267522373736505,2021-11-24,4,before_peak,0.6639619904689729,0.773743635156077,0.25291833608005915,0.7895727252601284,0.6021354313009273,2007-07-12,2,1.0021445569596112,0.592160719303175,2,2017-05-19,0.1187862316912675,False
2019-12-03,-0.2766714082503555,True,5.392216944997696,-0.05378469693597957,15.96,0.04954135338345868,-1.9152714358193879,-0.048921501280150916,2021-11-24,4,before_peak,0.6260516146668127,0.80739428824441,0.35171929265596574,0.658180208102723,0.5744565951127312,2007-10-18,2,0.6861628897466974,0.8339408667476711,2,2017-01-03,0.08471493213056305,False
2020-01-28,-0.3170746596666869,True,12.468220771460503,-0.03720525122015362,16.28,0.06881203007518798,-1.6037962518020255,-0.045137382078402004,2007-07-12,2,before_peak,0.5432364244854846,0.8722603497896834,0.26378865301815807,0.7757361080363073,0.6613379903277807,2007-07-12,2,0.5620913545665406,0.912009672219237,2,2019-12-03,0.09172069722738908,True
2020-02-04,-0.3215065502183405,True,13.885137072460685,-0.1605546763660935,16.05,0.2907669172932331,-0.961076405574246,-0.12126606362576543,2020-02-05,3,before_peak,0.2010398746779619,0.9970112906796547,0.08317253417596003,0.9832853663936241,0.25761847227815815,2007-10-26,2,1.098051894869837,0.5312122432541281,2,2011-03-03,0.17334621938189262,False
2021-03-01,-0.034163719309036944,False,6.644705519645,-0.47203983367155394,23.35,0.03461654135338356,-0.8386703263190021,-0.06358809962173649,2021-12-15,4,before_peak,1.0177267135791124,0.5094088997121984,0.886422313486296,0.23101616116891743,0.21682679823422488,2000-09-07,1,1.1355307291382604,0.492079979226175,3,2025-08-04,0.17900653361428162,False
2021-04-29,-0.03526059598717801,False,3.820417772730922,-0.0682382494528386,17.61,0.022308270676691527,0.0,-0.015931446813975805,2021-11-24,4,before_peak,0.5736770344890753,0.8508966127961036,0.3741922086072775,0.6305069736550808,0.6800103305785123,2007-10-18,2,0.6189487493770495,0.8534349173553719,3,2006-12-04,0.04290442280665586,False
2021-07-20,-0.005227730101084904,False,5.6433912135331665,-0.24075184333893357,19.73,0.18966917293233082,-1.4026365004789487,-0.0762289205092164,2021-11-24,4,before_peak,0.6359101119235461,0.7987602390967457,0.3752296672703008,0.6286251937126411,0.673974358974359,2020-02-07,3,0.9524402285524828,0.5946153846153847,3,2026-01-21,0.3058521180021406,False
2021-08-25,-0.060206396512610616,False,12.55497235728058,-0.024277642835692247,16.79,0.016255639097744537,0.0,-0.01574098810489626,2020-02-14,3,before_peak,0.5575131138335572,0.8617445206995794,0.3390009466639229,0.6752269205224707,0.7185024278047534,2020-02-14,3,0.5525522890936878,0.8943266036289292,3,2013-04-01,0.04275615171940861,False
2021-09-10,-0.06457183869376049,False,10.425080150840206,-0.004258256385811459,20.95,0.01036090225563912,-1.7258480460225933,-0.0024474254032953147,2007-10-18,2,after_peak,0.4063398598726521,0.948638476865176,0.26183443981924537,0.7786141244188621,0.8074518310578027,2007-10-18,2,0.4016102139215891,0.9600612479265025,3,2005-12-12,0.028004077875302756,False
2021-09-15,-0.06918561831856629,False,9.664552391097846,-0.04804413951973976,18.18,-0.012804511278195554,-1.2387312922920946,-0.03227207352626356,2007-10-18,2,after_peak,0.44958602743800585,0.9305955280053133,0.34076833154183517,0.673345140580031,0.7144132653061225,2007-10-18,2,0.4580791709799007,0.9415816326530613,3,2004-12-08,0.15485652988758172,False
2023-07-07,-0.06401072983325562,False,15.987846493718072,-0.22483437471499632,14.83,0.010676691729323385,-1.2712121178115598,-0.039092042620020466,2020-02-13,3,before_peak,0.6881772270606384,0.7516050475979632,0.6061873166940119,0.3926278503431481,0.38902984173009547,2020-02-13,3,0.6808928789127293,0.7563126736740365,4,2024-03-19,0.1596713942775963,False
2023-08-07,-0.08876293588052508,False,15.433370068393138,-0.1110722045998255,15.77,0.11603007518796991,-1.5367316341829196,-0.08464821541335885,2020-02-11,3,before_peak,0.5924375031534017,0.8366172238211202,0.3584706656250556,0.6503210095195926,0.6550976138828634,2020-02-12,3,0.5762677841778406,0.846589539648108,4,2013-02-27,0.14187801832990002,False
2024-02-09,-0.014610244279942064,False,16.015265982423067,-0.0005632550442082287,12.93,-0.023684210526316002,0.0,0.003695260780629756,2020-01-22,3,before_peak,0.20928966495898393,0.99612574717733,0.19628788151642457,0.8683860969670135,0.867568529725881,2020-01-22,3,0.20853639067812108,0.996558680431945,4,2005-12-12,0.1402779296916896,False
2024-03-19,-0.04079938051678966,False,8.92857142857142,-0.255275927509483,13.82,0.010022556390977752,0.0,-0.009590396162987343,2007-07-12,2,before_peak,0.8054823060641843,0.6547487270312154,0.5779607099307519,0.4179765330971884,0.4183130249615521,2020-01-23,3,0.8041645600043991,0.6518395835797941,4,2016-08-25,0.14842704273833812,False
2024-10-15,-0.14315610995897,False,1.6998547637148587,0.08035864833431623,20.64,0.31621804511278206,-0.7609409797179167,-0.007230066672808869,2021-11-24,4,before_peak,0.8589470856897975,0.61478857648882,0.484504028890326,0.4998893070622094,0.4981391021167713,2021-11-24,4,0.8572001975288216,0.6127006280530356,4,2026-01-21,0.6173414548542145,False
2024-12-23,-0.16593377714020752,False,7.469530632297472,-0.19456730052867463,16.78,0.37165413533834596,-1.9079613875903845,-0.1421591509721738,2021-12-10,4,before_peak,0.6565454024256815,0.7822669913659509,0.39754975926411235,0.600398494576046,0.5998149433263937,2021-12-10,4,0.6496164015772697,0.7869535045107564,4,2020-02-04,0.37714931960575515,True
