price_rise_pct,breadth_drawdown_points,breadth_cap,full_cagr,full_sharpe,full_max_drawdown,full_calmar,early_cagr,early_sharpe,early_max_drawdown,early_calmar,late_cagr,late_sharpe,late_max_drawdown,late_calmar,real_breadth_cagr,real_breadth_sharpe,real_breadth_max_drawdown,real_breadth_calmar,min_half_calmar,completed_trades,exposure,raw_signal_days
2.0,30.0,70.0,0.18981837597034779,1.0070173496135206,-0.3218479557791448,0.5897765468505973,0.18018455089238428,0.9808978348296058,-0.3218479557791448,0.5598437015272785,0.19985931308677451,1.034478510973427,-0.2298679665490888,0.8694526518295629,0.20998687017734396,1.055602893218309,-0.3218479557791448,0.6524412114689303,0.5598437015272785,14,0.8152506851523457,47
2.0,30.0,60.0,0.18956128194044397,1.0057392855843688,-0.32184838081844713,0.5889769631849552,0.17966028141049306,0.9782164713398146,-0.32184838081844713,0.5582140290829626,0.19985929885833253,1.0344784466125756,-0.22986796654908892,0.869452589931238,0.2099866676783153,1.0556020921526883,-0.32184838081844713,0.6524397206670044,0.5582140290829626,14,0.8155731097855876,44
2.0,35.0,50.0,0.19012351416254702,0.9994291877823469,-0.32184931872442846,0.5907221270998968,0.17851400465550715,0.9497310300405326,-0.32184931872442846,0.5546508700500098,0.20207053054373336,1.0496691418167974,-0.22986796654908892,0.8790721629348066,0.2100638662430674,1.0580101419353043,-0.32184931872442846,0.6526776787212242,0.5546508700500098,13,0.8497501209092375,16
2.0,30.0,50.0,0.1896126322432945,0.9971662208486,-0.32184931872442846,0.5891347944894775,0.17851400465550715,0.9497310300405326,-0.32184931872442846,0.5546508700500098,0.2010657140832579,1.0452651238561974,-0.22986796654908892,0.8747008863469447,0.20941230308248282,1.055257476922589,-0.32184931872442846,0.6506532433016716,0.5546508700500098,13,0.8495889085926165,24
2.0,35.0,60.0,0.18944648256265606,1.0068042214369624,-0.3218504620602376,0.5886164691203681,0.17713595845808183,0.9640314122214596,-0.3218504620602376,0.5503672647359102,0.20207049213252315,1.0496689771551555,-0.22986796654908892,0.879071995833619,0.21006332144799145,1.0580079785582597,-0.3218504620602376,0.652673667464476,0.5503672647359102,14,0.8175076575850395,23
2.0,35.0,70.0,0.18944648256265606,1.0068042214369624,-0.3218504620602376,0.5886164691203681,0.17713595845808183,0.9640314122214596,-0.3218504620602376,0.5503672647359102,0.20207049213252315,1.0496689771551555,-0.22986796654908892,0.879071995833619,0.21006332144799145,1.0580079785582597,-0.3218504620602376,0.652673667464476,0.5503672647359102,14,0.8175076575850395,23
3.0,30.0,70.0,0.18724216274568017,0.9961523232282173,-0.3218479557791448,0.5817721050686665,0.17493651447772463,0.9580624900694847,-0.3218479557791448,0.5435377523347321,0.19985916687829142,1.0344778496147105,-0.22986796654908892,0.8694520157753732,0.20670133940327706,1.0425698892001927,-0.3218479557791448,0.6422328795063639,0.5435377523347321,14,0.8152506851523457,38
1.0,30.0,60.0,0.1919768073703072,1.0328889553597516,-0.3218489350362904,0.596481101758689,0.17426294728483738,0.9546859768683212,-0.3218489350362904,0.5414432931561143,0.20985333018636143,1.1100339819512073,-0.2297821902763706,0.913270649626763,0.2134955595705268,1.0896577736338233,-0.3218489350362904,0.663340891733738,0.5414432931561143,16,0.7826857971949057,59
1.0,30.0,70.0,0.1919768073703072,1.0328889553597516,-0.3218489350362904,0.596481101758689,0.17426294728483738,0.9546859768683212,-0.3218489350362904,0.5414432931561143,0.20985333018636143,1.1100339819512073,-0.2297821902763706,0.913270649626763,0.2134955595705268,1.0896577736338233,-0.3218489350362904,0.663340891733738,0.5414432931561143,16,0.7826857971949057,62
5.0,25.0,50.0,0.16850996746188573,0.9273078946964036,-0.3218452936696078,0.5235744339790491,0.17415278316228422,0.9155442306641755,-0.3218452936696078,0.5411071300022233,0.16399842527046338,0.9457974405337111,-0.22986796654908903,0.7134461914485201,0.18256108056258658,0.970945873952544,-0.3218452936696078,0.5672324068531999,0.5411071300022233,13,0.7967112687409318,22
