Date,frozen_baseline,prior_70_30,boost_5%,boost_10%,boost_15%,primary_breadth_bucket,primary_ma200_bucket,primary_3x_drag
2002-03-27,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-03-28,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-01,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-02,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-03,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-04,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-05,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-08,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-09,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-10,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-11,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-12,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-15,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-16,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-17,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-18,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-19,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-22,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-23,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-24,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
2002-04-25,10000.0,10000.0,10000.0,10000.0,10000.0,7000.0,3000.0,10000.0
