features,feature_count,threshold,completed_trades_full,early_cagr,early_sharpe,early_max_drawdown,early_round_trips_per_year,early_evaluable_crashes,early_protected_crashes,early_resolved_vector_exits,early_true_vector_exits,early_false_vector_exits,early_precision,late_cagr,late_sharpe,late_max_drawdown,late_round_trips_per_year,late_evaluable_crashes,late_protected_crashes,late_resolved_vector_exits,late_true_vector_exits,late_false_vector_exits,late_precision,early_guardrails_pass,late_guardrails_pass
breadth,1,0.1,55,0.0390528587283272,0.3612169741941739,-0.3218740313593411,2.6678840447386443,1,0,27,2,25,0.074074074074074,0.0230500017644845,0.3973699154968312,-0.1383540878913947,1.8298301023742105,2,2,22,2,20,0.0909090909090909,False,False
breadth,1,0.15,50,0.0531613959892174,0.4587627868772962,-0.3218740313593411,2.5011412919424787,1,0,25,1,24,0.04,0.0388334988775651,0.5070393870988218,-0.1998017085430163,1.5911566107601829,2,1,20,1,19,0.05,False,False
breadth,1,0.2,49,0.0453681684473443,0.4098197955983761,-0.3218740313593411,2.417769915544396,1,0,24,1,23,0.0416666666666666,0.050365821581553,0.6244588267660321,-0.1858398494291732,1.5911566107601829,2,1,20,1,19,0.05,False,False
breadth,1,0.25,41,0.0757761789456952,0.5955936907787575,-0.321868374623675,2.1676557863501484,1,0,20,0,20,0.0,0.0382457783457157,0.3783599922690612,-0.3233744567369779,1.1933674580701372,2,1,14,1,13,0.0714285714285714,False,False
breadth,1,0.3,33,0.0956673506089971,0.6389499117204479,-0.4692955902683385,1.7507989043597352,1,0,13,0,13,0.0,0.1159732021336874,0.752651594989636,-0.2945529661110256,0.9546939664561098,2,0,10,0,10,0.0,False,False
breadth,1,0.35,24,0.1107693607669511,0.6962292393575757,-0.4692967004933442,1.5006847751654873,1,0,10,0,10,0.0,0.1628043926358093,0.8786961096940713,-0.2945392532157123,0.4773469832280549,2,0,4,0,4,0.0,False,False
breadth,1,0.4,20,0.1276565315769595,0.7729421178393802,-0.4692925373747416,1.2505706459712391,1,0,7,0,7,0.0,0.1634077713929884,0.8730365371277438,-0.2727322994433016,0.3977891526900457,2,0,3,0,3,0.0,False,False
breadth,1,0.45,17,0.1325141591584082,0.7682241561370485,-0.4692851976137648,1.0838278931750742,1,0,5,0,5,0.0,0.1811043057223862,0.9423349442881338,-0.2545870475548507,0.3182313221520366,2,0,1,0,1,0.0,False,False
breadth,1,0.5,15,0.1390825787838077,0.78076775008812,-0.4692891390481427,1.0004565167769917,1,0,4,0,4,0.0,0.1929187740631885,0.9853829734040706,-0.2526132529661795,0.2386734916140274,2,0,0,0,0,,False,False
breadth_fall_60_points,1,0.1,55,0.0401531097486689,0.3831101523399995,-0.191271360297067,2.8346267975348094,1,1,30,4,26,0.1333333333333333,0.0509292745141369,0.6541983079883481,-0.1776877325261791,1.670714441298192,2,2,20,2,18,0.1,False,False
breadth_fall_60_points,1,0.15,42,0.0575107485600308,0.4512794840715769,-0.4693013064990252,2.1676557863501484,1,0,20,1,19,0.05,0.048959090124919,0.4536959139034258,-0.2422969817622321,1.2729252886081464,2,0,15,0,15,0.0,False,False
