qqq_pct,stock_pct,tqqq_pct,years,n_windows,deployed_usd,avg_final_usd,avg_return_pct,median_final_usd,median_return_pct,worst_final_usd,best_final_usd,pct_losing_windows
15,20,65,1,5910,1000000,1485119,48.5,1368101,36.8,242263,5523829,16.1
15,25,60,1,5910,1000000,1469920,47.0,1359625,36.0,254226,5319115,16.0
15,30,55,1,5910,1000000,1454721,45.5,1352896,35.3,266190,5114401,15.9
15,35,50,1,5910,1000000,1439523,44.0,1346632,34.7,278153,4909688,15.7
15,40,45,1,5910,1000000,1424324,42.4,1341454,34.1,290116,4704974,15.6
15,45,40,1,5910,1000000,1409125,40.9,1335247,33.5,302080,4500261,15.5
15,50,35,1,5910,1000000,1393926,39.4,1326539,32.7,314043,4295547,15.5
15,55,30,1,5910,1000000,1378728,37.9,1314993,31.5,326006,4090834,16.0
15,60,25,1,5910,1000000,1363529,36.4,1306616,30.7,337970,3886120,16.5
15,65,20,1,5910,1000000,1348330,34.8,1295392,29.5,349933,3681407,16.9
15,70,15,1,5910,1000000,1333132,33.3,1282445,28.2,361896,3476693,17.3
15,75,10,1,5910,1000000,1317933,31.8,1269601,27.0,373860,3271980,17.4
15,80,5,1,5910,1000000,1302734,30.3,1255352,25.5,385823,3067266,17.7
15,85,0,1,5910,1000000,1287536,28.8,1238494,23.8,397786,2862553,18.1
20,0,80,1,5910,1000000,1525356,52.5,1380331,38.0,215588,6093204,16.1
20,5,75,1,5910,1000000,1510158,51.0,1374202,37.4,227552,5888490,16.2
20,10,70,1,5910,1000000,1494959,49.5,1368064,36.8,239515,5683777,16.2
20,15,65,1,5910,1000000,1479760,48.0,1361471,36.1,251479,5479063,16.0
20,20,60,1,5910,1000000,1464562,46.5,1353490,35.3,263442,5274350,15.9
20,25,55,1,5910,1000000,1449363,44.9,1346095,34.6,275405,5069636,15.7
20,30,50,1,5910,1000000,1434164,43.4,1340991,34.1,287369,4864923,15.6
20,35,45,1,5910,1000000,1418966,41.9,1334567,33.5,299332,4660209,15.5
20,40,40,1,5910,1000000,1403767,40.4,1328006,32.8,311295,4455496,15.4
20,45,35,1,5910,1000000,1388568,38.9,1321361,32.1,323259,4250782,15.3
20,50,30,1,5910,1000000,1373370,37.3,1310984,31.1,335222,4046069,15.5
20,55,25,1,5910,1000000,1358171,35.8,1299713,30.0,347185,3841355,16.0
20,60,20,1,5910,1000000,1342972,34.3,1291746,29.2,359149,3636642,16.4
20,65,15,1,5910,1000000,1327773,32.8,1279501,28.0,371112,3431928,17.0
20,70,10,1,5910,1000000,1312575,31.3,1266022,26.6,383075,3227214,17.0
20,75,5,1,5910,1000000,1297376,29.7,1251530,25.2,395039,3022501,17.2
20,80,0,1,5910,1000000,1282177,28.2,1235657,23.6,407002,2817787,17.7
25,0,75,1,5910,1000000,1504799,50.5,1367055,36.7,236768,5843725,15.9
25,5,70,1,5910,1000000,1489601,49.0,1361040,36.1,248731,5639011,16.0
25,10,65,1,5910,1000000,1474402,47.4,1354052,35.4,260694,5434298,16.0
25,15,60,1,5910,1000000,1459203,45.9,1347344,34.7,272658,5229584,15.9
25,20,55,1,5910,1000000,1444005,44.4,1339674,34.0,284621,5024871,15.6
25,25,50,1,5910,1000000,1428806,42.9,1333666,33.4,296584,4820157,15.4
25,30,45,1,5910,1000000,1413607,41.4,1326684,32.7,308548,4615444,15.3
25,35,40,1,5910,1000000,1398409,39.8,1320887,32.1,320511,4410730,15.2
25,40,35,1,5910,1000000,1383210,38.3,1314098,31.4,332474,4206017,15.1
25,45,30,1,5910,1000000,1368011,36.8,1307166,30.7,344438,4001303,15.0
25,50,25,1,5910,1000000,1352813,35.3,1295731,29.6,356401,3796590,15.5
25,55,20,1,5910,1000000,1337614,33.8,1286239,28.6,368364,3591876,15.9
25,60,15,1,5910,1000000,1322415,32.2,1275600,27.6,380328,3387163,16.5
25,65,10,1,5910,1000000,1307217,30.7,1262618,26.3,392291,3182449,16.7
25,70,5,1,5910,1000000,1292018,29.2,1249331,24.9,404255,2977736,16.9
25,75,0,1,5910,1000000,1276819,27.7,1233614,23.4,416218,2773022,17.2
30,0,70,1,5910,1000000,1484242,48.4,1353780,35.4,257947,5594246,15.7
30,5,65,1,5910,1000000,1469044,46.9,1347269,34.7,269910,5389532,15.8
30,10,60,1,5910,1000000,1453845,45.4,1340773,34.1,281873,5184819,15.7
30,15,55,1,5910,1000000,1438646,43.9,1333021,33.3,293837,4980105,15.5
30,20,50,1,5910,1000000,1423448,42.3,1326624,32.7,305800,4775392,15.3
30,25,45,1,5910,1000000,1408249,40.8,1320072,32.0,317763,4570678,15.1
30,30,40,1,5910,1000000,1393050,39.3,1312399,31.2,329727,4365965,15.1
30,35,35,1,5910,1000000,1377852,37.8,1306382,30.6,341690,4161251,14.9
30,40,30,1,5910,1000000,1362653,36.3,1300824,30.1,353654,3956538,14.9
30,45,25,1,5910,1000000,1347454,34.7,1290341,29.0,365617,3751824,15.0
30,50,20,1,5910,1000000,1332256,33.2,1280149,28.0,377580,3547111,15.4
30,55,15,1,5910,1000000,1317057,31.7,1270273,27.0,389544,3342397,15.9
30,60,10,1,5910,1000000,1301858,30.2,1258887,25.9,401507,3137684,16.2
30,65,5,1,5910,1000000,1286660,28.7,1246413,24.6,413470,2932970,16.5
