years,n_windows,deployed_usd,strategy_avg_final_usd,strategy_avg_return_pct,strategy_median_final_usd,strategy_median_return_pct,strategy_worst_final_usd,strategy_best_final_usd,strategy_pct_losing_windows,ndx_buyhold_avg_final_usd,ndx_buyhold_avg_return_pct,ndx_buyhold_median_final_usd,ndx_buyhold_median_return_pct,ndx_buyhold_worst_final_usd,ndx_buyhold_best_final_usd,ndx_buyhold_pct_losing_windows
1,5907,1000000,1270948,27.1,1215050,21.5,735833,2382768,6.1,1160680,16.1,1173674,17.4,516607,1873443,15.0
2,5655,1200000,1851130,54.3,1710831,42.6,883000,3798043,2.6,1566390,30.5,1550933,29.2,677944,2485191,9.4
3,5403,1400000,2585667,84.7,2378163,69.9,1030166,5333005,2.8,2015102,43.9,2010605,43.6,835271,3397104,5.1
4,5151,1600000,3535391,121.0,3216717,101.0,1177333,6896085,2.9,2523026,57.7,2565047,60.3,1009458,3800321,4.5
5,4899,1800000,4790803,166.2,4306169,139.2,1324499,9562907,3.0,3154563,75.3,3202445,77.9,1207284,5157912,4.0
6,4647,2000000,6470666,223.5,5664358,183.2,1469364,14153329,1.6,3862528,93.1,4004384,100.2,1618811,6051303,2.1
7,4395,2200000,8505181,286.6,7004441,218.4,2404998,23051634,0.0,4706507,113.9,4898436,122.7,1581609,7013346,2.0
8,4143,2400000,10855945,352.3,8472886,253.0,4674883,30073125,0.0,5749106,139.5,5848026,143.7,2810011,8852972,0.0
9,3891,2600000,13838088,432.2,10707730,311.8,6061062,38161037,0.0,6947173,167.2,6920985,166.2,3754058,11399098,0.0
10,3639,2800000,17410203,521.8,14262357,409.4,7539175,53862834,0.0,8287286,196.0,8422065,200.8,4097724,13400625,0.0
11,3387,3000000,21673970,622.5,20446050,581.5,9173873,63494999,0.0,9866862,228.9,9416504,213.9,4956152,16160910,0.0
12,3135,3200000,27621276,763.2,27349410,754.7,10928714,71997420,0.0,11778474,268.1,10944391,242.0,6632748,20235191,0.0
13,2883,3400000,35146106,933.7,37357354,998.7,11841273,93078525,0.0,13816044,306.4,13155701,286.9,7970620,26088994,0.0
14,2631,3600000,44908874,1147.5,49806709,1283.5,14197754,103901412,0.0,16054524,346.0,16766500,365.7,8218825,24329535,0.0
15,2379,3800000,57872410,1423.0,65235426,1616.7,19742756,136791197,0.0,18893299,397.2,18373052,383.5,10289140,29021616,0.0
16,2127,4000000,74367990,1759.2,76960709,1824.0,22949167,173724398,0.0,21950089,448.8,21181181,429.5,13484380,34958088,0.0
17,1875,4200000,97085639,2211.6,86909387,1969.3,29060181,253756568,0.0,25200908,500.0,24918018,493.3,13939398,43012951,0.0
18,1623,4400000,119091228,2606.6,97495753,2115.8,43399941,285945141,0.0,28500792,547.7,29475654,569.9,15435119,40331432,0.0
19,1371,4600000,143262388,3014.4,111894793,2332.5,89195883,337429921,0.0,32599799,608.7,33066909,618.8,21150183,43935194,0.0
20,1119,4800000,168917617,3419.1,145316090,2927.4,104623035,374027625,0.0,35533721,640.3,35090591,631.1,25717457,50419362,0.0
