date,open,high,low,close
2001-12-01,8.38,8.47,8.01,8.24
2002-01-01,8.12,8.29,7.89,7.89
2002-02-01,7.81,8.31,7.81,8.19
2002-03-01,7.99,7.99,7.06,7.08
2002-04-01,7.0,7.27,6.88,6.88
2002-05-01,6.89,7.28,6.87,7.28
2002-06-01,7.27,9.23,7.27,8.75
2002-07-01,8.69,10.13,8.69,9.71
2002-08-01,9.54,10.2,9.44,9.61
2002-09-01,9.6,10.33,9.59,10.33
2002-10-01,10.21,11.2,10.21,10.59
2002-11-01,10.47,10.47,8.83,8.83
2002-12-01,8.67,9.13,8.67,8.9
2003-01-01,8.65,8.65,7.92,8.29
2003-02-01,8.21,8.69,8.21,8.38
2003-03-01,8.29,8.38,7.69,7.72
2003-04-01,7.61,7.61,6.44,6.44
2003-05-01,6.37,6.89,6.25,6.79
2003-06-01,6.66,6.74,6.03,6.13
2003-07-01,6.15,6.18,5.59,5.67
2003-08-01,5.77,6.15,5.43,5.46
2003-09-01,5.46,5.51,5.16,5.51
2003-10-01,5.46,5.46,4.62,4.73
2003-11-01,4.65,4.76,4.46,4.48
2003-12-01,4.37,4.39,4.16,4.18
2004-01-01,4.08,4.08,3.76,4.05
2004-02-01,4.06,4.38,4.06,4.34
2004-03-01,4.29,4.56,4.22,4.41
2004-04-01,4.32,4.32,3.81,3.91
2004-05-01,3.93,4.56,3.93,4.28
2004-06-01,4.25,4.25,3.91,4.1
2004-07-01,4.13,4.18,3.84,4.02
2004-08-01,4.04,4.2,3.97,4.06
2004-09-01,4.07,4.07,3.77,3.83
2004-10-01,3.78,3.84,3.56,3.63
2004-11-01,3.56,3.56,3.12,3.17
2004-12-01,3.15,3.23,2.96,3.1
2005-01-01,3.06,3.37,2.97,3.29
2005-02-01,3.26,3.26,2.83,2.83
2005-03-01,2.81,3.52,2.71,3.52
2005-04-01,3.55,4.19,3.39,4.19
2005-05-01,4.17,4.57,4.02,4.13
2005-06-01,4.13,4.13,3.78,3.85
2005-07-01,3.75,3.78,3.25,3.3
2005-08-01,3.29,3.66,3.29,3.66
2005-09-01,3.7,3.81,3.54,3.54
2005-10-01,3.47,3.77,3.47,3.61
2005-11-01,3.57,3.78,3.48,3.67
2005-12-01,3.62,3.73,3.59,3.71
2006-01-01,3.73,3.73,3.34,3.42
2006-02-01,3.35,3.39,3.27,3.37
2006-03-01,3.33,3.34,3.11,3.13
2006-04-01,3.09,3.13,2.97,3.04
2006-05-01,2.96,3.18,2.88,3.12
2006-06-01,3.13,3.36,3.13,3.35
2006-07-01,3.33,3.45,3.27,3.45
2006-08-01,3.44,3.49,3.36,3.49
2006-09-01,3.49,3.55,3.33,3.44
2006-10-01,3.44,3.45,3.14,3.29
2006-11-01,3.3,3.3,2.99,3.2
2006-12-01,3.21,3.21,2.82,2.89
2007-01-01,2.91,2.95,2.57,2.72
2007-02-01,2.66,2.82,2.49,2.82
2007-03-01,2.83,2.99,2.75,2.85
2007-04-01,2.86,2.87,2.63,2.74
2007-05-01,2.74,2.74,2.42,2.46
2007-06-01,2.41,2.98,2.41,2.98
2007-07-01,3.03,4.28,2.9,4.19
2007-08-01,4.28,4.59,3.93,4.55
2007-09-01,4.55,4.79,4.1,4.2
2007-10-01,4.19,4.42,3.81,4.36
2007-11-01,4.53,5.92,4.53,5.75
2007-12-01,5.82,5.92,5.54,5.92
2008-01-01,6.1,7.48,6.1,6.95
2008-02-01,6.96,7.67,6.92,7.67
2008-03-01,7.75,8.62,7.68,8.21
2008-04-01,8.02,8.02,6.84,6.86
2008-05-01,6.81,6.9,6.53,6.53
2008-06-01,6.67,7.41,6.37,7.35
2008-07-01,7.48,8.06,7.46,8.0
2008-08-01,8.13,8.36,8.05,8.36
2008-09-01,8.36,10.96,8.36,10.96
2008-10-01,11.24,16.81,11.24,16.17
2008-11-01,16.29,19.92,16.08,19.88
2008-12-01,20.2,21.82,18.12,18.12
2009-01-01,17.84,17.84,16.22,16.26
2009-02-01,16.4,17.39,15.98,17.38
2009-03-01,17.84,18.86,16.75,17.03
2009-04-01,17.12,17.12,13.45,13.45
2009-05-01,13.34,13.34,11.7,11.7
2009-06-01,11.36,11.36,10.4,10.55
2009-07-01,10.5,10.92,9.22,9.22
2009-08-01,8.99,9.27,8.57,9.12
2009-09-01,9.18,9.23,7.87,7.93
2009-10-01,8.11,8.2,7.35,7.6
2009-11-01,7.6,7.65,7.51,7.65
2009-12-01,7.58,7.58,6.39,6.39
2010-01-01,6.34,6.54,5.99,6.54
2010-02-01,6.54,7.03,6.46,6.71
2010-03-01,6.66,6.66,5.77,5.84
2010-04-01,5.82,5.82,5.42,5.61
2010-05-01,5.57,7.24,5.57,6.98
2010-06-01,7.04,7.27,6.68,7.13
2010-07-01,7.17,7.17,6.43,6.59
2010-08-01,6.54,6.93,6.49,6.92
2010-09-01,6.8,6.8,6.24,6.26
2010-10-01,6.22,6.23,5.73,5.93
2010-11-01,5.96,6.22,5.64,6.22
2010-12-01,6.02,6.02,5.28,5.41
2011-01-01,5.32,5.32,4.98,5.08
2011-02-01,4.99,4.99,4.52,4.78
2011-03-01,4.76,5.16,4.6,4.77
2011-04-01,4.72,4.76,4.53,4.76
2011-05-01,4.74,5.09,4.74,5.09
2011-06-01,5.15,5.8,5.15,5.42
2011-07-01,5.34,5.6,5.27,5.58
2011-08-01,5.63,7.5,5.63,7.3
2011-09-01,7.26,8.41,7.26,8.41
2011-10-01,8.72,9.1,6.83,7.07
2011-11-01,7.42,8.03,7.23,7.79
2011-12-01,7.69,7.69,7.23,7.23
2012-01-01,7.06,7.06,6.57,6.61
2012-02-01,6.54,6.55,5.98,5.98
2012-03-01,5.94,6.25,5.79,5.99
2012-04-01,5.99,6.32,5.91,6.04
2012-05-01,5.96,6.96,5.92,6.96
2012-06-01,7.16,7.23,6.36,6.44
2012-07-01,6.45,6.45,6.16,6.16
2012-08-01,6.1,6.13,5.83,5.98
2012-09-01,5.98,5.98,5.3,5.74
2012-10-01,5.71,5.72,5.24,5.63
2012-11-01,5.57,5.98,5.49,5.65
2012-12-01,5.6,5.6,5.19,5.34
2013-01-01,5.16,5.16,4.72,4.95
2013-02-01,4.94,5.08,4.92,4.98
2013-03-01,5.0,5.0,4.71,4.86
2013-04-01,4.87,4.95,4.53,4.55
2013-05-01,4.5,4.62,4.23,4.62
2013-06-01,4.76,5.34,4.76,5.21
2013-07-01,5.17,5.17,4.5,4.71
2013-08-01,4.63,4.82,4.63,4.76
2013-09-01,4.78,4.83,4.51,4.83
2013-10-01,4.78,4.78,4.36,4.36
2013-11-01,4.31,4.42,4.23,4.27
2013-12-01,4.19,4.22,3.96,4.0
2014-01-01,4.0,4.21,3.82,4.21
2014-02-01,4.28,4.31,3.81,3.81
2014-03-01,3.87,3.96,3.73,3.77
2014-04-01,3.73,3.82,3.64,3.71
2014-05-01,3.75,3.8,3.67,3.67
2014-06-01,3.61,3.61,3.35,3.53
2014-07-01,3.5,4.04,3.44,4.04
2014-08-01,4.25,4.25,3.77,3.84
2014-09-01,3.84,4.51,3.8,4.4
2014-10-01,4.45,5.08,4.26,4.3
2014-11-01,4.29,4.67,4.29,4.67
2014-12-01,4.82,5.71,4.77,5.04
2015-01-01,5.08,5.42,5.08,5.26
2015-02-01,5.26,5.26,4.43,4.46
2015-03-01,4.38,4.91,4.38,4.82
2015-04-01,4.86,4.86,4.52,4.59
2015-05-01,4.53,4.58,4.45,4.58
2015-06-01,4.52,5.0,4.46,5.0
2015-07-01,4.88,5.49,4.88,5.36
2015-08-01,5.45,6.14,5.29,5.7
2015-09-01,5.78,6.62,5.54,6.62
2015-10-01,6.67,6.83,5.88,5.9
2015-11-01,5.84,6.41,5.73,6.4
2015-12-01,6.4,7.33,6.32,6.95
2016-01-01,7.1,8.27,7.03,7.77
2016-02-01,7.79,8.87,7.75,7.75
2016-03-01,7.46,7.46,6.65,7.05
2016-04-01,7.05,7.13,6.19,6.21
2016-05-01,6.16,6.53,5.97,5.97
2016-06-01,6.01,6.57,5.82,6.21
2016-07-01,6.12,6.16,5.39,5.69
2016-08-01,5.69,5.73,5.04,5.1
2016-09-01,5.12,5.27,4.97,4.97
2016-10-01,4.93,4.93,4.6,4.91
2016-11-01,5.05,5.2,4.64,4.67
2016-12-01,4.62,4.64,4.11,4.22
2017-01-01,4.13,4.13,3.93,4.0
2017-02-01,3.95,3.98,3.74,3.74
2017-03-01,3.57,4.16,3.55,3.92
2017-04-01,3.98,4.07,3.75,3.81
2017-05-01,3.78,3.85,3.67,3.74
2017-06-01,3.69,3.87,3.68,3.77
2017-07-01,3.72,3.85,3.55,3.61
2017-08-01,3.6,4.0,3.59,3.85
2017-09-01,3.82,3.92,3.54,3.56
2017-10-01,3.55,3.6,3.38,3.51
2017-11-01,3.48,3.97,3.48,3.61
2017-12-01,3.63,3.64,3.55,3.63
2018-01-01,3.55,3.55,3.23,3.29
2018-02-01,3.29,3.82,3.29,3.47
2018-03-01,3.59,3.79,3.53,3.72
2018-04-01,3.77,3.77,3.24,3.46
2018-05-01,3.47,3.75,3.36,3.63
2018-06-01,3.55,3.71,3.31,3.71
2018-07-01,3.78,3.78,3.42,3.46
2018-08-01,3.43,3.55,3.35,3.49
2018-09-01,3.49,3.52,3.24,3.28
2018-10-01,3.22,3.89,3.16,3.81
2018-11-01,3.81,4.33,3.57,4.29
2018-12-01,4.2,5.38,4.2,5.33
2019-01-01,5.35,5.44,4.27,4.37
2019-02-01,4.29,4.32,3.92,3.92
2019-03-01,3.86,4.18,3.86,4.05
2019-04-01,3.94,3.95,3.64,3.73
2019-05-01,3.71,4.59,3.71,4.59
2019-06-01,4.7,4.7,3.95,4.07
2019-07-01,3.99,4.11,3.89,3.93
2019-08-01,4.1,4.53,4.08,4.13
2019-09-01,4.13,4.23,3.77,4.02
2019-10-01,4.08,4.4,3.85,4.15
2019-11-01,4.09,4.18,3.96,4.02
2019-12-01,4.03,4.14,3.51,3.6
2020-01-01,3.56,4.03,3.38,4.03
2020-02-01,3.97,5.06,3.56,5.06
2020-03-01,4.97,10.87,4.75,8.77
2020-04-01,9.11,9.43,7.31,7.63
2020-05-01,7.7,7.79,6.54,6.54
2020-06-01,6.43,6.52,5.5,6.44
2020-07-01,6.33,6.33,5.14,5.16
2020-08-01,5.08,5.29,4.98,5.02
2020-09-01,4.97,5.64,4.93,5.41
2020-10-01,5.36,5.38,4.87,5.32
2020-11-01,5.25,5.25,4.22,4.33
2020-12-01,4.21,4.21,3.85,3.86
2021-01-01,3.93,3.93,3.65,3.84
2021-02-01,3.83,3.83,3.41,3.57
2021-03-01,3.54,3.67,3.36,3.36
2021-04-01,3.33,3.35,3.21,3.28
2021-05-01,3.27,3.42,3.26,3.34
2021-06-01,3.33,3.33,3.03,3.04
2021-07-01,3.02,3.44,3.02,3.32
2021-08-01,3.36,3.42,3.16,3.21
2021-09-01,3.19,3.23,3.03,3.15
2021-10-01,3.2,3.29,3.03,3.15
2021-11-01,3.16,3.67,3.03,3.67
2021-12-01,3.58,3.58,3.01,3.1
2022-01-01,3.05,3.63,3.05,3.63
2022-02-01,3.51,3.93,3.44,3.77
2022-03-01,3.89,4.21,3.33,3.43
2022-04-01,3.4,3.97,3.27,3.97
2022-05-01,4.05,4.94,3.97,4.22
2022-06-01,4.13,5.87,4.13,5.87
2022-07-01,5.92,5.99,4.77,4.83
2022-08-01,4.8,5.03,4.21,5.03
2022-09-01,5.08,5.5,4.5,5.43
2022-10-01,5.43,5.43,4.54,4.63
2022-11-01,4.61,4.99,4.51,4.55
2022-12-01,4.48,4.81,4.34,4.81
2023-01-01,4.7,4.7,4.19,4.3
2023-02-01,4.31,4.49,3.94,4.22
2023-03-01,4.17,5.22,3.97,4.58
2023-04-01,4.58,4.84,4.37,4.53
2023-05-01,4.45,4.95,4.45,4.69
2023-06-01,4.65,4.65,4.05,4.05
2023-07-01,3.99,4.13,3.78,3.79
2023-08-01,3.82,4.02,3.79,3.85
2023-09-01,3.81,4.09,3.77,4.03
2023-10-01,4.11,4.53,4.11,4.42
2023-11-01,4.47,4.47,3.8,3.84
2023-12-01,3.87,3.87,3.32,3.39
2024-01-01,3.54,3.71,3.39,3.59
2024-02-01,3.56,3.56,3.22,3.29
2024-03-01,3.32,3.32,3.05,3.15
2024-04-01,3.12,3.42,3.1,3.18
2024-05-01,3.21,3.21,3.03,3.2
2024-06-01,3.17,3.29,3.09,3.21
2024-07-01,3.21,3.27,3.02,3.25
2024-08-01,3.35,3.93,3.13,3.17
2024-09-01,3.17,3.46,3.03,3.03
2024-10-01,3.07,3.07,2.8,2.88
2024-11-01,2.83,2.87,2.6,2.74
2024-12-01,2.68,2.94,2.64,2.92
2025-01-01,2.88,2.88,2.59,2.68
2025-02-01,2.73,2.87,2.62,2.87
2025-03-01,2.94,3.55,2.88,3.55
2025-04-01,3.5,4.61,3.42,3.94
2025-05-01,3.78,3.78,3.09,3.32
2025-06-01,3.27,3.27,2.96,2.96
2025-07-01,2.91,3.0,2.8,2.86
2025-08-01,3.13,3.13,2.75,2.84
2025-09-01,2.84,2.92,2.69,2.8
2025-10-01,2.81,3.18,2.76,2.94
2025-11-01,3.04,3.2,2.92,2.92
2025-12-01,2.94,2.99,2.81,2.81
2026-01-01,2.83,2.88,2.64,2.88
2026-02-01,2.81,3.12,2.81,3.12
2026-03-01,3.03,3.46,2.97,3.28
2026-04-01,3.16,3.17,2.82,2.83
2026-05-01,2.77,2.82,2.75,2.76
