date,open,high,low,close
1996-12-01,3.13,3.13,3.13,3.13
1997-01-01,3.06,3.16,2.9,3.04
1997-02-01,3.08,3.08,2.71,2.73
1997-03-01,2.71,2.84,2.62,2.84
1997-04-01,2.9,2.95,2.78,2.94
1997-05-01,2.91,2.91,2.6,2.68
1997-06-01,2.66,2.7,2.55,2.67
1997-07-01,2.7,2.82,2.66,2.71
1997-08-01,2.57,2.61,2.49,2.59
1997-09-01,2.62,2.69,2.54,2.59
1997-10-01,2.63,2.99,2.44,2.99
1997-11-01,2.91,2.91,2.8,2.9
1997-12-01,2.9,2.96,2.77,2.96
1998-01-01,3.02,3.16,2.89,3.0
1998-02-01,2.96,2.98,2.83,2.87
1998-03-01,2.8,2.93,2.71,2.83
1998-04-01,2.84,2.98,2.78,2.98
1998-05-01,2.98,3.18,2.9,3.18
1998-06-01,3.2,3.37,3.15,3.37
1998-07-01,3.39,3.42,3.26,3.38
1998-08-01,3.42,5.2,3.42,5.2
1998-09-01,5.26,5.95,5.26,5.95
1998-10-01,6.06,6.78,6.06,6.52
1998-11-01,6.33,6.33,5.33,5.44
1998-12-01,5.48,5.66,5.39,5.66
1999-01-01,5.63,5.67,5.37,5.6
1999-02-01,5.54,5.54,5.15,5.21
1999-03-01,5.15,5.34,5.14,5.19
1999-04-01,5.11,5.18,4.76,4.76
1999-05-01,4.7,4.81,4.6,4.75
1999-06-01,4.65,4.87,4.58,4.87
1999-07-01,4.79,4.87,4.66,4.66
1999-08-01,4.66,5.03,4.65,4.9
1999-09-01,4.91,5.26,4.9,5.07
1999-10-01,5.06,5.17,4.89,5.13
1999-11-01,5.13,5.18,4.9,4.91
1999-12-01,4.86,4.93,4.66,4.76
2000-01-01,4.68,4.87,4.68,4.87
2000-02-01,4.87,5.08,4.77,5.08
2000-03-01,5.11,5.84,5.1,5.75
2000-04-01,5.78,5.95,5.69,5.88
2000-05-01,5.83,6.19,5.72,6.16
2000-06-01,6.22,6.23,5.99,6.17
2000-07-01,6.2,6.26,5.97,6.26
2000-08-01,6.31,6.44,6.28,6.43
2000-09-01,6.48,6.77,6.3,6.77
2000-10-01,6.77,7.79,6.74,7.79
2000-11-01,7.75,9.06,7.73,9.06
2000-12-01,8.98,9.16,8.87,9.16
2001-01-01,9.36,9.36,7.87,7.87
2001-02-01,7.83,7.83,7.38,7.7
2001-03-01,7.68,8.4,7.53,8.18
2001-04-01,8.21,9.02,8.06,8.06
2001-05-01,7.95,7.95,7.52,7.68
2001-06-01,7.65,8.47,7.65,8.16
2001-07-01,8.18,8.45,8.07,8.27
2001-08-01,8.09,8.23,7.87,8.05
2001-09-01,8.04,10.25,7.87,10.18
2001-10-01,10.14,10.17,9.57,9.61
2001-11-01,9.56,9.56,8.13,8.39
