Date,ndx_buy_hold,baseline,drawdown_15,drawdown_20,drawdown_25
2012-04-30,16913.170101652395,52692.42803656008,37700.91920836546,30276.752998363703,25767.958649529846
2012-05-01,16933.289451623517,52755.10921307071,37745.7669798493,30312.769226303364,25798.61136424834
2012-05-02,16982.03540757208,52906.97564381403,37854.42593236416,30400.030766218908,25872.877972439765
2012-05-03,16794.6273883966,52323.11209224287,37436.67724613507,30064.5462726328,25587.35361126562
2012-05-04,16380.628295009283,51033.31146324185,36513.83745452161,29323.434569936107,24956.607780931594
2012-05-07,16389.073454256424,51059.62208054262,36532.66244502101,29338.552492774987,24969.474352541838
2012-05-08,16330.64040387732,50877.57582407194,36402.41012105096,29233.949806073677,24880.449029856318
2012-05-09,16277.733965064363,50712.74754509956,36284.47709233419,29139.240465936047,24799.843743003974
2012-05-10,16246.00252112842,50613.889269800406,36213.7449589137,29082.43709409294,24751.499492321407
2012-05-11,16244.388005389997,50608.85929884585,36210.14606367117,29079.54690296198,24749.039706572392
2012-05-14,16084.799334322743,50111.6660160301,35854.409110851826,28793.86262578627,24505.89934599666
2012-05-15,16025.621122833598,49927.298234503476,35722.49575830831,28687.926004716828,24415.73873758083
2012-05-16,15906.457441986102,49556.04768597297,35456.869605600004,28474.607667012468,24234.187627874664
2012-05-17,15580.387359583703,48540.18701357395,35463.759491324025,28479.94385526112,24238.580235093665
2012-05-18,15390.86805059644,47949.74580767758,35463.759491324025,28479.94385526112,24238.580235093665
2012-05-21,15806.295369444668,49243.996026369154,35463.759491324025,28479.94385526112,24238.580235093665
2012-05-22,15767.609088481671,49123.47018388113,35463.759491324025,28479.94385526112,24238.580235093665
2012-05-23,15816.541334707741,49275.91699588845,35463.759491324025,28479.94385526112,24238.580235093665
2012-05-24,15718.863132533112,48971.60375313781,35463.759491324025,28479.94385526112,24238.580235093665
2012-05-25,15692.161526089953,48888.4157719663,35463.759491324025,28479.94385526112,24238.580235093665
