Date,breadth_daily_return,large_breadth_decline,large_decline_count_10,breadth_slope_10,count_3,count_4,count_5,price,open,breadth
2002-01-02,,False,,,False,False,False,1610.39,1590.71,65.91
2002-01-03,0.058564709452283426,False,,,False,False,False,1666.66,1618.3,69.77
2002-01-04,0.028808943672065324,False,,,False,False,False,1675.03,1685.54,71.78
2002-01-07,-0.012259682362775082,False,,,False,False,False,1649.83,1691.36,70.9
2002-01-08,0.009167842031029494,False,,,False,False,False,1666.58,1651.42,71.55
2002-01-09,-0.011460517120894353,False,,,False,False,False,1653.76,1688.26,70.73
2002-01-10,0.0038173335218436577,False,,,False,False,False,1656.68,1653.97,71.0
2002-01-11,-0.015352112676056406,False,,,False,False,False,1634.17,1659.47,69.91
2002-01-14,-0.028322128450865236,True,,,False,False,False,1603.76,1624.91,67.93
2002-01-15,0.01177682908876787,False,1.0,0.0159393939393946,False,False,False,1612.46,1607.01,68.73
2002-01-16,-0.046122508366070125,True,2.0,-0.47721212121212075,False,False,False,1558.98,1588.77,65.56
2002-01-17,0.02593044539353273,False,2.0,-0.6160606060606058,False,False,False,1602.32,1587.01,67.26
2002-01-18,-0.03597977995837054,True,3.0,-0.7224848484848482,True,False,False,1548.22,1558.41,64.84
2002-01-22,-0.028531770512029597,True,4.0,-0.9043636363636358,True,True,False,1501.78,1567.59,62.99
2002-01-23,0.03079853945070643,False,4.0,-0.8412121212121207,True,True,False,1549.21,1511.95,64.93
2002-01-24,0.012012937009086455,False,4.0,-0.709939393939394,True,True,False,1565.13,1565.34,65.71
2002-01-25,-0.003043676761527725,False,4.0,-0.5107272727272728,True,True,False,1558.26,1546.1,65.51
2002-01-28,0.0,False,4.0,-0.31763636363636394,True,True,False,1564.86,1573.39,65.51
2002-01-29,-0.052663715463288074,True,4.0,-0.39139393939393946,True,True,False,1519.33,1570.7,62.06
2002-01-30,0.026103770544634086,False,4.0,-0.25230303030303053,True,True,False,1538.94,1525.09,63.68
2002-01-31,0.02449748743718594,False,3.0,-0.17824242424242492,True,False,False,1550.17,1549.47,65.24
2002-02-01,-0.011496014714898806,False,3.0,-0.027878787878788707,True,False,False,1528.15,1544.42,64.49
2002-02-04,-0.05411691735152724,True,3.0,-0.19563636363636433,True,False,False,1479.17,1526.32,61.0
2002-02-05,-0.015737704918032835,False,2.0,-0.49254545454545523,False,False,False,1462.86,1468.61,60.04
2002-02-06,-0.030313124583610906,True,3.0,-0.723636363636364,True,False,False,1445.96,1480.45,58.22
2002-02-07,-0.02164204740638953,True,4.0,-0.8901212121212126,True,True,False,1413.86,1445.11,56.96
2002-02-08,0.051439606741572996,False,4.0,-0.8040606060606061,True,True,False,1452.17,1426.26,59.89
2002-02-11,0.034062447821005204,False,4.0,-0.5386060606060604,True,True,False,1477.64,1451.13,61.93
2002-02-12,-0.0003229452607783623,False,3.0,-0.4608484848484846,True,False,False,1464.76,1458.28,61.91
2002-02-13,0.016960103375868174,False,3.0,-0.21599999999999958,True,False,False,1486.75,1476.25,62.96
2002-02-14,-0.012229987293519762,False,3.0,0.0995757575757577,False,False,False,1474.71,1491.19,62.19
2002-02-15,0.0009647853352630076,False,3.0,0.4053939393939393,False,False,False,1436.7,1477.46,62.25
2002-02-19,-0.05799196787148597,True,3.0,0.3087878787878788,False,False,False,1387.27,1421.07,58.64
2002-02-20,0.03291268758526611,False,3.0,0.2820606060606061,False,False,False,1408.26,1400.83,60.57
2002-02-21,-0.03334984315667833,True,3.0,0.01739393939393925,False,False,False,1348.25,1397.17,58.55
2002-02-22,0.032792485055508136,False,2.0,-0.23054545454545464,False,False,False,1356.16,1351.24,60.47
2002-02-25,0.02695551513147021,False,2.0,-0.23678787878787866,False,False,False,1407.99,1366.44,62.1
2002-02-26,0.008695652173912993,False,2.0,-0.10436363636363614,False,False,False,1401.19,1416.1,62.64
2002-02-27,0.011494252873563093,False,2.0,0.05739393939393943,False,False,False,1378.48,1420.3,63.36
