Date,ndx_return_60_pct,rolling_breadth_max_60,breadth,breadth_drawdown_60_points,robust_signal,next_session_open
2002-01-02,,,65.91,,False,1618.3
2002-01-03,,,69.77,,False,1685.54
2002-01-04,,,71.78,,False,1691.36
2002-01-07,,,70.9,,False,1651.42
2002-01-08,,,71.55,,False,1688.26
2002-01-09,,,70.73,,False,1653.97
2002-01-10,,,71.0,,False,1659.47
2002-01-11,,,69.91,,False,1624.91
2002-01-14,,,67.93,,False,1607.01
2002-01-15,,,68.73,,False,1588.77
2002-01-16,,,65.56,,False,1587.01
2002-01-17,,,67.26,,False,1558.41
2002-01-18,,,64.84,,False,1567.59
2002-01-22,,,62.99,,False,1511.95
2002-01-23,,,64.93,,False,1565.34
2002-01-24,,,65.71,,False,1546.1
2002-01-25,,,65.51,,False,1573.39
2002-01-28,,,65.51,,False,1570.7
2002-01-29,,,62.06,,False,1525.09
2002-01-30,,,63.68,,False,1549.47
2002-01-31,,,65.24,,False,1544.42
2002-02-01,,,64.49,,False,1526.32
2002-02-04,,,61.0,,False,1468.61
2002-02-05,,,60.04,,False,1480.45
2002-02-06,,,58.22,,False,1445.11
2002-02-07,,,56.96,,False,1426.26
2002-02-08,,,59.89,,False,1451.13
2002-02-11,,,61.93,,False,1458.28
2002-02-12,,,61.91,,False,1476.25
2002-02-13,,,62.96,,False,1491.19
2002-02-14,,,62.19,,False,1477.46
2002-02-15,,,62.25,,False,1421.07
2002-02-19,,,58.64,,False,1400.83
2002-02-20,,,60.57,,False,1397.17
2002-02-21,,,58.55,,False,1351.24
2002-02-22,,,60.47,,False,1366.44
2002-02-25,,,62.1,,False,1416.1
2002-02-26,,,62.64,,False,1420.3
2002-02-27,,,63.36,,False,1386.15
2002-02-28,,,63.12,,False,1373.15
2002-03-01,,,66.32,,False,1434.69
2002-03-04,,,69.43,,False,1484.83
2002-03-05,,,69.52,,False,1488.8
2002-03-06,,,72.53,,False,1531.43
2002-03-07,,,72.22,,False,1537.03
2002-03-08,,,73.06,,False,1542.09
2002-03-11,,,74.27,,False,1510.06
2002-03-12,,,72.99,,False,1502.4
2002-03-13,,,71.65,,False,1488.36
2002-03-14,,,72.38,,False,1484.46
2002-03-15,,,73.13,,False,1511.83
2002-03-18,,,73.46,,False,1510.46
2002-03-19,,,73.77,,False,1482.1
2002-03-20,,,72.23,,False,1452.18
2002-03-21,,,72.58,,False,1483.04
2002-03-22,,,72.17,,False,1473.62
2002-03-25,,,70.16,,False,1423.57
2002-03-26,,,70.9,,False,1431.35
2002-03-27,,,72.32,,False,1447.48
2002-03-28,,74.27,73.59,0.6799999999999926,False,1440.38
2002-04-01,-8.188699631766227,74.27,72.95,1.3199999999999932,False,1444.95
2002-04-02,-15.375061500246002,74.27,72.49,1.7800000000000011,False,1417.78
2002-04-03,-16.765072864366605,74.27,71.2,3.069999999999993,False,1385.53
2002-04-04,-15.32642757132553,74.27,71.38,2.8900000000000006,False,1405.92
2002-04-05,-17.392504410229325,74.27,71.22,3.049999999999997,False,1346.77
2002-04-08,-15.770123839009287,74.27,71.23,3.039999999999992,False,1397.59
2002-04-09,-18.79421493589589,74.27,71.16,3.1099999999999994,False,1356.47
2002-04-10,-16.57599882509164,74.27,72.81,1.4599999999999937,False,1352.76
2002-04-11,-17.40347682945078,74.27,71.06,3.2099999999999937,False,1340.66
2002-04-12,-16.162261389429823,74.27,72.61,1.6599999999999966,False,1358.76
2002-04-15,-13.078423071495472,74.27,72.66,1.6099999999999994,False,1382.86
2002-04-16,-11.757326876029751,75.19,75.19,0.0,False,1422.42
2002-04-17,-9.333944788208392,75.32,75.32,0.0,False,1397.75
2002-04-18,-7.050300310298441,75.43,75.43,0.0,False,1408.31
2002-04-19,-10.598950432801235,75.89,75.89,0.0,False,1365.34
2002-04-22,-13.756045823669606,75.89,74.16,1.730000000000004,False,1348.93
2002-04-23,-15.109801958594849,75.89,73.83,2.0600000000000023,False,1334.87
2002-04-24,-16.77721968738417,75.89,72.98,2.9099999999999966,False,1295.59
2002-04-25,-14.2832695990996,75.89,72.63,3.260000000000005,False,1310.8
2002-04-26,-18.717428879618435,75.89,71.05,4.840000000000003,False,1256.58
2002-04-29,-19.573337117864497,75.89,70.52,5.3700000000000045,False,1245.65
2002-04-30,-16.430324248274065,75.89,72.3,3.5900000000000034,False,1273.63
2002-05-01,-14.314784642738832,75.89,73.2,2.6899999999999977,False,1262.66
2002-05-02,-16.234636260476055,75.89,73.15,2.739999999999995,False,1223.89
2002-05-03,-17.650557415142888,75.89,72.95,2.9399999999999977,False,1191.53
2002-05-06,-17.873056738290906,75.89,71.12,4.769999999999996,False,1173.76
2002-05-07,-20.171192078062493,75.89,70.53,5.359999999999999,False,1212.99
2002-05-08,-13.212284453588152,75.89,73.48,2.4099999999999966,False,1268.91
2002-05-09,-15.31650236216171,75.89,71.34,4.549999999999997,False,1247.09
2002-05-10,-20.041701698335302,75.89,69.46,6.430000000000007,False,1200.69
2002-05-13,-15.811244244631151,75.89,70.71,5.180000000000007,False,1287.73
2002-05-14,-9.12855850212293,75.89,73.6,2.2900000000000063,False,1290.4
2002-05-15,-5.49424409091237,75.89,73.75,2.1400000000000006,False,1309.25
2002-05-16,-6.561998494596177,75.89,73.59,2.299999999999997,False,1333.23
2002-05-17,-1.665121453736329,75.89,74.23,1.6599999999999966,False,1309.83
2002-05-20,-4.715520292590847,75.89,72.49,3.4000000000000057,False,1300.82
2002-05-21,-10.801213076797412,75.89,71.03,4.859999999999999,False,1246.08
2002-05-22,-9.754565761959476,75.89,70.43,5.459999999999994,False,1270.28
