variant,record_type,component,entry_date,exit_date,signal_date,component_return_pct,allocation_at_entry,portfolio_contribution_pct,sell_reason,cluster,return_pct,max_drawdown_pct,accumulated,buy_trigger,component_events
20%,component_exit,breadth,2002-07-24,2002-08-15,2002-08-14,11.266436389334928,0.8,9.013149111467943,climax-top,,,,,,
20%,component_exit,breadth,2002-10-10,2002-11-12,2002-11-11,21.249727099487348,0.8165003314265191,17.350409219454505,climax-top,,,,,,
20%,component_exit,breadth,2003-01-10,2003-03-18,2003-03-17,1.3553900874935836,0.8436039400210354,1.1434124180750431,climax-top,,,,,,
20%,component_exit,breadth,2004-03-25,2004-06-14,2004-06-10,5.375851021555637,0.8105429032568479,4.357357894487998,bearish-divergence,,,,,,
20%,component_exit,breadth,2005-03-31,2007-07-27,2007-07-26,33.3965882431005,0.8296670524594677,27.708048929855707,bearish-divergence,,,,,,
20%,component_exit,breadth,2008-01-23,2008-09-30,2008-09-29,-10.808117263218783,0.8413845744876447,-9.093783144525903,trailing-stop,,,,,,
20%,component_exit,breadth,2008-10-17,2008-11-05,2008-11-04,5.178220440872035,0.8382266263517341,4.340522250657755,climax-top,,,,,,
20%,component_exit,breadth,2008-11-24,2009-01-14,2009-01-13,6.924540387985798,0.8449376748589636,5.850805054891706,climax-top,,,,,,
20%,component_exit,breadth,2009-02-02,2009-02-18,2009-02-17,2.1030798495609764,0.853491804370683,1.7949614155374223,climax-top,,,,,,
20%,component_exit,breadth,2009-03-09,2011-09-19,2011-09-16,114.8900692497403,0.8560593636180284,98.3527195679639,bearish-divergence,,,,,,
20%,component_exit,breadth,2011-10-06,2014-08-08,2014-08-07,76.9464260343174,0.9087663011935406,69.92631897726898,bearish-divergence,,,,,,
20%,component_exit,breadth,2015-08-25,2018-03-23,2018-03-22,59.447425295777634,0.9279775128046582,55.16587386861645,bearish-divergence,,,,,,
20%,component_exit,breadth,2018-10-15,2020-02-26,2020-02-25,24.473917241435135,0.9348891769337211,22.880400346189298,bearish-divergence,,,,,,
20%,component_exit,breadth,2020-03-16,2021-12-01,2021-11-30,117.6893390777586,0.9463606407906318,111.37655834385357,bearish-divergence,,,,,,
