years,window_id,start_date,end_date,deployed_usd,strategy_final_usd,strategy_return_pct,ndx_buyhold_final_usd,ndx_buyhold_return_pct,excess_return_pp
1,22,2017-01-12,2018-01-11,1000000,1382394,38.2394,1330672,33.0672,5.1722
1,23,2018-01-12,2019-01-14,1000000,835387,-16.4613,967818,-3.2182,-13.2431
1,24,2019-01-15,2020-01-14,1000000,1443070,44.307,1354409,35.4409,8.8661
1,25,2020-01-15,2021-01-13,1000000,1708533,70.8533,1435824,43.5824,27.2709
1,26,2021-01-14,2022-01-12,1000000,1347739,34.7739,1233079,23.3079,11.4661
1,27,2022-01-13,2023-01-13,1000000,960845,-3.9155,744822,-25.5178,21.6023
1,28,2023-01-17,2024-01-17,1000000,1299480,29.948,1448127,44.8127,-14.8647
1,29,2024-01-18,2025-01-17,1000000,1284648,28.4648,1262559,26.2559,2.2089
1,30,2025-01-21,2026-01-21,1000000,1217073,21.7073,1174348,17.4348,4.2725
2,1,1996-01-02,1997-12-26,1200000,1869173,55.7644,1859145,54.9288,0.8356
2,2,1997-12-29,1999-12-28,1200000,2422123,101.8436,4051185,237.5987,-135.7552
2,3,1999-12-29,2002-01-02,1200000,1304868,8.739,567373,-52.7189,61.4579
2,4,2002-01-03,2004-01-06,1200000,1258763,4.8969,1180885,-1.5929,6.4899
2,5,2004-01-07,2006-01-06,1200000,1459361,21.6134,1367518,13.9599,7.6536
2,6,2006-01-09,2008-01-09,1200000,1356070,13.0058,1333660,11.1383,1.8675
2,7,2008-01-10,2010-01-08,1200000,2045825,70.4854,1278248,6.5206,63.9648
2,8,2010-01-11,2012-01-09,1200000,1805278,50.4399,1452011,21.001,29.4389
2,9,2012-01-10,2014-01-10,1200000,1683091,40.2576,1765361,47.1134,-6.8558
2,10,2014-01-13,2016-01-12,1200000,1326924,10.577,1441736,20.1446,-9.5676
2,11,2016-01-13,2018-01-11,1200000,1866419,55.5349,1869839,55.8199,-0.285
2,12,2018-01-12,2020-01-14,1200000,1611334,34.2778,1607475,33.9563,0.3216
2,13,2020-01-15,2022-01-12,1200000,2422438,101.8699,2006873,67.2394,34.6305
2,14,2022-01-13,2024-01-17,1200000,1459897,21.6581,1369691,14.1409,7.5172
2,15,2024-01-18,2026-01-21,1200000,2510715,109.2263,1726222,43.8518,65.3744
3,1,1996-01-02,1998-12-28,1400000,4547718,224.837,3927114,180.5081,44.3289
3,2,1998-12-29,2002-01-02,1400000,1590794,13.6281,1101430,-21.3264,34.9546
3,3,2002-01-03,2005-01-06,1400000,1556912,11.208,1430852,2.2037,9.0042
3,4,2005-01-07,2008-01-09,1400000,1676022,19.7158,1684100,20.2929,-0.577
3,5,2008-01-10,2011-01-07,1400000,2976736,112.624,1779075,27.0768,85.5472
3,6,2011-01-10,2014-01-10,1400000,2237614,59.8296,2121260,51.5186,8.311
3,7,2014-01-13,2017-01-11,1400000,1814146,29.5819,1921553,37.2538,-7.6719
3,8,2017-01-12,2020-01-14,1400000,2371528,69.3948,2330037,66.4312,2.9636
3,9,2020-01-15,2023-01-13,1400000,2776564,98.326,1605244,14.6603,83.6657
3,10,2023-01-17,2026-01-21,1400000,3713266,165.2333,2724553,94.611,70.6223
4,1,1996-01-02,1999-12-28,1600000,4779091,198.6932,8100444,406.2777,-207.5846
4,2,1999-12-29,2004-01-06,1600000,1771794,10.7371,989201,-38.1749,48.9121
4,3,2004-01-07,2008-01-09,1600000,2108823,31.8014,1974812,23.4258,8.3757
4,4,2008-01-10,2012-01-09,1600000,3809476,138.0922,2042663,27.6665,110.4258
4,5,2012-01-10,2016-01-12,1600000,2319045,44.9403,2600757,62.5473,-17.607
4,6,2016-01-13,2020-01-14,1600000,3054203,90.8877,3056061,91.0038,-0.1161
4,7,2020-01-15,2024-01-17,1600000,3738394,133.6496,2617388,63.5867,70.0629
5,1,1996-01-02,2000-12-26,1800000,4449772,147.2095,5571291,209.5162,-62.3067
5,2,2000-12-27,2006-01-06,1800000,2747764,52.6536,1688062,-6.2188,58.8723
5,3,2006-01-09,2011-01-07,1800000,4842058,169.0032,2404523,33.5846,135.4186
5,4,2011-01-10,2016-01-12,1800000,2943805,63.5447,3033389,68.5216,-4.9769
5,5,2016-01-13,2021-01-13,1800000,5590357,210.5754,4676223,159.7902,50.7852
5,6,2021-01-14,2026-01-21,1800000,6150933,241.7185,3261810,81.2117,160.5069
6,1,1996-01-02,2002-01-02,2000000,5716426,185.8213,3862077,93.1038,92.7175
6,2,2002-01-03,2008-01-09,2000000,2751597,37.5798,2478261,23.913,13.6668
6,3,2008-01-10,2014-01-10,2000000,5972126,198.6063,3658603,82.9301,115.6762
6,4,2014-01-13,2020-01-14,2000000,4187586,109.3793,4333692,116.6846,-7.3053
6,5,2020-01-15,2026-01-21,2000000,9397708,369.8854,4493965,124.6983,245.1872
7,1,1996-01-02,2003-01-06,2200000,6247191,183.9632,2673045,21.5021,162.4612
7,2,2003-01-07,2010-01-08,2200000,5429104,146.7775,3186552,44.8433,101.9342
7,3,2010-01-11,2017-01-11,2200000,4915063,123.412,4685143,112.961,10.4509
7,4,2017-01-12,2024-01-17,2200000,8309604,277.7093,5452467,147.8394,129.8699
8,1,1996-01-02,2004-01-06,2400000,6424429,167.6845,4060635,69.1931,98.4914
8,2,2004-01-07,2012-01-09,2400000,8616624,259.026,3461628,44.2345,214.7915
8,3,2012-01-10,2020-01-14,2400000,6260967,160.8736,6749614,181.2339,-20.3603
9,1,1996-01-02,2005-01-06,2600000,7048958,171.1138,4418522,69.9432,101.1706
9,2,2005-01-07,2014-01-10,2600000,10561560,306.2139,5278944,103.0363,203.1775
9,3,2014-01-13,2023-01-13,2600000,10664075,310.1567,6120293,135.3959,174.7609
10,1,1996-01-02,2006-01-06,2800000,8362512,198.6611,5143737,83.7049,114.9562
10,2,2006-01-09,2016-01-12,2800000,10768223,284.5794,6092733,117.5976,166.9818
10,3,2016-01-13,2026-01-21,2800000,25186739,799.5264,10819738,286.4192,513.1072
11,1,1996-01-02,2007-01-09,3000000,9048344,201.6115,5529686,84.3229,117.2886
11,2,2007-01-10,2018-01-11,3000000,18105043,503.5014,9122063,204.0688,299.4327
12,1,1996-01-02,2008-01-09,3200000,10003250,212.6016,6217260,94.2894,118.3122
12,2,2008-01-10,2020-01-14,3200000,16875576,427.3617,11546828,260.8384,166.5234
13,1,1996-01-02,2009-01-08,3400000,11246670,230.7844,4123321,21.2742,209.5103
13,2,2009-01-09,2022-01-12,3400000,37209020,994.3829,23191753,582.1104,412.2725
14,1,1996-01-02,2010-01-08,3600000,20175581,460.4328,6539942,81.665,378.7678
14,2,2010-01-11,2024-01-17,3600000,30118986,736.6385,18323124,408.9757,327.6628
15,1,1996-01-02,2011-01-07,3800000,26619096,600.5025,8108654,113.3856,487.1169
15,2,2011-01-10,2026-01-21,3800000,56664030,1391.1587,23703512,523.7766,867.3821
16,1,1996-01-02,2012-01-09,4000000,31857852,696.4463,8577835,114.4459,582.0004
17,1,1996-01-02,2013-01-10,4200000,38438405,815.2001,10245712,143.9455,671.2546
18,1,1996-01-02,2014-01-10,4400000,46356805,953.5637,13570079,208.4109,745.1529
19,1,1996-01-02,2015-01-12,4600000,53188334,1056.2681,16109941,250.2161,806.052
20,1,1996-01-02,2016-01-12,4800000,52617745,996.203,16950602,253.1375,743.0655
