qqq,stock,tqqq,spy,soxx,sharpe,cagr,mdd,calmar,final
0,0,0,0,100,1.0836556619238926,0.26907833010334925,-0.3698678356150769,0.7274985932634063,3423256.2110791495
0,0,0,10,90,1.0965298834730715,0.2642925293515932,-0.35973659695370347,0.7346834644838943,3120719.2478791014
0,0,0,20,80,1.1091327990992221,0.2590392315733512,-0.34952384204260306,0.7411203483560277,2818182.284679053
0,0,0,30,70,1.1213802870927672,0.25321446597678055,-0.339228583084572,0.7464420116793414,2515645.3214790043
0,0,0,40,60,1.1331591664434797,0.24667480824660615,-0.32884981625778087,0.7501138697709995,2213108.358278956
0,0,0,50,50,1.1442885314562692,0.23921436078553437,-0.318386521389499,0.7513331900532649,1910571.3950789073
0,0,0,60,40,1.1544159391911326,0.23052195129375463,-0.30783766162181636,0.7488425882631432,1608034.431878859
0,0,0,70,30,1.1627143458447946,0.22009375021832822,-0.29749731078758307,0.7398176125883639,1305497.4686788102
0,0,0,80,20,1.1668724293215973,0.2070302590872597,-0.28732359907247834,0.7205473541177368,1002960.5054787621
0,0,0,90,10,1.1589368759045453,0.18946418649352048,-0.2770813857846463,0.6837853288375574,700423.5422787135
0,0,0,100,0,1.1002603048618371,0.16231210058579082,-0.26676997673548597,0.6084346618462628,397886.57907866506
0,0,10,0,90,1.0908104698475525,0.34933405997802147,-0.4909298207529597,0.7115763704112191,15368657.607054584
0,0,10,10,80,1.0949267927309667,0.34823908122687874,-0.4941083942310311,0.7047827668842477,15066120.643854532
0,0,10,20,70,1.0980172233031598,0.3471228059036624,-0.49739929672890587,0.6978755462391664,14763583.680654489
0,0,10,30,60,1.1000163142446155,0.34598437042579744,-0.5008085898205894,0.69085150985478,14461046.717454437
0,0,10,40,50,1.1008642885834068,0.344822857197981,-0.5043427792003621,0.6837073344139066,14158509.75425439
0,0,10,50,40,1.1005080429005198,0.34363728999456633,-0.508008856116559,0.6764395656829282,13855972.79105434
0,0,10,60,30,1.0989019908285405,0.3424266288365365,-0.5118143435321758,0.6690446119062496,13553435.827854294
0,0,10,70,20,1.0960086965422071,0.3411897642950923,-0.5157673476536134,0.6615187367856282,13250898.864654243
0,0,10,80,10,1.0917992530536555,0.33992551114295333,-0.5198766155702761,0.6538580520111944,12948361.901454195
0,0,10,90,0,1.0862533679415018,0.3386326012614955,-0.5241515998675479,0.6460585093073594,12645824.938254148
0,0,20,0,80,1.1036678570089897,0.3813938056138382,-0.5244836529927396,0.727179585936719,27314059.003030017
