Date,ndx_buy_hold,baseline,ma_150,ma_200,ma_250
2022-06-28,72266.78009674675,329792.30229423335,310337.0020393872,310337.0020393872,331625.45734488877
2022-06-29,72394.01635628636,330372.949984814,310883.3958220265,310883.3958220265,332209.3325736479
2022-06-30,71434.37304007103,325993.57984804804,306762.3760480349,306762.3760480349,327805.61964771117
2022-07-01,71943.3180782295,328316.17061037064,308947.95117859234,308947.95117859234,330141.1205627479
2022-07-05,73149.4234315911,333820.2799779392,314127.35890929244,314127.35890929244,335675.82459797955
2022-07-06,73600.74267723967,335879.8931624879,316065.4701890499,316065.4701890499,337746.88617075735
2022-07-07,75193.27616291706,343147.48255859886,322904.32570372504,322904.32570372504,345054.8725625377
2022-07-08,75296.60517017616,343619.0285601247,323348.0539879183,323348.0539879183,345529.03965900204
2022-07-11,73648.4950850415,336097.8131595872,316270.5345223099,316270.5345223099,337966.0174791594
2022-07-12,72932.58154856898,332830.71348916047,313196.16950520425,313196.16950520425,334680.75759025523
2022-07-13,72830.37028297492,332364.2683458243,312757.2411663929,312757.2411663929,334211.71970517095
2022-07-14,73077.95006178626,333494.10843481653,313820.4290684833,313820.4290684833,335347.8400258459
2022-07-15,74414.39651264601,339593.0345434925,319559.56376343925,319559.56376343925,341480.6670992257
2022-07-18,73755.42570433249,336585.79525972385,316729.7292971781,316729.7292971781,338456.7120345149
2022-07-19,76064.92837138829,347125.3018034406,326647.4831107084,326647.4831107084,349054.8025703917
2022-07-20,77246.38131135935,352516.90890982794,331721.02537937445,331721.02537937445,354476.37899907504
2022-07-21,78362.44636392426,357610.1158121247,336513.7708431995,336513.7708431995,359597.8965620271
2022-07-22,76978.06121498518,351292.41956331785,330568.7718240866,330568.7718240866,353245.0833116819
2022-07-25,76555.43067207321,349363.72840563516,328753.85914246464,328753.85914246464,351305.67149765807
2022-07-26,75055.7318413552,342519.79362026986,322313.66575811926,322313.66575811926,344423.6946066072
2022-07-27,78251.04477797303,357101.73027922976,336035.3762868036,336035.3762868036,359086.6851611515
2022-07-28,78973.85105471346,360400.2852418256,339139.34096709767,339139.34096709767,362403.5751868992
2022-07-29,80402.75957997752,366921.16567518405,345275.5378105894,345275.5378105894,368960.70202388195
2022-08-01,80358.04991337501,366717.1313476009,345083.53999531356,345083.53999531356,368755.5335686811
2022-08-02,80114.75481094641,365606.84454833536,344038.7518838538,344038.7518838538,367639.07522496296
2022-08-03,82298.44944392351,375572.2211647138,353416.24517828826,353416.24517828826,377659.8445243995
2022-08-04,82657.2445184086,377209.59664356936,354957.0276458775,354957.0276458775,379306.32137738663
2022-08-05,82015.47451238519,374280.8538997181,352201.05900577107,352201.05900577107,376361.2991766905
2022-08-08,81714.11894013251,372905.60585560487,350906.94039808493,350906.94039808493,374978.40679739893
2022-08-09,80776.51997342258,368626.8359775779,346880.5862135696,346880.5862135696,370675.8533181238
2022-08-10,83075.03151410527,379116.1840824305,356751.14056417794,356751.14056417794,381223.50660876365
2022-08-11,82538.95019218947,376669.7558185053,354449.0334262933,354449.0334262933,378763.47983966756
2022-08-12,84239.65623234122,384430.9949349635,361752.4169884832,361752.4169884832,386567.85991055897
2022-08-15,84868.75849949391,387301.9279526661,364453.98624759476,364453.98624759476,389454.7510489481
2022-08-16,84670.23516042698,386395.95886199444,363601.4626150432,363601.4626150432,388543.74611661857
2022-08-17,83649.67492346573,381738.59195389634,359218.84581773815,359218.84581773815,383860.49117047066
2022-08-18,83867.82083843043,382734.1094438962,360155.6351581052,360155.6351581052,384861.5422581383
2022-08-19,82234.11720142326,375278.63843780226,353139.9816551968,353139.9816551968,377364.6299138604
2022-08-22,80046.07579530425,365293.42515068664,343743.8219064994,343743.8219064994,367323.91368127934
2022-08-23,79991.74113103037,365045.46676647087,343510.49122821266,343510.49122821266,367074.5770169727
2022-08-24,80215.72414135706,366067.6220714608,344472.34695001855,344472.34695001855,368102.41398629156
2022-08-25,81617.37218934543,372464.09824119555,350491.4784589184,350491.4784589184,374534.44505683926
2022-08-26,78274.02057886598,357206.58125312673,336134.0418307649,336134.0418307649,359192.1189506298
2022-08-29,77523.58124429485,353781.921740844,332911.4118340851,332911.4118340851,355748.42342132045
2022-08-30,76644.16694092735,349768.67986968585,329134.9214730609,329134.9214730609,351712.8738899943
2022-08-31,76205.32914387198,347766.02626825415,327250.4095834013,327250.4095834013,349699.08851096
2022-09-01,76221.41220449706,347839.421949982,327319.4754641741,327319.4754641741,349772.8921635948
2022-09-02,75127.39150143754,342846.8153064242,322621.39558982546,322621.39558982546,344752.53404730425
2022-09-06,74586.34243878811,340377.7165616563,320297.9553613545,320297.9553613545,342269.7107831857
2022-09-07,76126.83884028092,347407.83267094125,326913.34675213904,326913.34675213904,349338.9038896073
2022-09-08,76510.59681195237,349159.1273160309,328561.3279999241,328561.3279999241,351099.9331300816
2022-09-09,78169.2012493868,356728.23410734825,335683.91361939587,335683.91361939587,358711.1129056589
2022-09-12,79109.5324735002,361019.4727498386,339722.00100373355,339722.00100373355,363026.2044571963
2022-09-13,74724.88030849671,341009.9395961539,320892.8819250776,320892.8819250776,342905.44803812075
2022-09-14,75350.69144741335,343865.8534202982,323580.3180116756,323580.3180116756,345777.2364985575
2022-09-15,74065.847403424,338002.4169313747,318062.780795184,318062.780795184,339881.20801722206
2022-09-16,73655.32572855022,336128.98507074575,316299.8675218659,316299.8675218659,337997.36265981506
2022-09-19,74225.93284856463,338732.97317652695,318750.2396393248,318750.2396393248,340615.8250693164
2022-09-20,73594.22251752681,335850.138156382,316037.47050765547,316037.47050765547,337716.96577104053
2022-09-21,72266.9042902651,329792.8690562544,310337.5353666518,310337.5353666518,331626.0272572643
2022-09-22,71421.51901092281,325934.9199788678,306707.176676143,306707.176676143,327746.63371684094
2022-09-23,70239.1346195642,320539.06215732254,301629.634452992,301629.634452992,322320.7829453408
2022-09-26,69884.3758344252,318920.1064441516,300106.1851215041,300106.1851215041,320692.8282445594
2022-09-27,69993.91451760133,319419.9905467305,300576.5797689301,300576.5797689301,321195.49095980154
2022-09-28,71372.95934525177,325713.3160286316,306498.64571566274,306498.64571566274,327523.79797799775
2022-09-29,69329.66548475834,316388.6638770667,297724.0788939211,297724.0788939211,318147.3146191295
2022-09-30,68127.72061426114,310903.5410372037,292562.5376265869,292562.5376265869,312631.702648479
2022-10-03,69732.9839355684,318229.22354047385,299456.05918588926,299456.05918588926,319998.10505875415
2022-10-04,71923.81969585008,328227.1889730635,308864.21879804146,308864.21879804146,330051.6443197853
2022-10-05,71865.69712926682,327961.9443472053,308614.6216381828,308614.6216381828,329784.92532802414
2022-10-06,71321.23274486304,325477.25964685815,306276.5149099338,306276.5149099338,327286.42947357777
2022-10-07,68551.53099559734,312837.6164340865,294382.51691722317,294382.51691722317,314576.52863007074
2022-10-10,67852.94245493328,309649.5800655983,291382.551053537,291382.551053537,311370.7715175569
2022-10-11,67010.78620706785,305806.36680075945,287766.0588719093,287766.0588719093,307506.19569889805
2022-10-12,66975.14266730419,305643.706100714,287612.99394695327,287612.99394695327,307342.630847113
2022-10-13,68514.95600444613,312670.70501888305,294225.4520377822,294225.4520377822,314408.6894354689
2022-10-14,66394.22748526753,302992.6767471844,285118.355666528,285118.355666528,304676.8657104403
2022-10-17,68694.72612224368,313491.093044374,294997.4432533708,294997.4432533708,315233.6375990892
2022-10-18,69223.85260713243,315905.7826351196,297269.6840644347,297269.6840644347,317661.749275154
2022-10-19,68948.39138345368,314648.7044723984,296086.76419142925,296086.76419142925,316397.68362616637
2022-10-20,68596.48904923651,313042.78428571194,294575.5813870284,294575.5813870284,314782.8369100228
2022-10-21,70233.48381447972,320513.2744853641,301605.3680624502,301605.3680624502,322294.85193225293
2022-10-24,70978.2102472072,323911.8629446779,304803.4650049559,304803.4650049559,325712.3314922866
2022-10-25,72466.85585479293,330705.3559101683,311196.1922627468,311196.1922627468,332543.5861819127
2022-10-26,70826.94254186873,323221.5468030212,304153.8723966057,304153.8723966057,325018.1782188569
