trade_num,entry_date,exit_date,held_days,entry_value,mid_contribs,exit_value,net_gain,return_pct,port_peak,port_trough,port_dd,portfolio,status
1,2011-08-04,2011-09-16,43,153322.33883058472,0.0,160974.60177514714,7652.262944562419,4.9909641366858315,159132.6843616584,141058.68596251606,-8.454988366563311,160974.60177514714,closed
2,2011-09-21,2014-08-07,1051,160891.1561970486,80640.0,402861.34842507355,161330.19222802494,66.79477495499867,418516.33095677395,211722.82896454004,-17.01436950008324,402861.34842507355,closed
3,2015-08-24,2018-03-22,941,429523.5866317577,53760.0,845721.5099446606,362437.9233129029,74.99487533580688,918276.8987940958,411609.4385491996,-19.617757269727466,845721.5099446606,closed
4,2018-12-17,2020-02-25,435,872162.4287302955,26880.0,1288908.0363742476,389865.6076439521,43.36453933487362,1450028.2895293212,987504.7290403199,-11.383456857593293,1288908.0363742476,closed
5,2020-02-28,2020-03-02,3,1288260.905921287,0.0,1370698.030207664,82437.1242863771,6.399101603368382,1288260.905921287,1288260.905921287,0.0,1370698.030207664,closed
6,2020-03-09,2021-11-30,631,1370010.0251950666,53760.0,3436417.142121964,2012647.1169268976,141.36040802313917,3563923.7266927604,1174017.7832217724,-19.396059226832758,3436417.142121964,closed
7,2022-05-19,2023-05-01,347,3461563.3604417434,26880.0,3842654.5157237668,354211.15528202336,10.153845675085561,4125415.728578035,3059619.4967682743,-25.834880698850764,3842654.5157237668,closed
8,2023-10-27,2024-12-18,418,3840731.1501486925,26880.0,6074901.331196014,2207290.1810473213,57.07115052045656,6335450.643113543,5021728.998344807,-14.836002899108047,6074901.331196014,closed
9,2025-04-04,,413,6071862.399996016,53760.0,11941832.83507977,5816210.435083754,94.94888935837012,12280391.198391326,8866443.322188567,-16.784611160320225,11941832.83507977,(open)
