Date,episode,peak_date,breach_date,trough_date,recovery_date,peak_to_trough_pct,phase,sessions_from_peak,spx_close,distance_below_peak_pct,spx_daily_change_pct,ndx_return_60_pct,breadth,breadth_fall_60_points,spx_drawdown_252_pct,vix,vix_slope_20,breadth_slope_20,spx_drawdown_252_slope_20
2000-03-22,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,before_peak,-2,1500.6,-1.761047463175125,0.44849052814779355,27.74203767670509,,,0.0,21.49,-0.08942105263157904,,0.41677840121676357
2000-03-23,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,before_peak,-1,1527.3,-0.01309328968903678,1.7792882846861202,30.186734451598497,,,0.0,22.26,-0.06543609022556385,,0.4406571833886377
2000-03-24,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,peak,0,1527.5,0.0,0.013095004255880838,27.154929424773954,,,0.0,23.31,-0.010315789473684316,,0.43118959937278545
2000-03-27,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,1,1523.9,-0.23567921440261763,-0.23567921440261763,27.718552421905308,,,-0.23567921440261763,24.53,0.05686466165413525,,0.4201463339804353
2000-03-28,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,2,1507.7,-1.296235679214397,-1.063061880700833,23.61381185221545,,,-1.296235679214397,24.86,0.10830075187969918,,0.4016760294750254
2000-03-29,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,3,1508.5,-1.243862520458261,0.053060953770645014,16.445370724565024,,,-1.243862520458261,24.1,0.11932330827067678,,0.38913747094146517
2000-03-31,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,5,1498.6,-1.8919803600654705,0.7191343504267644,25.390684028500488,,,-1.8919803600654705,24.11,0.09952631578947391,,0.35084126437987717
2000-04-03,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,6,1506.0,-1.4075286415711985,0.4937942079274116,22.036871297679305,,,-1.4075286415711985,24.03,0.08963909774436092,,0.33328405292594837
2000-04-06,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,9,1501.3,-1.7152209492635073,0.9345166061583976,15.302664804548094,,,-1.7152209492635073,27.15,0.27670676691729323,,0.1537160317935805
2000-04-07,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,10,1516.3,-0.7332242225859265,0.9991340837940399,23.38577515568665,,,-0.7332242225859265,24.39,0.2454962406015038,,0.12474781584214588
2000-04-10,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,11,1504.5,-1.5057283142389521,-0.7782101167315147,10.691346814024062,,,-1.5057283142389521,25.99,0.2578270676691726,,0.06590308217966116
2000-04-11,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,12,1500.6,-1.761047463175125,-0.25922233300100794,5.519145743021103,,,-1.761047463175125,27.25,0.30806766917293243,,-0.02930881713389821
2000-07-14,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,77,1510.0,-1.1456628477905073,0.9493247760395729,8.755560698744013,,,-1.1456628477905073,19.32,-0.08543609022556395,,0.09581728461907649
2000-07-17,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,78,1510.5,-1.1129296235679265,0.03311258278144713,13.363121568933911,,,-1.1129296235679265,19.45,-0.10300751879699223,,0.13161217282157933
2000-08-21,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,103,1499.5,-1.8330605564648161,0.5228933431655092,23.500296843137747,,,-1.8330605564648161,17.35,-0.1645563909774437,,0.1965765477523594
2000-08-22,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,104,1498.1,-1.9247135842880625,-0.09336445481827882,23.42299061081303,,,-1.9247135842880625,17.47,-0.1801052631578948,,0.2344387974847099
2000-08-23,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,105,1506.0,-1.4075286415711985,0.527334623856901,14.144281098877265,,,-1.4075286415711985,17.38,-0.18963157894736832,,0.25452173806037165
2000-08-24,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,106,1508.3,-1.2569558101472977,0.1527224435590835,18.81693581381918,,,-1.2569558101472977,17.04,-0.20167669172932337,,0.2685847187526916
2000-08-25,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,107,1506.5,-1.3747954173486066,-0.11933965391499601,11.715610773576435,,,-1.3747954173486066,16.53,-0.19757894736842085,,0.2444851900618976
2000-08-28,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,108,1514.1,-0.8772504091653088,0.5044805841354139,5.287205744913681,,,-0.8772504091653088,16.54,-0.18843609022556393,,0.23023516237401986
2000-08-29,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,109,1509.8,-1.158756137479544,-0.2839970939832237,5.9413292729022515,,,-1.158756137479544,16.89,-0.17097744360902262,,0.2113089597972014
2000-08-30,1,2000-03-24,2001-03-12,2002-10-09,2007-05-30,-49.145662847790504,after_peak,110,1502.6,-1.6301145662847905,-0.47688435554378295,8.842065424866718,,,-1.6301145662847905,17.69,-0.14527067669172933,,0.17921071090164
