variant,trade_status,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,current_date,current_price
static_0.50,closed,2008-05-02,2008-09-30,1996.31,1540.51,-22.909254581199058,-25.0542250452084,12861.206501376142,MA200-recross,trailing-stop,2008-10-15,,
static_0.50,closed,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,13525.136343168757,VIX,climax-top,2008-11-20,,
static_0.50,closed,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,14459.620626377744,VIX,climax-top,2009-01-29,,
static_0.50,closed,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,14761.69696329556,VIX,climax-top,2009-03-05,,
static_0.50,closed,2009-03-09,2020-03-13,1058.85,7683.04,624.8770647022903,0.0,106995.90687713696,VIX,trailing-stop,2020-03-28,,
static_0.50,closed,2020-03-31,2022-03-21,7855.74,14377.15,82.83166238931673,-4.702930595971861,195619.5669153709,VIX,climax-top,2022-04-05,,
static_0.50,closed,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,201308.33207026753,VIX,climax-top,2022-11-29,,
static_0.50,open,2023-01-27,,12000.21,,133.98138612700885,-1.4160585523086553,471021.68595331255,MA200-recross,,,2026-07-30,28106.35
trajectory_0.40,closed,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX+MA200,climax-top,2002-08-30,,
trajectory_0.40,closed,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX+MA200,climax-top,2002-11-27,,
trajectory_0.40,closed,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,,
trajectory_0.40,closed,2004-03-25,2008-03-11,1394.2,1704.05,22.102051470319935,-6.438817960120498,16685.50140350997,MA200-recross,trailing-stop,2008-03-26,,
trajectory_0.40,closed,2008-05-02,2008-09-30,1996.31,1540.51,-22.909254581199058,-25.0542250452084,12861.206501376142,MA200-recross,trailing-stop,2008-10-15,,
trajectory_0.40,closed,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,13525.136343168757,VIX,climax-top,2008-11-20,,
trajectory_0.40,closed,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,14459.620626377744,VIX,climax-top,2009-01-29,,
trajectory_0.40,closed,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,14761.69696329556,VIX,climax-top,2009-03-05,,
trajectory_0.40,closed,2009-03-09,2020-03-13,1058.85,7683.04,624.8770647022903,0.0,106995.90687713696,VIX,trailing-stop,2020-03-28,,
trajectory_0.40,closed,2020-03-31,2022-03-21,7855.74,14377.15,82.83166238931673,-4.702930595971861,195619.5669153709,VIX,climax-top,2022-04-05,,
trajectory_0.40,closed,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,201308.33207026753,VIX,climax-top,2022-11-29,,
trajectory_0.40,open,2023-01-27,,12000.21,,133.98138612700885,-1.4160585523086553,471021.68595331255,MA200-recross,,,2026-07-30,28106.35
trajectory_0.50,closed,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX+MA200,climax-top,2002-08-30,,
trajectory_0.50,closed,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX+MA200,climax-top,2002-11-27,,
trajectory_0.50,closed,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,,
trajectory_0.50,closed,2004-03-25,2008-03-11,1394.2,1704.05,22.102051470319935,-6.438817960120498,16685.50140350997,MA200-recross,trailing-stop,2008-03-26,,
trajectory_0.50,closed,2008-05-02,2008-09-30,1996.31,1540.51,-22.909254581199058,-25.0542250452084,12861.206501376142,MA200-recross,trailing-stop,2008-10-15,,
trajectory_0.50,closed,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,13525.136343168757,VIX,climax-top,2008-11-20,,
trajectory_0.50,closed,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,14459.620626377744,VIX,climax-top,2009-01-29,,
trajectory_0.50,closed,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,14761.69696329556,VIX,climax-top,2009-03-05,,
trajectory_0.50,closed,2009-03-09,2020-03-13,1058.85,7683.04,624.8770647022903,0.0,106995.90687713696,VIX,trailing-stop,2020-03-28,,
trajectory_0.50,closed,2020-03-31,2022-03-21,7855.74,14377.15,82.83166238931673,-4.702930595971861,195619.5669153709,VIX,climax-top,2022-04-05,,
trajectory_0.50,closed,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,201308.33207026753,VIX,climax-top,2022-11-29,,
trajectory_0.50,open,2023-01-27,,12000.21,,133.98138612700885,-1.4160585523086553,471021.68595331255,MA200-recross,,,2026-07-30,28106.35
trajectory_0.60,closed,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX+MA200,climax-top,2002-08-30,,
trajectory_0.60,closed,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX+MA200,climax-top,2002-11-27,,
trajectory_0.60,closed,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,,
trajectory_0.60,closed,2004-03-25,2008-03-11,1394.2,1704.05,22.102051470319935,-6.438817960120498,16685.50140350997,MA200-recross,trailing-stop,2008-03-26,,
trajectory_0.60,closed,2008-05-02,2008-09-30,1996.31,1540.51,-22.909254581199058,-25.0542250452084,12861.206501376142,MA200-recross,trailing-stop,2008-10-15,,
trajectory_0.60,closed,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,13525.136343168757,VIX,climax-top,2008-11-20,,
trajectory_0.60,closed,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,14459.620626377744,VIX,climax-top,2009-01-29,,
trajectory_0.60,closed,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,14761.69696329556,VIX,climax-top,2009-03-05,,
trajectory_0.60,closed,2009-03-09,2020-03-13,1058.85,7683.04,624.8770647022903,0.0,106995.90687713696,VIX,trailing-stop,2020-03-28,,
trajectory_0.60,closed,2020-03-31,2022-03-21,7855.74,14377.15,82.83166238931673,-4.702930595971861,195619.5669153709,VIX,climax-top,2022-04-05,,
trajectory_0.60,closed,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,201308.33207026753,VIX,climax-top,2022-11-29,,
trajectory_0.60,open,2023-01-27,,12000.21,,133.98138612700885,-1.4160585523086553,471021.68595331255,MA200-recross,,,2026-07-30,28106.35
