Date,frozen_baseline,fixed_60,fixed_80,10_sessions,20_sessions,40_sessions,primary_3x_drag
2011-09-21,42248.16464793253,41853.917454551076,42771.979288628965,41925.021178595955,41925.021178595955,41925.021178595955,41536.998786782555
2011-09-22,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-09-23,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-09-26,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-09-27,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-09-28,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-09-29,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-09-30,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-10-03,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-10-04,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-10-05,42248.16464793253,41708.81556503654,42626.87739911444,41779.91928908143,41779.91928908143,41779.91928908143,41391.896897268016
2011-10-06,42909.3279903696,42468.22614186283,43405.399973428866,42540.81008667816,42540.81008667816,42540.81008667816,42144.70993506427
2011-10-07,42614.68776868541,42136.28225161457,43065.124033443295,42208.22088067526,42208.22088067526,42208.22088067526,41815.642302170905
2011-10-10,44082.858906151836,43777.94910762693,44747.998003965724,43853.07922030022,43853.07922030022,43853.07922030022,43443.08429516385
2011-10-11,44397.619011654264,44138.2445526752,45117.33714482057,44214.07509796326,44214.07509796326,44214.07509796326,43800.257819748425
2011-10-12,44634.80148820371,44384.27776561827,45370.23181682004,44460.639729677045,44460.639729677045,44460.639729677045,44043.922429202736
2011-10-13,45015.91851822202,44875.99083480907,45873.19325598831,44953.223983100914,44953.223983100914,44953.223983100914,44531.75251546635
2011-10-14,45887.65117673086,45970.834594948385,46993.01610528583,46050.002369206,46050.002369206,46050.002369206,45617.97339274065
2011-10-17,45161.01383421883,45039.6974185088,46040.59250081197,45117.21656274101,45117.21656274101,45117.21656274101,44694.184377572754
2011-10-18,45750.87465885121,45775.647862876984,46793.32265647578,45854.466592733195,45854.466592733195,45854.466592733195,45424.342397561704
2011-10-19,44821.103873943626,44599.21211535294,45590.02639803566,44675.950503466374,44675.950503466374,44675.950503466374,44257.17900732245
