variant,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,signal_date
baseline,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX+MA200,climax-top,2002-08-30,
baseline,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX+MA200,climax-top,2002-11-27,
baseline,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,
baseline,2004-03-25,2004-06-14,1394.2,1470.62,5.375851021555637,0.0,14399.694048901049,MA200-recross,bearish-divergence,2004-06-29,
baseline,2005-03-31,2007-07-27,1489.44,1988.85,33.3965882431005,-5.5450370609088075,19206.366612796348,MA200-recross,bearish-divergence,2007-08-11,
baseline,2008-01-23,2008-09-30,1725.46,1540.51,-10.808117263218783,-13.289789389496132,17128.628068454247,VIX,trailing-stop,2008-10-15,
baseline,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,18013.534406131483,VIX,climax-top,2008-11-20,
baseline,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,19258.819625983895,VIX,climax-top,2009-01-29,
baseline,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,19661.82695000276,VIX,climax-top,2009-03-05,
baseline,2009-03-09,2011-09-19,1058.85,2277.64,114.8900692497403,0.0,42248.16464793253,VIX,bearish-divergence,2011-10-04,
baseline,2011-10-06,2014-08-08,2181.58,3864.09,76.9464260343174,-1.4072369567010983,74753.84794535021,VIX,bearish-divergence,2014-08-23,
baseline,2015-08-25,2018-03-23,4187.28,6683.19,59.447425295777634,-5.719225845895178,119190.49138412853,VIX,bearish-divergence,2018-04-07,
baseline,2018-10-15,2020-02-26,7129.31,8883.01,24.473917241435135,-17.252160447504735,148358.8288659676,MA200-recross,bearish-divergence,2020-03-12,
baseline,2020-03-16,2021-12-01,7502.26,16347.96,117.6893390777586,-6.770893037564683,322958.17712843703,VIX,bearish-divergence,2021-12-16,
baseline,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,332351.366343382,VIX,climax-top,2022-11-29,
baseline,2023-01-27,2023-05-02,12000.21,13225.48,10.100249324264201,-1.4160585523086553,365917.58197416906,MA200-recross,bearish-divergence,2023-05-17,
baseline,2023-10-30,2024-12-19,14283.98,21358.79,49.38022794807871,0.0,546606.024252832,MA200,bearish-divergence,2025-01-03,
breadth_40,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX+MA200,climax-top,2002-08-30,2002-08-14
breadth_40,2002-10-10,2002-11-01,809.46,981.24,21.100394136191124,0.0,13469.639852065087,VIX+MA200,monthly-breadth-regime,2002-11-16,2002-10-31
breadth_40,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13650.19246154019,MA200-recross,climax-top,2003-04-02,2003-03-17
breadth_40,2004-03-25,2004-06-14,1394.2,1470.62,5.375851021555637,0.0,14381.952713917994,MA200-recross,bearish-divergence,2004-06-29,2004-06-10
breadth_40,2005-03-31,2007-07-27,1489.44,1988.85,33.3965882431005,-5.5450370609088075,19182.700277220174,MA200-recross,bearish-divergence,2007-08-11,2007-07-26
breadth_40,2008-01-23,2008-02-01,1725.46,1846.07,6.883083500846928,0.0,20500.992724183423,VIX,monthly-breadth-regime,2008-02-16,2008-01-31
breadth_40,2008-03-17,2008-04-01,1680.54,1806.15,7.366962561063017,0.0,22009.219513194657,VIX,monthly-breadth-regime,2008-04-16,2008-03-31
breadth_40,2008-05-02,2008-07-01,1996.31,1821.93,-8.826335563627621,-7.975715194533917,20064.700207380323,MA200-recross,monthly-breadth-regime,2008-07-16,2008-06-30
breadth_40,2008-08-11,2008-10-01,1921.76,1581.06,-17.810770848860805,-22.146886187661305,16489.200539641406,MA200-recross,monthly-breadth-regime,2008-10-16,2008-09-30
breadth_40,2008-10-20,2008-11-03,1329.68,1333.19,0.1637594204522312,-12.025449732266416,16514.201521288127,VIX,monthly-breadth-regime,2008-11-18,2008-10-31
breadth_40,2008-11-20,2008-12-01,1076.5,1156.53,7.3268971645157706,0.0,17722.106815322164,VIX,monthly-breadth-regime,2008-12-16,2008-11-28
breadth_40,2008-12-18,2009-01-02,1227.31,1212.74,-1.2859126001607804,-4.412903015538035,17492.228869895986,VIX,monthly-breadth-regime,2009-01-17,2008-12-31
breadth_40,2009-01-21,2009-02-02,1156.65,1168.13,0.8915794555927465,0.0,17646.177073030685,VIX,monthly-breadth-regime,2009-02-17,2009-01-30
breadth_40,2009-02-19,2009-03-02,1194.31,1098.99,-8.073150252414369,-6.474031030469471,16219.655415620346,VIX,monthly-breadth-regime,2009-03-17,2009-02-27
breadth_40,2009-03-19,2009-04-01,1220.48,1215.9,-0.4748371422573772,-2.7284347142107985,16140.643215732243,VIX,monthly-breadth-regime,2009-04-16,2009-03-31
breadth_40,2009-04-20,2010-07-01,1330.18,1741.93,30.823568278709295,-0.08419913094469306,21113.457162273542,VIX,monthly-breadth-regime,2010-07-16,2010-06-30
breadth_40,2010-07-23,2010-09-01,1851.81,1791.91,-3.3313900720243055,-4.556622979679335,20408.118860409177,MA200-recross,monthly-breadth-regime,2010-09-16,2010-08-31
breadth_40,2011-06-22,2011-09-01,2243.21,2245.01,-0.019788074053319536,-9.138243855902925,20402.08068461693,MA200-recross,monthly-breadth-regime,2011-09-16,2011-08-31
